GA Labsphere Panel 	
773	0.953749906
774	0.953746754
775	0.953713839
776	0.953706476
777	0.953675648
778	0.953651315
779	0.953628919
780	0.953605486
781	0.953590484
782	0.953570945
783	0.9535514
784	0.953546848
785	0.953526751
786	0.953504002
787	0.953475823
788	0.953463884
789	0.95344295
790	0.95341154
791	0.953392431
792	0.953370708
793	0.953356204
794	0.953347072
795	0.953339904
796	0.953310418
797	0.95329371
798	0.953293717
799	0.953283394
800	0.95327332
801	0.953253326
802	0.953247856
803	0.953255191
804	0.953248997
805	0.953224737
806	0.953208246
807	0.953209511
808	0.953197297
809	0.953172931
810	0.953157935
811	0.953143365
812	0.953135257
813	0.953126519
814	0.953121044
815	0.953109001
816	0.953098141
817	0.953087172
818	0.953077081
819	0.953042022
820	0.953043287
821	0.953037364
822	0.953024544
823	0.952997992
824	0.953002306
825	0.952988915
826	0.952979755
827	0.95295329
828	0.952937259
829	0.952941934
830	0.952955161
831	0.952971666
832	0.952934801
833	0.952947437
834	0.952930282
835	0.952930109
836	0.952910446
837	0.952908411
838	0.952890278
839	0.95285499
840	0.952873972
841	0.952844043
842	0.952806659
843	0.952807005
844	0.952794676
845	0.952800007
846	0.952789562
847	0.952775773
848	0.952764476
849	0.952740608
850	0.9527326
851	0.952741885
852	0.952732247
853	0.952740053
854	0.952747442
855	0.952717604
856	0.952706645
857	0.952738302
858	0.952769157
859	0.952746468
860	0.952715932
861	0.952671187
862	0.952646736
863	0.952639698
864	0.952623968
865	0.952621114
866	0.952595687
867	0.95258782
868	0.952578647
869	0.95259271
870	0.952574542
871	0.952559998
872	0.952541273
873	0.952531765
874	0.952550318
875	0.952555474
876	0.952535716
877	0.952520154
878	0.952501038
879	0.952476848
880	0.95245239
881	0.952443943
882	0.952429977
883	0.952413044
884	0.952420954
885	0.952378234
886	0.952419926
887	0.952512495
888	0.952492829
889	0.952457661
890	0.952408838
891	0.952391619
892	0.952370297
893	0.952323608
894	0.952331442
895	0.95233352
896	0.952314163
897	0.952291821
898	0.952282814
899	0.952260276
900	0.952272316
901	0.952232373
902	0.952212501
903	0.952197095
904	0.95224404
905	0.952185388
906	0.952121305
907	0.952129028
908	0.952162399
909	0.95216467
910	0.952174074
911	0.952144069
912	0.952145459
913	0.952094558
914	0.952071037
915	0.952050932
916	0.952006373
917	0.952043194
918	0.952054879
919	0.952092165
920	0.952086647
921	0.95206732
922	0.952000276
923	0.951923516
924	0.951932889
925	0.951958822
926	0.951941523
927	0.951924616
928	0.951961365
929	0.951979388
930	0.951956624
931	0.951883888
932	0.951847505
933	0.951917447
934	0.951862323
935	0.951818722
936	0.951839403
937	0.951870861
938	0.951768901
939	0.951779674
940	0.951885846
941	0.951827629
942	0.95181957
943	0.951794093
944	0.951724595
945	0.951790726
946	0.951921117
947	0.951977027
948	0.951995183
949	0.951914381
950	0.951863163
951	0.951931424
952	0.951947157
953	0.951916669
954	0.951901721
955	0.951864162
956	0.951990514
957	0.952068506
958	0.952035816
959	0.952034276
960	0.95202667
961	0.951929375
962	0.951942455
963	0.952110774
964	0.952164655
965	0.952175474
966	0.952107811
967	0.952054993
968	0.952088505
969	0.952220001
970	0.952277693
971	0.952244691
972	0.952119943
973	0.9521758
974	0.952302528
975	0.952406962
976	0.952329172
977	0.952232099
978	0.952281108
979	0.95242996
980	0.952557149
981	0.952537792
982	0.952593859
983	0.952522797
984	0.952596661
985	0.952587145
986	0.95257105
987	0.952646624
988	0.952725033
989	0.952598701
990	0.952616339
991	0.952758657
992	0.952833723
993	0.953047707
994	0.953172439
995	0.953172624
996	0.952995512
997	0.952812819
998	0.952986851
999	0.95299639
1000	0.953174657
1001	0.953176488
1002	0.953110393
1003	0.95318278
1004	0.953193285
1005	0.953192514
1006	0.953215925
1007	0.953239134
1008	0.953276363
1009	0.953272605
1010	0.953340164
1011	0.953335514
1012	0.953430595
1013	0.953418689
1014	0.953440399
1015	0.953450438
1016	0.95350204
1017	0.953639193
1018	0.953623228
1019	0.953674344
1020	0.953581422
1021	0.95353675
1022	0.953540314
1023	0.953575826
1024	0.95362856
1025	0.953620473
1026	0.953663618
1027	0.953705742
1028	0.953744605
1029	0.953718935
1030	0.953665373
1031	0.953720555
1032	0.953779543
1033	0.953782505
1034	0.953787539
1035	0.953819662
1036	0.953912686
1037	0.953932436
1038	0.953954827
1039	0.953951648
1040	0.953951966
1041	0.953960548
1042	0.953948005
1043	0.953962995
1044	0.953917687
1045	0.953950718
1046	0.953932015
1047	0.953889049
1048	0.953912408
1049	0.953878526
1050	0.953977221
1051	0.953996435
1052	0.953994999
1053	0.953987264
1054	0.954037917
1055	0.954012801
1056	0.954010441
1057	0.954055087
1058	0.954102614
1059	0.954114328
1060	0.954096862
1061	0.954077957
1062	0.954028519
1063	0.953979566
1064	0.954013304
1065	0.953985322
1066	0.954017009
1067	0.953951487
1068	0.954009169
1069	0.954010853
1070	0.953965044
1071	0.954036694
1072	0.954037595
1073	0.954037553
1074	0.954016069
1075	0.954037968
1076	0.954016813
1077	0.954043835
1078	0.954043568
1079	0.954067729
1080	0.954003687
1081	0.954052877
1082	0.953962011
1083	0.954008535
1084	0.953999187
1085	0.953976622
1086	0.953977352
1087	0.953980338
1088	0.953985196
1089	0.95398153
1090	0.954049619
1091	0.953998186
1092	0.953987748
1093	0.953969119
1094	0.953968278
1095	0.953945386
1096	0.953937854
1097	0.953943997
1098	0.953972194
1099	0.953997727
1100	0.954066177
1101	0.954017357
1102	0.954061128
1103	0.954085982
1104	0.954043975
1105	0.954029528
1106	0.95404134
1107	0.954054849
1108	0.954076954
1109	0.954103527
1110	0.954162969
1111	0.954139521
1112	0.95415323
1113	0.954174148
1114	0.95421
1115	0.954205661
1116	0.954167714
1117	0.954193248
1118	0.954187667
1119	0.954159503
1120	0.954189842
1121	0.954175522
1122	0.954175819
1123	0.954216703
1124	0.954191707
1125	0.954219382
1126	0.954258822
1127	0.954233078
1128	0.954226478
1129	0.954237105
1130	0.954230295
1131	0.954271883
1132	0.954242721
1133	0.954282788
1134	0.954269431
1135	0.954256911
1136	0.954315562
1137	0.954308428
1138	0.954310998
1139	0.954293902
1140	0.954296009
1141	0.954274532
1142	0.954266769
1143	0.954262489
1144	0.954276435
1145	0.954258346
1146	0.954257947
1147	0.954244626
1148	0.954246846
1149	0.954236818
1150	0.95423027
1151	0.95421799
1152	0.954217265
1153	0.95416641
1154	0.954149319
1155	0.95412939
1156	0.954135859
1157	0.9541215
1158	0.95409091
1159	0.954088953
1160	0.954063969
1161	0.954053894
1162	0.95402477
1163	0.95401209
1164	0.953993977
1165	0.953956647
1166	0.953929549
1167	0.953908678
1168	0.953868417
1169	0.953837556
1170	0.953816458
1171	0.953771078
1172	0.953759781
1173	0.953725027
1174	0.953696555
1175	0.953682913
1176	0.953642676
1177	0.953628141
1178	0.953584191
1179	0.953550141
1180	0.953517551
1181	0.95348902
1182	0.953476849
1183	0.953446175
1184	0.953399574
1185	0.953404678
1186	0.953365341
1187	0.953370157
1188	0.953377597
1189	0.953355093
1190	0.953324997
1191	0.953309121
1192	0.953282962
1193	0.953271244
1194	0.953239772
1195	0.953247853
1196	0.95323088
1197	0.953201162
1198	0.953202809
1199	0.953223229
1200	0.953216575
1201	0.953206995
1202	0.953204417
1203	0.95318519
1204	0.953171257
1205	0.953192616
1206	0.953189161
1207	0.953212945
1208	0.953207829
1209	0.953194535
1210	0.953187271
1211	0.953199224
1212	0.953220463
1213	0.953257101
1214	0.953266433
1215	0.953282822
1216	0.953292323
1217	0.953304416
1218	0.953300379
1219	0.95332933
1220	0.95333347
1221	0.953352719
1222	0.953371922
1223	0.953387078
1224	0.953400118
1225	0.953440941
1226	0.95346364
1227	0.953459869
1228	0.953490639
1229	0.95350863
1230	0.953519443
1231	0.953511862
1232	0.953525218
1233	0.953538066
1234	0.953549586
1235	0.953576764
1236	0.953578603
1237	0.953602111
1238	0.953604088
1239	0.953607896
1240	0.953645451
1241	0.953668589
1242	0.953685451
1243	0.953703668
1244	0.953723333
1245	0.953729755
1246	0.95371709
1247	0.953701858
1248	0.953742133
1249	0.953749814
1250	0.953754749
1251	0.953772343
1252	0.953774239
1253	0.953782044
1254	0.953783615
1255	0.953778911
1256	0.953791163
1257	0.953814653
1258	0.953826286
1259	0.953813028
1260	0.953828966
1261	0.953833558
1262	0.953839979
1263	0.95383745
1264	0.9538339
1265	0.95384013
1266	0.953824081
1267	0.953811958
1268	0.953826932
1269	0.953788327
1270	0.953818499
1271	0.953795219
1272	0.953794929
1273	0.953771999
1274	0.953800881
1275	0.953789413
1276	0.953776926
1277	0.953778191
1278	0.953782732
1279	0.953765867
1280	0.953780551
1281	0.953776608
1282	0.953763664
1283	0.953776402
1284	0.953764781
1285	0.953744563
1286	0.953758643
1287	0.953761868
1288	0.953785821
1289	0.953774077
1290	0.953780762
1291	0.953790639
1292	0.9538003
1293	0.95381158
1294	0.953792003
1295	0.953789664
1296	0.953809946
1297	0.953810488
1298	0.95382046
1299	0.953777316
1300	0.953793123
1301	0.953784508
1302	0.953805908
1303	0.953822378
1304	0.953833203
1305	0.953864844
1306	0.953881743
1307	0.953883564
1308	0.953875447
1309	0.953897869
1310	0.953940776
1311	0.953948674
1312	0.953994075
1313	0.953981895
1314	0.954004263
1315	0.954046881
1316	0.95404918
1317	0.954098865
1318	0.95414447
1319	0.954135114
1320	0.954158866
1321	0.954185338
1322	0.95421497
1323	0.954227518
1324	0.954246264
1325	0.95428762
1326	0.954313171
1327	0.954358245
1328	0.95439479
1329	0.954408336
1330	0.954434919
1331	0.954463544
1332	0.954463325
1333	0.954478368
1334	0.954494202
1335	0.954531424
1336	0.954589863
1337	0.954591738
1338	0.954608534
1339	0.954614116
1340	0.95464436
1341	0.954638265
1342	0.954670645
1343	0.954704458
1344	0.954734383
1345	0.954749263
1346	0.954776409
1347	0.95476812
1348	0.954796678
1349	0.954812306
1350	0.954807744
1351	0.954831082
1352	0.9548294
1353	0.95482888
1354	0.95485042
1355	0.954861513
1356	0.954847444
1357	0.954880853
1358	0.954875062
1359	0.954896046
1360	0.95491113
1361	0.954948243
1362	0.954962816
1363	0.954962251
1364	0.954993617
1365	0.955024629
1366	0.955051502
1367	0.955062313
1368	0.955108074
1369	0.955176244
1370	0.955227379
1371	0.955239357
1372	0.955281611
1373	0.955314607
1374	0.955344086
1375	0.955370563
1376	0.955391615
1377	0.955392098
1378	0.95540321
1379	0.955441699
1380	0.955438482
1381	0.955485431
1382	0.955494209
1383	0.955548362
1384	0.955609837
1385	0.955647609
1386	0.955663841
1387	0.955715722
1388	0.955765932
1389	0.955794208
1390	0.955835823
1391	0.955883948
1392	0.95591531
1393	0.95595858
1394	0.956004404
1395	0.956050636
1396	0.956098959
1397	0.956138678
1398	0.956169569
1399	0.95621099
1400	0.95624331
1401	0.956316162
1402	0.956368981
1403	0.956427492
1404	0.95650116
1405	0.956556678
1406	0.956617055
1407	0.956672639
1408	0.956726253
1409	0.956796722
1410	0.956859587
1411	0.956922444
1412	0.956963939
1413	0.95703001
1414	0.957094559
1415	0.957140294
1416	0.957203164
1417	0.957247063
1418	0.957317591
1419	0.957372369
1420	0.957420816
1421	0.957466008
1422	0.957513318
1423	0.957567396
1424	0.957606601
1425	0.957654825
1426	0.957712849
1427	0.95776339
1428	0.957809574
1429	0.957856091
1430	0.957902624
1431	0.957949766
1432	0.95799286
1433	0.958050104
1434	0.958062424
1435	0.958115241
1436	0.958153326
1437	0.958197659
1438	0.958218606
1439	0.958256917
1440	0.958282463
1441	0.958326499
1442	0.958351085
1443	0.958396056
1444	0.958417342
1445	0.958440846
1446	0.958458721
1447	0.958465526
1448	0.958462324
1449	0.958485323
1450	0.958486309
1451	0.958509054
1452	0.958507148
1453	0.958506828
1454	0.95851385
1455	0.958480142
1456	0.958494472
1457	0.958477797
1458	0.958463469
1459	0.958454101
1460	0.95842573
1461	0.958400909
1462	0.958384102
1463	0.958376186
1464	0.958331868
1465	0.95830908
1466	0.958273547
1467	0.958239487
1468	0.958235773
1469	0.958213273
1470	0.958194529
1471	0.958171866
1472	0.958142122
1473	0.958130019
1474	0.95809716
1475	0.958057731
1476	0.958035096
1477	0.95801737
1478	0.957980011
1479	0.957954006
1480	0.957921754
1481	0.957889063
1482	0.957848333
1483	0.957813053
1484	0.957784882
1485	0.957752033
1486	0.957740278
1487	0.957715713
1488	0.957685629
1489	0.957660318
1490	0.957633297
1491	0.957600656
1492	0.957592766
1493	0.957569978
1494	0.957548654
1495	0.957540939
1496	0.957519693
1497	0.957489195
1498	0.957489889
1499	0.957493339
1500	0.957477256
1501	0.957476504
1502	0.957456184
1503	0.957452787
1504	0.95745467
1505	0.957466379
1506	0.957480115
1507	0.957488327
1508	0.957485329
1509	0.95748351
1510	0.957506017
1511	0.957496866
1512	0.95751549
1513	0.957527377
1514	0.95753723
1515	0.957562302
1516	0.957549472
1517	0.957551393
1518	0.957585664
1519	0.957576105
1520	0.957589695
1521	0.957610316
1522	0.95763653
1523	0.957635718
1524	0.95764861
1525	0.957664363
1526	0.957675746
1527	0.95769088
1528	0.957721404
1529	0.957732002
1530	0.957743392
1531	0.957768776
1532	0.957783015
1533	0.957774555
1534	0.957803611
1535	0.957812981
1536	0.957827439
1537	0.957841468
1538	0.957871482
1539	0.95789137
1540	0.95792181
1541	0.957917948
1542	0.957928297
1543	0.957953048
1544	0.957947655
1545	0.957958925
1546	0.957954306
1547	0.957954296
1548	0.957974424
1549	0.957978365
1550	0.957962402
1551	0.957969684
1552	0.95796523
1553	0.957956471
1554	0.957941523
1555	0.957946436
1556	0.957954571
1557	0.95795639
1558	0.957946579
1559	0.957944445
1560	0.957935532
1561	0.95792519
1562	0.957915667
1563	0.957882536
1564	0.957872509
1565	0.957856715
1566	0.957832439
1567	0.957832045
1568	0.957793114
1569	0.957763367
1570	0.957752676
1571	0.957763667
1572	0.957734734
1573	0.957716474
1574	0.957714736
1575	0.957681904
1576	0.957652182
1577	0.957613245
1578	0.957600743
1579	0.95756617
1580	0.957539958
1581	0.957507838
1582	0.957443095
1583	0.957429534
1584	0.957430405
1585	0.95740222
1586	0.957343355
1587	0.957323419
1588	0.957278975
1589	0.957227119
1590	0.957220692
1591	0.957206094
1592	0.957152591
1593	0.957133361
1594	0.957095269
1595	0.957037801
1596	0.957006968
1597	0.956967291
1598	0.95692466
1599	0.95688333
1600	0.956831882
1601	0.956845575
1602	0.956789551
1603	0.956735038
1604	0.95668728
1605	0.95666014
1606	0.956635954
1607	0.95658863
1608	0.956566949
1609	0.956513081
1610	0.956461093
1611	0.956411217
1612	0.956370527
1613	0.956330815
1614	0.956298487
1615	0.956250745
1616	0.956211369
1617	0.956165647
1618	0.956109811
1619	0.956051533
1620	0.956001506
1621	0.955930846
1622	0.955867608
1623	0.955824334
1624	0.955768058
1625	0.955715252
1626	0.955677083
1627	0.955649065
1628	0.955594667
1629	0.955530172
1630	0.955476034
1631	0.955455029
1632	0.955402308
1633	0.955371511
1634	0.955319299
1635	0.955282017
1636	0.955249348
1637	0.955217899
1638	0.955158042
1639	0.955112024
1640	0.955078112
1641	0.955042417
1642	0.954995451
1643	0.954967494
1644	0.954902937
1645	0.954853465
1646	0.9547943
1647	0.954737038
1648	0.954701151
1649	0.954659454
1650	0.954610004
1651	0.954580757
1652	0.954503992
1653	0.95445724
1654	0.954402465
1655	0.954314184
1656	0.954290028
1657	0.954247209
1658	0.954185975
1659	0.954153035
1660	0.954093368
1661	0.954026663
1662	0.953993688
1663	0.953940212
1664	0.953851856
1665	0.953819068
1666	0.953762918
1667	0.953705042
1668	0.953642213
1669	0.953578302
1670	0.953575
1671	0.953524381
1672	0.9534607
1673	0.953391063
1674	0.953344285
1675	0.95328414
1676	0.953209737
1677	0.953181936
1678	0.953152274
1679	0.953099972
1680	0.9530163
1681	0.952992625
1682	0.952949825
1683	0.952886684
1684	0.952856328
1685	0.952786937
1686	0.95270875
1687	0.952633218
1688	0.952583804
1689	0.952506961
1690	0.952480116
1691	0.952434143
1692	0.952378137
1693	0.952345105
1694	0.952272949
1695	0.952233931
1696	0.952158249
1697	0.952119333
1698	0.952063154
1699	0.95202434
1700	0.951957981
1701	0.951928584
1702	0.951874442
1703	0.951829771
1704	0.95178332
1705	0.951707911
1706	0.951679609
1707	0.951604159
1708	0.9515825
1709	0.951531762
1710	0.951459538
1711	0.951415531
1712	0.951349016
1713	0.951314017
1714	0.95128779
1715	0.951247852
1716	0.951207812
1717	0.951176105
1718	0.951104941
1719	0.95109891
1720	0.951064311
1721	0.951012954
1722	0.950970563
1723	0.950929487
1724	0.950887231
1725	0.950834416
1726	0.950775465
1727	0.950731735
1728	0.950654584
1729	0.950658451
1730	0.950676476
1731	0.950665846
1732	0.950615272
1733	0.950633014
1734	0.950577758
1735	0.950545014
1736	0.950547784
1737	0.950512743
1738	0.950526036
1739	0.950475467
1740	0.95047586
1741	0.950445788
1742	0.950469391
1743	0.95045162
1744	0.950484929
1745	0.950499884
1746	0.950512389
1747	0.950528845
1748	0.95055257
1749	0.950575686
1750	0.950598763
1751	0.95061027
1752	0.950656739
1753	0.950691188
1754	0.950689499
1755	0.950735807
1756	0.95076945
1757	0.950780617
1758	0.950838366
1759	0.950805657
1760	0.950832149
1761	0.950863424
1762	0.950893926
1763	0.950962329
1764	0.951006509
1765	0.951037821
1766	0.951117194
1767	0.951142469
1768	0.951215373
1769	0.951255073
1770	0.951307923
1771	0.9513562
1772	0.951400678
1773	0.951459663
1774	0.951479352
1775	0.951517288
1776	0.951610575
1777	0.951642211
1778	0.951697247
1779	0.951696729
1780	0.951724239
1781	0.951793028
1782	0.951815808
1783	0.951824201
1784	0.951903055
1785	0.951866356
1786	0.951869916
1787	0.951898401
1788	0.951912869
1789	0.951939589
1790	0.951978491
1791	0.951988788
1792	0.952002467
1793	0.951973892
1794	0.951938941
1795	0.951924409
1796	0.951925387
1797	0.95192807
1798	0.951884658
1799	0.95187167
1800	0.951876163
1801	0.951810848
1802	0.951780419
1803	0.951763318
1804	0.951655382
1805	0.951648876
1806	0.951610714
1807	0.951542781
1808	0.951557086
1809	0.951519345
1810	0.951427121
1811	0.95138135
1812	0.951332909
1813	0.951218413
1814	0.95117368
1815	0.951071567
1816	0.950994808
1817	0.950950159
1818	0.950873349
1819	0.950721541
1820	0.950695023
1821	0.95051299
1822	0.950481783
1823	0.950416977
1824	0.950303853
1825	0.950230516
1826	0.950100025
1827	0.950035764
1828	0.949929533
1829	0.949868288
1830	0.949765597
1831	0.949668923
1832	0.949570381
1833	0.949511779
1834	0.94940731
1835	0.949320826
1836	0.949205134
1837	0.949080412
1838	0.948944412
1839	0.948818636
1840	0.948708505
1841	0.948655446
1842	0.948568693
1843	0.948477124
1844	0.948389393
1845	0.948314306
1846	0.948242837
1847	0.948160419
1848	0.948101312
1849	0.948053202
1850	0.947986743
1851	0.947929519
1852	0.947899433
1853	0.947838787
1854	0.947755503
1855	0.947697144
1856	0.947621537
1857	0.947558237
1858	0.94751364
1859	0.947482848
1860	0.947459284
1861	0.947432657
1862	0.94737342
1863	0.947332629
1864	0.947311781
1865	0.947227265
1866	0.947162018
1867	0.947100503
1868	0.947059466
1869	0.946987012
1870	0.946953734
1871	0.94692416
1872	0.946871287
1873	0.946815627
1874	0.946827507
1875	0.946817445
1876	0.946841551
1877	0.946828019
1878	0.946803944
1879	0.946798341
1880	0.946759683
1881	0.946735114
1882	0.94670187
1883	0.946653694
1884	0.946635289
1885	0.946619084
1886	0.946607214
1887	0.946619636
1888	0.946592589
1889	0.94658248
1890	0.946555769
1891	0.946522616
1892	0.946462449
1893	0.946404427
1894	0.946384613
1895	0.946334927
1896	0.946312858
1897	0.946307471
1898	0.94630418
1899	0.946258398
1900	0.946241432
1901	0.946209021
1902	0.946184675
1903	0.946172053
1904	0.946142563
1905	0.946113177
1906	0.946093946
1907	0.946080142
1908	0.946050947
1909	0.9460375
1910	0.946007778
1911	0.945975406
1912	0.945959827
1913	0.945939435
1914	0.945921203
1915	0.945895356
1916	0.945843243
1917	0.945828672
1918	0.945798923
1919	0.945751606
1920	0.945724602
1921	0.945700959
1922	0.945682236
1923	0.945651134
1924	0.94564018
1925	0.9456128
1926	0.945591569
1927	0.945576552
1928	0.945563614
1929	0.945552395
1930	0.945527206
1931	0.945474172
1932	0.945440541
1933	0.945415009
1934	0.945382395
1935	0.945344658
1936	0.945304157
1937	0.945224621
1938	0.945181265
1939	0.94517446
1940	0.945140982
1941	0.945114207
1942	0.9450984
1943	0.945057631
1944	0.945008814
1945	0.944941107
1946	0.944908218
1947	0.944856469
1948	0.944793962
1949	0.944766257
1950	0.944704901
1951	0.944634148
1952	0.944584371
1953	0.94452187
1954	0.944467165
1955	0.944395976
1956	0.944370096
1957	0.944286333
1958	0.944236091
1959	0.944159852
1960	0.944093863
1961	0.944006743
1962	0.943903785
1963	0.943830738
1964	0.943766475
1965	0.943682638
1966	0.943615599
1967	0.943547703
