GA 10" Labsphere panel
Serial # Serial Number : 99AA03-0319-1952	
Comments : Labsphere cal only - This data is for reference only	


Wavelength	K-factor
845	0.9923
846	0.9926
847	0.9929
848	0.9929
849	0.9932
850	0.9934
851	0.9927
852	0.9927
853	0.9927
854	0.9923
855	0.9934
856	0.9928
857	0.9925
858	0.9924
859	0.9922
860	0.9941
861	0.9942
862	0.9934
863	0.9932
864	0.9932
865	0.9932
866	0.9933
867	0.9933
868	0.9933
869	0.9935
870	0.9936
871	0.9935
872	0.9934
873	0.9935
874	0.9935
875	0.9935
876	0.9934
877	0.9932
878	0.9931
879	0.9932
880	0.9933
881	0.9934
882	0.9934
883	0.9932
884	0.9934
885	0.9935
886	0.9933
887	0.9933
888	0.9934
889	0.9933
890	0.9935
891	0.9936
892	0.9935
893	0.9935
894	0.9935
895	0.9935
896	0.9935
897	0.9933
898	0.9933
899	0.9934
900	0.9935
901	0.9935
902	0.9936
903	0.9936
904	0.9935
905	0.9933
906	0.9930
907	0.9930
908	0.9932
909	0.9933
910	0.9935
911	0.9935
912	0.9934
913	0.9933
914	0.9935
915	0.9932
916	0.9931
917	0.9933
918	0.9934
919	0.9934
920	0.9934
921	0.9933
922	0.9931
923	0.9933
924	0.9933
925	0.9932
926	0.9933
927	0.9934
928	0.9932
929	0.9931
930	0.9931
931	0.9932
932	0.9933
933	0.9932
934	0.9933
935	0.9933
936	0.9933
937	0.9934
938	0.9933
939	0.9933
940	0.9932
941	0.9932
942	0.9932
943	0.9933
944	0.9933
945	0.9932
946	0.9934
947	0.9935
948	0.9934
949	0.9934
950	0.9933
951	0.9933
952	0.9933
953	0.9932
954	0.9931
955	0.9929
956	0.9930
957	0.9931
958	0.9930
959	0.9931
960	0.9933
961	0.9930
962	0.9933
963	0.9933
964	0.9931
965	0.9933
966	0.9934
967	0.9935
968	0.9932
969	0.9931
970	0.9931
971	0.9933
972	0.9935
973	0.9931
974	0.9931
975	0.9934
976	0.9934
977	0.9936
978	0.9933
979	0.9933
980	0.9932
981	0.9933
982	0.9932
983	0.9932
984	0.9932
985	0.9932
986	0.9933
987	0.9933
988	0.9934
989	0.9933
990	0.9933
991	0.9933
992	0.9935
993	0.9934
994	0.9931
995	0.9932
996	0.9933
997	0.9932
998	0.9930
999	0.9930
1000	0.9932
1001	0.9933
1002	0.9934
1003	0.9931
1004	0.9930
1005	0.9930
1006	0.9933
1007	0.9932
1008	0.9932
1009	0.9931
1010	0.9934
1011	0.9933
1012	0.9931
1013	0.9930
1014	0.9932
1015	0.9931
1016	0.9931
1017	0.9931
1018	0.9930
1019	0.9930
1020	0.9929
1021	0.9931
1022	0.9931
1023	0.9931
1024	0.9932
1025	0.9932
1026	0.9933
1027	0.9934
1028	0.9933
1029	0.9931
1030	0.9932
1031	0.9931
1032	0.9928
1033	0.9933
1034	0.9934
1035	0.9930
1036	0.9930
1037	0.9931
1038	0.9931
1039	0.9929
1040	0.9931
1041	0.9932
1042	0.9931
1043	0.9932
1044	0.9933
1045	0.9932
1046	0.9930
1047	0.9930
1048	0.9931
1049	0.9930
1050	0.9930
1051	0.9932
1052	0.9932
1053	0.9933
1054	0.9932
1055	0.9932
1056	0.9934
1057	0.9931
1058	0.9932
1059	0.9930
1060	0.9930
1061	0.9931
1062	0.9933
1063	0.9932
1064	0.9932
1065	0.9933
1066	0.9931
1067	0.9931
1068	0.9930
1069	0.9930
1070	0.9931
1071	0.9930
1072	0.9932
1073	0.9931
1074	0.9931
1075	0.9932
1076	0.9932
1077	0.9933
1078	0.9936
1079	0.9933
1080	0.9931
1081	0.9933
1082	0.9931
1083	0.9932
1084	0.9931
1085	0.9933
1086	0.9933
1087	0.9934
1088	0.9932
1089	0.9934
1090	0.9932
1091	0.9932
1092	0.9932
1093	0.9932
1094	0.9933
1095	0.9933
1096	0.9933
1097	0.9933
1098	0.9933
1099	0.9932
1100	0.9931
1101	0.9931
1102	0.9929
1103	0.9930
1104	0.9932
1105	0.9932
1106	0.9932
1107	0.9933
1108	0.9932
1109	0.9932
1110	0.9933
1111	0.9931
1112	0.9929
1113	0.9927
1114	0.9931
1115	0.9931
1116	0.9933
1117	0.9932
1118	0.9933
1119	0.9933
1120	0.9933
1121	0.9933
1122	0.9932
1123	0.9931
1124	0.9931
1125	0.9930
1126	0.9930
1127	0.9930
1128	0.9931
1129	0.9931
1130	0.9933
1131	0.9934
1132	0.9930
1133	0.9931
1134	0.9931
1135	0.9931
1136	0.9929
1137	0.9930
1138	0.9932
1139	0.9934
1140	0.9932
1141	0.9931
1142	0.9931
1143	0.9932
1144	0.9931
1145	0.9931
1146	0.9932
1147	0.9932
1148	0.9932
1149	0.9930
1150	0.9931
1151	0.9931
1152	0.9928
1153	0.9929
1154	0.9930
1155	0.9928
1156	0.9930
1157	0.9930
1158	0.9929
1159	0.9928
1160	0.9926
1161	0.9927
1162	0.9928
1163	0.9928
1164	0.9929
1165	0.9927
1166	0.9928
1167	0.9929
1168	0.9928
1169	0.9926
1170	0.9926
1171	0.9926
1172	0.9927
1173	0.9926
1174	0.9926
1175	0.9926
1176	0.9924
1177	0.9925
1178	0.9926
1179	0.9926
1180	0.9926
1181	0.9926
1182	0.9925
1183	0.9923
1184	0.9924
1185	0.9926
1186	0.9925
1187	0.9924
1188	0.9922
1189	0.9922
1190	0.9923
1191	0.9925
1192	0.9925
1193	0.9923
1194	0.9922
1195	0.9921
1196	0.9921
1197	0.9922
1198	0.9922
1199	0.9922
1200	0.9921
1201	0.9920
1202	0.9921
1203	0.9920
1204	0.9920
1205	0.9921
1206	0.9921
1207	0.9921
1208	0.9922
1209	0.9923
1210	0.9921
1211	0.9918
1212	0.9919
1213	0.9920
1214	0.9918
1215	0.9918
1216	0.9918
1217	0.9918
1218	0.9920
1219	0.9920
1220	0.9921
1221	0.9921
1222	0.9920
1223	0.9919
1224	0.9919
1225	0.9921
1226	0.9921
1227	0.9920
1228	0.9922
1229	0.9922
1230	0.9921
1231	0.9921
1232	0.9921
1233	0.9921
1234	0.9921
1235	0.9921
1236	0.9920
1237	0.9919
1238	0.9920
1239	0.9922
1240	0.9922
1241	0.9920
1242	0.9920
1243	0.9920
1244	0.9921
1245	0.9921
1246	0.9920
1247	0.9919
1248	0.9919
1249	0.9921
1250	0.9920
1251	0.9920
1252	0.9920
1253	0.9918
1254	0.9920
1255	0.9920
1256	0.9919
1257	0.9918
1258	0.9916
1259	0.9917
1260	0.9918
1261	0.9918
1262	0.9918
1263	0.9919
1264	0.9919
1265	0.9917
1266	0.9916
1267	0.9918
1268	0.9918
1269	0.9918
1270	0.9918
1271	0.9916
1272	0.9916
1273	0.9918
1274	0.9916
1275	0.9915
1276	0.9914
1277	0.9912
1278	0.9913
1279	0.9913
1280	0.9914
1281	0.9916
1282	0.9915
1283	0.9914
1284	0.9915
1285	0.9916
1286	0.9915
1287	0.9914
1288	0.9915
1289	0.9916
1290	0.9915
1291	0.9914
1292	0.9912
1293	0.9911
1294	0.9913
1295	0.9915
1296	0.9913
1297	0.9911
1298	0.9909
1299	0.9910
1300	0.9910
1301	0.9909
1302	0.9910
1303	0.9911
1304	0.9910
1305	0.9909
1306	0.9907
1307	0.9906
1308	0.9908
1309	0.9909
1310	0.9908
1311	0.9906
1312	0.9906
1313	0.9907
1314	0.9907
1315	0.9906
1316	0.9907
1317	0.9905
1318	0.9905
1319	0.9905
1320	0.9904
1321	0.9905
1322	0.9906
1323	0.9906
1324	0.9905
1325	0.9905
1326	0.9904
1327	0.9903
1328	0.9902
1329	0.9902
1330	0.9904
1331	0.9904
1332	0.9902
1333	0.9901
1334	0.9901
1335	0.9901
1336	0.9901
1337	0.9902
1338	0.9902
1339	0.9902
1340	0.9902
1341	0.9902
1342	0.9900
1343	0.9900
1344	0.9903
1345	0.9902
1346	0.9899
1347	0.9899
1348	0.9902
1349	0.9902
1350	0.9901
1351	0.9901
1352	0.9900
1353	0.9899
1354	0.9900
1355	0.9899
1356	0.9899
1357	0.9899
1358	0.9899
1359	0.9899
1360	0.9898
1361	0.9898
1362	0.9899
1363	0.9900
1364	0.9901
1365	0.9901
1366	0.9900
1367	0.9900
1368	0.9900
1369	0.9899
1370	0.9900
1371	0.9899
1372	0.9898
1373	0.9899
1374	0.9901
1375	0.9897
1376	0.9897
1377	0.9898
1378	0.9900
1379	0.9899
1380	0.9900
1381	0.9899
1382	0.9898
1383	0.9899
1384	0.9898
1385	0.9898
1386	0.9898
1387	0.9899
1388	0.9896
1389	0.9896
1390	0.9898
1391	0.9897
1392	0.9899
1393	0.9899
1394	0.9899
1395	0.9898
1396	0.9897
1397	0.9896
1398	0.9899
1399	0.9898
1400	0.9897
1401	0.9898
1402	0.9898
1403	0.9897
1404	0.9899
1405	0.9900
1406	0.9899
1407	0.9899
1408	0.9898
1409	0.9899
1410	0.9902
1411	0.9903
1412	0.9901
1413	0.9900
1414	0.9902
1415	0.9902
1416	0.9902
1417	0.9901
1418	0.9902
1419	0.9903
1420	0.9904
1421	0.9906
1422	0.9908
1423	0.9908
1424	0.9906
1425	0.9906
1426	0.9906
1427	0.9906
1428	0.9906
1429	0.9906
1430	0.9905
1431	0.9908
1432	0.9909
1433	0.9909
1434	0.9905
1435	0.9906
1436	0.9906
1437	0.9907
1438	0.9906
1439	0.9903
1440	0.9903
1441	0.9906
1442	0.9908
1443	0.9906
1444	0.9908
1445	0.9907
1446	0.9908
1447	0.9907
1448	0.9907
1449	0.9909
1450	0.9909
1451	0.9910
1452	0.9909
1453	0.9908
1454	0.9908
1455	0.9906
1456	0.9909
1457	0.9909
1458	0.9910
1459	0.9910
1460	0.9908
1461	0.9908
1462	0.9908
1463	0.9907
1464	0.9907
1465	0.9906
1466	0.9909
1467	0.9909
1468	0.9911
1469	0.9910
1470	0.9910
1471	0.9910
1472	0.9911
