CSIRO Aspendale	
691	1.014946021
692	1.014958784
693	1.014973408
694	1.014994357
695	1.015022051
696	1.015039892
697	1.015029315
698	1.015016393
699	1.015024764
700	1.015108156
701	1.015141052
702	1.015152242
703	1.015203249
704	1.015185037
705	1.015175946
706	1.015192221
707	1.01522272
708	1.015245572
709	1.015273309
710	1.015306962
711	1.015296858
712	1.015297556
713	1.01532282
714	1.015399643
715	1.015409928
716	1.01545192
717	1.015503908
718	1.015541707
719	1.015561222
720	1.015566417
721	1.015558668
722	1.0156129
723	1.015641059
724	1.015639788
725	1.015643676
726	1.015676597
727	1.015694376
728	1.015725214
729	1.015773487
730	1.015795946
731	1.015783102
732	1.015783631
733	1.015819758
734	1.015824795
735	1.015841611
736	1.015856273
737	1.015869743
738	1.015909976
739	1.015950553
740	1.015979904
741	1.016005153
742	1.016006043
743	1.016014194
744	1.01601565
745	1.016042754
746	1.016091361
747	1.01610403
748	1.016106797
749	1.016121525
750	1.016170228
751	1.016194312
752	1.016208579
753	1.016219541
754	1.016253378
755	1.016289175
756	1.016308899
757	1.016297617
758	1.016319
759	1.016302324
760	1.016310948
761	1.016329859
762	1.016379095
763	1.0164262
764	1.016454187
765	1.016470007
766	1.016488122
767	1.016490185
768	1.016495959
769	1.016538464
770	1.01656402
771	1.016566389
772	1.016562122
773	1.016560758
774	1.016594542
775	1.016607789
776	1.01663251
777	1.016613056
778	1.016611354
779	1.01663705
780	1.016655854
781	1.016677836
782	1.016694952
783	1.016688063
784	1.016703025
785	1.016722183
786	1.016712905
787	1.016724338
788	1.016773064
789	1.016787638
790	1.016784266
791	1.016808282
792	1.016802101
793	1.016818783
794	1.016857574
795	1.016882875
796	1.016856668
797	1.016858502
798	1.016911004
799	1.016922234
800	1.016932795
801	1.016954257
802	1.017014034
803	1.017047816
804	1.017082961
805	1.017110037
806	1.017125781
807	1.017149381
808	1.017167167
809	1.017174588
810	1.017182538
811	1.017192693
812	1.017196086
813	1.017207818
814	1.017210881
815	1.017219927
816	1.01725969
817	1.017306797
818	1.017322708
819	1.017325879
820	1.017355706
821	1.01737515
822	1.017378188
823	1.017369658
824	1.017401379
825	1.017410698
826	1.017432804
827	1.017442626
828	1.017486347
829	1.017534582
830	1.017610083
831	1.017641954
832	1.017619358
833	1.017677332
834	1.01765595
835	1.017658511
836	1.017670885
837	1.01768622
838	1.017724617
839	1.017717497
840	1.017779294
841	1.017776797
842	1.017759521
843	1.017777435
844	1.017778037
845	1.017827097
846	1.017819381
847	1.017809712
848	1.017815236
849	1.017807483
850	1.017854741
851	1.017889531
852	1.017906251
853	1.017925634
854	1.017948633
855	1.017961417
856	1.017971146
857	1.018034538
858	1.018104816
859	1.01811782
860	1.018070397
861	1.018056937
862	1.01804478
863	1.0180562
864	1.018119121
865	1.018137426
866	1.018101957
867	1.018106511
868	1.018132796
869	1.018151756
870	1.018163683
871	1.018178829
872	1.018198123
873	1.018171775
874	1.018206534
875	1.018246616
876	1.018225872
877	1.018202539
878	1.018192353
879	1.018252424
880	1.018229134
881	1.018214529
882	1.018212617
883	1.01825062
884	1.018235733
885	1.018193807
886	1.018296411
887	1.018426493
888	1.018352972
889	1.018350722
890	1.018331405
891	1.018292771
892	1.018314308
893	1.018286067
894	1.018332554
895	1.018384457
896	1.018410916
897	1.018420273
898	1.018421078
899	1.018424799
900	1.018431326
901	1.018420604
902	1.018425897
903	1.018410733
904	1.018491381
905	1.018454436
906	1.018406019
907	1.01849862
908	1.018575405
909	1.018600818
910	1.018599445
911	1.018592618
912	1.018668858
913	1.018611707
914	1.018544177
915	1.018566395
916	1.018519033
917	1.018585577
918	1.018641658
919	1.018641694
920	1.018660537
921	1.018658696
922	1.018575991
923	1.018535676
924	1.018625524
925	1.018710684
926	1.018687677
927	1.01867815
928	1.018754898
929	1.018813018
930	1.018786298
931	1.01877377
932	1.018766239
933	1.018830844
934	1.018741729
935	1.018802251
936	1.018755011
937	1.018742259
938	1.018710471
939	1.018833542
940	1.018872942
941	1.018824856
942	1.0188793
943	1.018880207
944	1.018831921
945	1.018894407
946	1.018961956
947	1.018985514
948	1.019078798
949	1.018978892
950	1.018841552
951	1.018937948
952	1.018969229
953	1.019051641
954	1.019070765
955	1.018874325
956	1.018994338
957	1.01914766
958	1.01921496
959	1.019224058
960	1.019128258
961	1.018984002
962	1.01893567
963	1.019189684
964	1.019352569
965	1.019351348
966	1.019302881
967	1.01922677
968	1.019196614
969	1.019300683
970	1.019336905
971	1.019302893
972	1.0191664
973	1.019145191
974	1.019287911
975	1.019367275
976	1.019265107
977	1.019094434
978	1.019028945
979	1.019233826
980	1.019487621
981	1.019474108
982	1.019484712
983	1.019510119
984	1.019451905
985	1.019522148
986	1.019543971
987	1.019448513
988	1.019584033
989	1.019427013
990	1.019416124
991	1.01960402
992	1.019706376
993	1.019820265
994	1.019780885
995	1.019721843
996	1.019705207
997	1.019341543
998	1.01958013
999	1.019611273
1000	1.019692085
1001	1.019663674
1002	1.019541864
1003	1.019616329
1004	1.019599206
1005	1.019571139
1006	1.019556663
1007	1.019561531
1008	1.019635535
1009	1.01961797
1010	1.019712766
1011	1.019725443
1012	1.019766445
1013	1.019707959
1014	1.019668726
1015	1.019655622
1016	1.019672358
1017	1.019775128
1018	1.01975742
1019	1.019841551
1020	1.019699379
1021	1.019648385
1022	1.019662693
1023	1.019637097
1024	1.01970725
1025	1.019697432
1026	1.019702716
1027	1.01977383
1028	1.01981971
1029	1.019749223
1030	1.019746229
1031	1.019786156
1032	1.019818974
1033	1.0197742
1034	1.019757053
1035	1.019770117
1036	1.019895478
1037	1.01987964
1038	1.019962803
1039	1.019949604
1040	1.019961924
1041	1.019971722
1042	1.019972634
1043	1.019937099
1044	1.019885374
1045	1.019953455
1046	1.019940021
1047	1.019864264
1048	1.019861542
1049	1.019836774
1050	1.019929145
1051	1.019946295
1052	1.019955024
1053	1.019924649
1054	1.019987668
1055	1.019958627
1056	1.01997373
1057	1.020014545
1058	1.020044573
1059	1.020060907
1060	1.020048245
1061	1.020040873
1062	1.02001711
1063	1.019940137
1064	1.020004695
1065	1.019975368
1066	1.020023447
1067	1.019957837
1068	1.020018902
1069	1.020018526
1070	1.019973907
1071	1.020058998
1072	1.020011959
1073	1.0200076
1074	1.019985418
1075	1.020008849
1076	1.019991741
1077	1.020087243
1078	1.020111231
1079	1.020130102
1080	1.020074337
1081	1.020138272
1082	1.02007487
1083	1.020131326
1084	1.020111156
1085	1.020122274
1086	1.020099662
1087	1.020089214
1088	1.020131781
1089	1.020145154
1090	1.020221815
1091	1.020197342
1092	1.020191642
1093	1.020178359
1094	1.02019796
1095	1.020175653
1096	1.020157675
1097	1.020172712
1098	1.020213443
1099	1.020252254
1100	1.020327066
1101	1.020256953
1102	1.020276992
1103	1.020291638
1104	1.020239716
1105	1.020234251
1106	1.020235073
1107	1.020250284
1108	1.020306735
1109	1.020324512
1110	1.02039894
1111	1.020379417
1112	1.02041708
1113	1.020445526
1114	1.020485393
1115	1.020487119
1116	1.02047292
1117	1.020513428
1118	1.020511827
1119	1.020480531
1120	1.020512644
1121	1.020469432
1122	1.020490251
1123	1.020527019
1124	1.020498364
1125	1.02054994
1126	1.020592532
1127	1.020552865
1128	1.020566729
1129	1.020582316
1130	1.02059258
1131	1.020677533
1132	1.020643896
1133	1.020689684
1134	1.020691421
1135	1.020687356
1136	1.020777156
1137	1.020782348
1138	1.020799398
1139	1.020787503
1140	1.020797456
1141	1.020784771
1142	1.020770335
1143	1.02075233
1144	1.02079271
1145	1.020777123
1146	1.020786505
1147	1.020769083
1148	1.020761317
1149	1.02074552
1150	1.020740025
1151	1.020730972
1152	1.020763746
1153	1.020716429
1154	1.020721119
1155	1.02069831
1156	1.020696146
1157	1.020674175
1158	1.020658285
1159	1.020647449
1160	1.020629449
1161	1.020653779
1162	1.020622924
1163	1.020611415
1164	1.020602861
1165	1.020573086
1166	1.020546096
1167	1.020526986
1168	1.020482785
1169	1.020465142
1170	1.02047598
1171	1.020400922
1172	1.020392578
1173	1.020361171
1174	1.02033038
1175	1.020322232
1176	1.020302174
1177	1.020304165
1178	1.020243365
1179	1.020222103
1180	1.020197323
1181	1.020161626
1182	1.020141421
1183	1.020103619
1184	1.020050547
1185	1.020068229
1186	1.020037044
1187	1.020039541
1188	1.020062209
1189	1.020045708
1190	1.020004549
1191	1.020009068
1192	1.019977566
1193	1.019944761
1194	1.019893242
1195	1.019913435
1196	1.019885719
1197	1.019826493
1198	1.019833944
1199	1.019845717
1200	1.019815967
1201	1.019813714
1202	1.019795419
1203	1.019749829
1204	1.019738506
1205	1.01974892
1206	1.019731382
1207	1.019741117
1208	1.019753195
1209	1.01973271
1210	1.019695058
1211	1.019702924
1212	1.019715677
1213	1.019734055
1214	1.019736819
1215	1.019756958
1216	1.019723948
1217	1.019744221
1218	1.019735394
1219	1.01975077
1220	1.019766382
1221	1.019769467
1222	1.019804359
1223	1.01981754
1224	1.019822417
1225	1.019847399
1226	1.019875533
1227	1.019858462
1228	1.019872932
1229	1.019895729
1230	1.019891573
1231	1.019860672
1232	1.019854698
1233	1.019838646
1234	1.01981685
1235	1.019821442
1236	1.019789508
1237	1.019784771
1238	1.019754293
1239	1.019754906
1240	1.019799529
1241	1.019839378
1242	1.019854205
1243	1.01987843
1244	1.019875841
1245	1.019874413
1246	1.019818226
1247	1.019799784
1248	1.0198357
1249	1.019841507
1250	1.019856447
1251	1.019866487
1252	1.019859977
1253	1.019839849
1254	1.019828267
1255	1.019811038
1256	1.019826607
1257	1.019824653
1258	1.019839184
1259	1.019782897
1260	1.019794111
1261	1.019777829
1262	1.019765905
1263	1.019757322
1264	1.019770795
1265	1.019759355
1266	1.01971275
1267	1.019701067
1268	1.019724145
1269	1.019689263
1270	1.019745345
1271	1.019724822
1272	1.01970349
1273	1.019691631
1274	1.01970834
1275	1.019708529
1276	1.019681873
1277	1.019693158
1278	1.019709711
1279	1.019682294
1280	1.019677875
1281	1.019647575
1282	1.019591136
1283	1.019585905
1284	1.019536779
1285	1.01950554
1286	1.019497108
1287	1.019461979
1288	1.01944711
1289	1.01940332
1290	1.019382889
1291	1.019372196
1292	1.019375708
1293	1.019339389
1294	1.019318725
1295	1.0192888
1296	1.019307399
1297	1.019291176
1298	1.019279392
1299	1.019217859
1300	1.01919808
1301	1.019173833
1302	1.019174872
1303	1.019152993
1304	1.019130892
1305	1.01912571
1306	1.019104772
1307	1.019071985
1308	1.019022396
1309	1.018989223
1310	1.018993692
1311	1.018970936
1312	1.018983211
1313	1.018934147
1314	1.018923194
1315	1.018930008
1316	1.018898771
1317	1.018932723
1318	1.018938147
1319	1.0188926
1320	1.018888428
1321	1.018893344
1322	1.018893372
1323	1.018898474
1324	1.018884389
1325	1.018914214
1326	1.018887739
1327	1.018894567
1328	1.018876491
1329	1.018851692
1330	1.018850817
1331	1.018873888
1332	1.018846277
1333	1.018807415
1334	1.018769525
1335	1.018769908
1336	1.018788188
1337	1.018750874
1338	1.018748361
1339	1.018709924
1340	1.018703911
1341	1.018673728
1342	1.018690027
1343	1.018700499
1344	1.018706756
1345	1.018710101
1346	1.018699451
1347	1.018674551
1348	1.018658309
1349	1.018630597
1350	1.018607082
1351	1.018609462
1352	1.018576904
1353	1.018549743
1354	1.018550455
1355	1.018537673
1356	1.018488768
1357	1.018513778
1358	1.018461659
1359	1.01842898
1360	1.018412042
1361	1.018437323
1362	1.018413007
1363	1.018377336
1364	1.018365876
1365	1.01832549
1366	1.018289718
1367	1.018260161
1368	1.018274007
1369	1.018305727
1370	1.01831507
1371	1.018269278
1372	1.018262637
1373	1.018259166
1374	1.018258325
1375	1.018281833
1376	1.018271948
1377	1.018228523
1378	1.018214018
1379	1.018211805
1380	1.018184605
1381	1.018224811
1382	1.018229909
1383	1.01826221
1384	1.018299858
1385	1.018303651
1386	1.018301264
1387	1.018326721
1388	1.018358639
1389	1.018364858
1390	1.018399839
1391	1.018421747
1392	1.018427564
1393	1.01843975
1394	1.018427536
1395	1.018435656
1396	1.018441886
1397	1.018434954
1398	1.01840518
1399	1.018377655
1400	1.018362701
1401	1.01840129
1402	1.018424766
1403	1.018435302
1404	1.018442568
1405	1.01843249
1406	1.018451681
1407	1.018467191
1408	1.018474236
1409	1.018512096
1410	1.018546205
1411	1.018561911
1412	1.018582248
1413	1.018624895
1414	1.018665018
1415	1.018674326
1416	1.01869869
1417	1.018714567
1418	1.018749726
1419	1.018755742
1420	1.018780515
1421	1.018803206
1422	1.018809696
1423	1.018848633
1424	1.018879972
1425	1.018910465
1426	1.018950658
1427	1.018992526
1428	1.01902807
1429	1.019069493
1430	1.019114278
1431	1.019165353
1432	1.019210113
1433	1.019264482
1434	1.019270546
1435	1.01932277
1436	1.019357473
1437	1.019411425
1438	1.019426397
1439	1.019469495
1440	1.019496109
1441	1.019549606
1442	1.019555935
1443	1.019596901
1444	1.019620461
1445	1.019651016
1446	1.019680276
1447	1.019708821
1448	1.019712937
1449	1.019752473
1450	1.019780769
1451	1.019822166
1452	1.019818012
1453	1.019825493
1454	1.019835116
1455	1.01980439
1456	1.019850486
1457	1.01986789
1458	1.019884216
1459	1.019911221
1460	1.019910404
1461	1.019915628
1462	1.019933673
1463	1.019958405
1464	1.019940592
1465	1.019940024
1466	1.019935772
1467	1.019908641
1468	1.019951307
1469	1.019960607
1470	1.019966604
1471	1.019973448
1472	1.019972583
1473	1.019978432
1474	1.019975583
1475	1.019943575
1476	1.019940136
1477	1.019943055
1478	1.019943351
1479	1.019936126
1480	1.019938743
1481	1.019940812
1482	1.019951228
1483	1.019957368
1484	1.019963278
1485	1.019959432
1486	1.019982633
1487	1.019996849
1488	1.019987434
1489	1.019998253
1490	1.020005192
1491	1.019998677
1492	1.02001248
1493	1.020010312
1494	1.020013283
1495	1.020010444
1496	1.019996267
1497	1.019971305
1498	1.019974792
1499	1.020010452
1500	1.020019003
1501	1.020036709
1502	1.020047871
1503	1.020077853
1504	1.020082347
1505	1.020086143
1506	1.020098811
1507	1.020101785
1508	1.020118403
1509	1.020120477
1510	1.02016074
1511	1.020148545
1512	1.020138493
1513	1.020130615
1514	1.020135536
1515	1.02017788
1516	1.020170951
1517	1.020181249
1518	1.020218164
1519	1.020203174
1520	1.020198308
1521	1.020187628
1522	1.020203011
1523	1.020183154
1524	1.020216641
1525	1.020224852
1526	1.02023167
1527	1.020248101
1528	1.020266302
1529	1.020274957
1530	1.020280064
1531	1.02030158
1532	1.020320673
1533	1.020314178
1534	1.020343455
1535	1.020341493
1536	1.020343175
1537	1.020346356
1538	1.020363441
1539	1.020366764
1540	1.020386174
1541	1.020362922
1542	1.020338655
1543	1.020357156
1544	1.020322862
1545	1.020288764
1546	1.020251956
1547	1.020241695
1548	1.020234771
1549	1.020236314
1550	1.020203777
1551	1.02018597
1552	1.020173809
1553	1.020190172
1554	1.020181843
1555	1.020208382
1556	1.020233162
1557	1.020256181
1558	1.020256928
1559	1.020285009
1560	1.020292178
1561	1.020268075
1562	1.020282699
1563	1.020260159
1564	1.020267608
1565	1.020275709
1566	1.020271753
1567	1.020289152
1568	1.020253846
1569	1.02024282
1570	1.020292204
1571	1.020326297
1572	1.020330423
1573	1.020353973
1574	1.020403495
1575	1.0204184
1576	1.020439424
1577	1.020446833
1578	1.020482695
1579	1.020484377
1580	1.020504252
1581	1.020506978
1582	1.020495454
1583	1.020516825
1584	1.020570953
1585	1.020600532
1586	1.02057089
1587	1.020570685
1588	1.020562008
1589	1.020547533
1590	1.02057131
1591	1.020588883
1592	1.020556472
1593	1.02056224
1594	1.020547758
1595	1.020491555
1596	1.020495274
1597	1.020479179
1598	1.020440423
1599	1.020440903
1600	1.020410412
1601	1.020481697
1602	1.020464402
1603	1.020448349
1604	1.020452611
1605	1.02044562
1606	1.020460218
1607	1.020425318
1608	1.020416387
1609	1.020403792
1610	1.020367581
1611	1.020345679
1612	1.020345356
1613	1.020322944
1614	1.02029242
1615	1.020244976
1616	1.020218744
1617	1.020172364
1618	1.020127837
1619	1.020083158
1620	1.020068979
1621	1.020014494
1622	1.019965506
1623	1.019959065
1624	1.019887857
1625	1.019846999
1626	1.019816417
1627	1.019796217
1628	1.019766943
1629	1.019730692
1630	1.019689621
1631	1.019726532
1632	1.01972417
1633	1.019726388
1634	1.019651474
1635	1.019613424
1636	1.019584431
1637	1.019551672
1638	1.019523719
1639	1.019522865
1640	1.019524852
1641	1.019536396
1642	1.019527037
1643	1.019508108
1644	1.019461205
1645	1.019434489
1646	1.019378174
1647	1.019343326
1648	1.019335375
1649	1.019333429
1650	1.019297545
1651	1.019291222
1652	1.019241935
1653	1.01921282
1654	1.019139482
1655	1.019059
1656	1.019046079
1657	1.019025343
1658	1.018985061
1659	1.018951113
1660	1.018922961
1661	1.018849299
1662	1.018794748
1663	1.018748946
1664	1.018657156
1665	1.018651015
1666	1.018606493
1667	1.018570835
1668	1.018508239
1669	1.018465727
1670	1.018480838
1671	1.018434222
1672	1.018438715
1673	1.018385295
1674	1.01835446
1675	1.018340918
1676	1.018295395
1677	1.018287377
1678	1.018292016
1679	1.018265273
1680	1.01820052
1681	1.018225794
1682	1.018189248
1683	1.018159697
1684	1.018179711
1685	1.018138147
1686	1.018107262
1687	1.01804933
1688	1.018044951
1689	1.017998826
1690	1.018002923
1691	1.017992092
1692	1.017977952
1693	1.018008786
1694	1.017997347
1695	1.017956614
1696	1.017940602
1697	1.017923713
1698	1.01790947
1699	1.017925212
1700	1.017881706
1701	1.017878398
1702	1.017864799
1703	1.017884573
1704	1.01788224
1705	1.017850527
1706	1.017860501
1707	1.01779911
1708	1.017838894
1709	1.017825395
1710	1.017797847
1711	1.017824458
1712	1.01778673
1713	1.01781937
1714	1.017832511
1715	1.017813485
1716	1.017783908
1717	1.017791536
1718	1.017766894
1719	1.017841965
1720	1.01786791
1721	1.017847039
1722	1.017815041
1723	1.017828179
1724	1.017824556
1725	1.017832742
1726	1.017827692
1727	1.017812584
1728	1.017797574
1729	1.017847486
1730	1.017908854
1731	1.017951456
1732	1.01793109
1733	1.01799554
1734	1.017939814
1735	1.017933207
1736	1.017946635
1737	1.017938424
1738	1.017960323
1739	1.017910441
1740	1.017929828
1741	1.017897598
1742	1.017933242
1743	1.017917876
1744	1.01795318
1745	1.017947325
1746	1.01792433
1747	1.017921331
1748	1.017913614
1749	1.017920665
1750	1.017932993
1751	1.017939336
1752	1.017950752
1753	1.018003385
1754	1.017990597
1755	1.018047546
1756	1.018082951
1757	1.018107541
1758	1.018166927
1759	1.018122036
1760	1.018119647
1761	1.018162017
1762	1.018204826
1763	1.018302917
1764	1.01833884
1765	1.018350817
1766	1.018427241
1767	1.018428321
1768	1.018487348
1769	1.018489503
1770	1.018539922
1771	1.018567249
1772	1.018597517
1773	1.018658246
1774	1.018641623
1775	1.018650513
1776	1.018667508
1777	1.018680881
1778	1.018684025
1779	1.018638467
1780	1.018654664
1781	1.01870744
1782	1.018671263
1783	1.01865009
1784	1.018716293
1785	1.018625435
1786	1.01861249
1787	1.018609776
1788	1.018588731
1789	1.01857202
1790	1.018598838
1791	1.018588643
1792	1.018584597
1793	1.018560341
1794	1.018518537
1795	1.018526068
1796	1.01850542
1797	1.018539369
1798	1.018507889
1799	1.018442597
1800	1.018457322
1801	1.018367982
1802	1.018310209
1803	1.018293736
1804	1.018181274
1805	1.018102943
1806	1.018046608
1807	1.017959029
1808	1.017967884
1809	1.017969504
1810	1.017876366
1811	1.017808244
1812	1.017750593
1813	1.017628822
1814	1.017582951
1815	1.017509516
1816	1.01742653
1817	1.017311565
1818	1.017213381
1819	1.017099999
1820	1.017081272
1821	1.016929063
1822	1.016919342
1823	1.016818003
1824	1.016717061
1825	1.016674158
1826	1.016573554
1827	1.016549213
1828	1.016441401
1829	1.016402833
1830	1.016323726
1831	1.016214071
1832	1.016132324
1833	1.016098857
1834	1.016012822
1835	1.015941237
1836	1.015827576
1837	1.015709264
1838	1.015599099
1839	1.015496357
1840	1.015398479
1841	1.01538333
1842	1.015342496
1843	1.015206193
1844	1.015122993
1845	1.015097075
1846	1.01506299
1847	1.015021671
1848	1.015003649
1849	1.015009695
1850	1.014949128
1851	1.014884047
1852	1.014915835
1853	1.014920997
1854	1.014845544
1855	1.014822081
1856	1.014770578
1857	1.014707858
1858	1.014657104
1859	1.014622807
1860	1.014621822
1861	1.014634067
1862	1.014630019
1863	1.014654659
1864	1.014702402
1865	1.014647594
1866	1.014592844
1867	1.014537244
1868	1.014517625
1869	1.014446555
1870	1.014483322
1871	1.014480017
1872	1.014433591
1873	1.014395304
1874	1.014396293
1875	1.014346275
1876	1.014393749
1877	1.014392663
1878	1.014381722
1879	1.014374696
1880	1.014327819
1881	1.014322983
1882	1.014279836
1883	1.014259956
1884	1.014296718
1885	1.01429954
1886	1.014303696
1887	1.014310066
1888	1.014266812
1889	1.014205484
1890	1.014160306
1891	1.014106082
1892	1.014057145
1893	1.01400959
1894	1.014036902
1895	1.013995653
1896	1.013952733
1897	1.013946283
1898	1.013975503
1899	1.013933807
1900	1.013966627
1901	1.014013937
1902	1.014025464
1903	1.014047692
1904	1.014005649
1905	1.013926586
1906	1.013875885
1907	1.013857859
1908	1.013807867
1909	1.01378663
1910	1.013734142
1911	1.013659394
1912	1.013606422
1913	1.013546648
1914	1.013481613
1915	1.013417789
1916	1.013358181
1917	1.013317776
1918	1.013224814
1919	1.013153417
1920	1.013122453
1921	1.013062552
1922	1.013030248
1923	1.013032457
1924	1.01307526
1925	1.013041752
1926	1.013021017
1927	1.013014683
1928	1.012990038
1929	1.012966493
1930	1.012939578
1931	1.012889537
1932	1.012877353
1933	1.012866032
1934	1.01284624
1935	1.012819977
1936	1.01284877
1937	1.012789774
1938	1.012741897
1939	1.01274936
1940	1.012729612
1941	1.012718925
1942	1.012746594
1943	1.012707697
1944	1.012691206
1945	1.012601416
1946	1.012537598
1947	1.012480167
1948	1.012408966
1949	1.01239386
1950	1.01236834
1951	1.012298083
1952	1.012275146
1953	1.012258072
1954	1.012221165
1955	1.012156272
1956	1.012169505
1957	1.012105828
1958	1.012026995
1959	1.011948664
1960	1.011889713
1961	1.011836843
1962	1.011782689
1963	1.011762532
1964	1.011787163
1965	1.01177458
1966	1.011796033
1967	1.011798276
1968	1.011778041
