Curin University (CUT2)	
528	1.006727658
529	1.006910388
530	1.007023759
531	1.007036406
532	1.007094122
533	1.007228154
534	1.007283004
535	1.007315416
536	1.007413014
537	1.007498014
538	1.007501339
539	1.0075976
540	1.00767004
541	1.007631289
542	1.007680392
543	1.00781829
544	1.007953558
545	1.008005128
546	1.00807231
547	1.008162524
548	1.00822971
549	1.008241614
550	1.008259371
551	1.00829915
552	1.008366928
553	1.008505271
554	1.008549535
555	1.008577662
556	1.008625712
557	1.008698179
558	1.00872326
559	1.008771706
560	1.008842317
561	1.008898742
562	1.008930371
563	1.00899036
564	1.009069253
565	1.009121225
566	1.009184678
567	1.009298266
568	1.009334106
569	1.009364095
570	1.009387907
571	1.00946907
572	1.009518632
573	1.00952927
574	1.009555025
575	1.009632833
576	1.009645294
577	1.009666639
578	1.009764782
579	1.009835464
580	1.009824187
581	1.009893191
582	1.009934491
583	1.009929421
584	1.009976959
585	1.009977819
586	1.010012746
587	1.010032797
588	1.010081128
589	1.010104612
590	1.010145683
591	1.01018432
592	1.010200903
593	1.010297003
594	1.010315568
595	1.010324746
596	1.010349659
597	1.010321008
598	1.010339732
599	1.010345127
600	1.010426136
601	1.010488165
602	1.010506994
603	1.010483009
604	1.010493896
605	1.010515746
606	1.010540193
607	1.010597217
608	1.010619672
609	1.010633448
610	1.010696488
611	1.010731204
612	1.010709469
613	1.010738134
614	1.010771037
615	1.010789934
616	1.01084834
617	1.010846194
618	1.010851726
619	1.010925736
620	1.010920389
621	1.010912726
622	1.010919791
623	1.01097609
624	1.011010035
625	1.011003871
626	1.011011115
627	1.011093169
628	1.01115029
629	1.011144836
630	1.011205702
631	1.011234212
632	1.011218368
633	1.01123861
634	1.011281199
635	1.011304409
636	1.011324676
637	1.011316454
638	1.011360661
639	1.011408925
640	1.011431762
641	1.011471735
642	1.011483603
643	1.011509626
644	1.011553762
645	1.011572526
646	1.011601619
647	1.011625945
648	1.011680645
649	1.011675379
650	1.01168307
651	1.011767783
652	1.011778364
653	1.011794118
654	1.011819046
655	1.01184254
656	1.011860037
657	1.011924952
658	1.011947999
659	1.011983699
660	1.011980605
661	1.011985651
662	1.012021871
663	1.012063486
664	1.012064256
665	1.012056098
666	1.012097424
667	1.01212385
668	1.012181816
669	1.012218543
670	1.012214513
671	1.012302487
672	1.012335365
673	1.012330558
674	1.012352865
675	1.012391998
676	1.012458368
677	1.012511543
678	1.012516757
679	1.012556239
680	1.012607592
681	1.012611187
682	1.012617993
683	1.012623287
684	1.012652191
685	1.012678438
686	1.012725666
687	1.012735191
688	1.012778348
689	1.012857774
690	1.012913026
691	1.012939101
692	1.012959484
693	1.012981595
694	1.013009879
695	1.01304474
696	1.013069602
697	1.013065923
698	1.013059712
699	1.01307455
700	1.013164049
701	1.013202923
702	1.013219901
703	1.013276385
704	1.013263543
705	1.013259563
706	1.013280656
707	1.013315698
708	1.013342856
709	1.013374633
710	1.013412057
711	1.013405545
712	1.013409548
713	1.013437803
714	1.013517249
715	1.013530005
716	1.013574131
717	1.013627952
718	1.013667324
719	1.013688157
720	1.013694405
721	1.013687435
722	1.013742034
723	1.013770305
724	1.013768894
725	1.013772323
726	1.013804419
727	1.013821084
728	1.013850465
729	1.013896925
730	1.013917293
731	1.013902093
732	1.013899909
733	1.013932919
734	1.013934558
735	1.01394761
736	1.013958166
737	1.013967182
738	1.014002558
739	1.014037918
740	1.014061714
741	1.014081053
742	1.01407571
743	1.014077246
744	1.014071724
745	1.014091425
746	1.014132206
747	1.014136734
748	1.014130993
749	1.014136798
750	1.014176117
751	1.014190473
752	1.014194666
753	1.014195223
754	1.014218306
755	1.014243071
756	1.014251553
757	1.014228881
758	1.014238627
759	1.014210244
760	1.014206991
761	1.014213916
762	1.014251046
763	1.014286026
764	1.014301933
765	1.014305736
766	1.014311897
767	1.014302141
768	1.014296218
769	1.014327109
770	1.01434128
771	1.014332538
772	1.014317431
773	1.014305507
774	1.01432897
775	1.014332291
776	1.014347438
777	1.014318922
778	1.014308559
779	1.014326005
780	1.01433708
781	1.014351859
782	1.01436235
783	1.014349489
784	1.014359058
785	1.014373471
786	1.014360206
787	1.014368326
788	1.014414405
789	1.014427196
790	1.014422897
791	1.01444677
792	1.014441393
793	1.014459735
794	1.014501075
795	1.014529927
796	1.014508393
797	1.014515867
798	1.014574958
799	1.014593967
800	1.014613435
801	1.014644924
802	1.014715741
803	1.014761667
804	1.01480994
805	1.014851093
806	1.014881812
807	1.014921187
808	1.014955519
809	1.014980211
810	1.015006075
811	1.015034728
812	1.015057164
813	1.015088396
814	1.015111392
815	1.01514072
816	1.015201005
817	1.015268867
818	1.015305784
819	1.015330118
820	1.015381132
821	1.015421801
822	1.015446056
823	1.015458668
824	1.015511303
825	1.015541366
826	1.015583927
827	1.015613902
828	1.015677333
829	1.015744834
830	1.015839059
831	1.01588918
832	1.015884317
833	1.01595922
834	1.015954178
835	1.015972257
836	1.015999296
837	1.016028395
838	1.016079568
839	1.016084289
840	1.01615675
841	1.016163897
842	1.016155108
843	1.016180216
844	1.016186745
845	1.016240305
846	1.016235769
847	1.016227819
848	1.016233515
849	1.016224375
850	1.016268524
851	1.01629855
852	1.01630891
853	1.01632037
854	1.016333953
855	1.016335916
856	1.016333476
857	1.016383329
858	1.016438839
859	1.016436021
860	1.016371797
861	1.016340469
862	1.016309502
863	1.016301197
864	1.016343499
865	1.016340523
866	1.0162832
867	1.016265229
868	1.016268417
869	1.016263829
870	1.016251825
871	1.016242706
872	1.016237468
873	1.016186487
874	1.016196371
875	1.016211513
876	1.016165965
877	1.016117918
878	1.016083143
879	1.0161187
880	1.016071357
881	1.016033039
882	1.016007813
883	1.016022907
884	1.01598579
885	1.015922324
886	1.016003764
887	1.016113384
888	1.016020697
889	1.016000024
890	1.015963296
891	1.015908338
892	1.01591452
893	1.015872219
894	1.015905715
895	1.015945928
896	1.01596214
897	1.015962743
898	1.015956334
899	1.015954424
900	1.015956968
901	1.015944012
902	1.015948706
903	1.015934613
904	1.016017672
905	1.01598494
906	1.015942233
907	1.016041617
908	1.016126589
909	1.016161624
910	1.016171199
911	1.016176542
912	1.016265913
913	1.016223312
914	1.01617141
915	1.016210046
916	1.016180215
917	1.016264926
918	1.016340047
919	1.016360046
920	1.016399554
921	1.016419116
922	1.016358629
923	1.016341026
924	1.016453844
925	1.016562472
926	1.016563596
927	1.016578552
928	1.016679938
929	1.016763013
930	1.016761648
931	1.016774619
932	1.016792699
933	1.016882849
934	1.016819592
935	1.016905655
936	1.016884074
937	1.016896781
938	1.016890296
939	1.017038158
940	1.017102208
941	1.017078581
942	1.017156914
943	1.017181356
944	1.017156188
945	1.01724106
946	1.017330388
947	1.017375144
948	1.017488814
949	1.017408837
950	1.017290671
951	1.017405036
952	1.017453545
953	1.017552286
954	1.017587029
955	1.017405735
956	1.017539667
957	1.017706115
958	1.017785935
959	1.017806924
960	1.017722465
961	1.017588939
962	1.017550547
963	1.017813454
964	1.017984739
965	1.017991538
966	1.017950572
967	1.017881433
968	1.017857642
969	1.017967373
970	1.018008837
971	1.017979669
972	1.017847681
973	1.017830374
974	1.017976351
975	1.018058638
976	1.017959229
977	1.017791022
978	1.017727505
979	1.01793367
980	1.018188365
981	1.018175788
982	1.01818701
983	1.018212749
984	1.018154726
985	1.018224764
986	1.018246232
987	1.018150374
988	1.018285025
989	1.018127353
990	1.018115488
991	1.018302033
992	1.018403048
993	1.018515498
994	1.018474811
995	1.018414442
996	1.018396399
997	1.018031764
998	1.018268618
999	1.018298323
1000	1.018377681
1001	1.018348019
1002	1.018225142
1003	1.018298349
1004	1.018280146
1005	1.018251071
1006	1.018235624
1007	1.018239551
1008	1.018312575
1009	1.018294197
1010	1.018388083
1011	1.018400001
1012	1.01844025
1013	1.018381182
1014	1.01834138
1015	1.018327711
1016	1.018343877
1017	1.018445998
1018	1.018427828
1019	1.018511394
1020	1.018368976
1021	1.018317643
1022	1.018331549
1023	1.018305624
1024	1.01837534
1025	1.018365206
1026	1.018370167
1027	1.018440885
1028	1.01848641
1029	1.018415729
1030	1.018412458
1031	1.018452056
1032	1.018484555
1033	1.018439563
1034	1.018422159
1035	1.01843492
1036	1.018559826
1037	1.018543708
1038	1.01862645
1039	1.018612943
1040	1.018624907
1041	1.018634334
1042	1.018634868
1043	1.01859898
1044	1.0185469
1045	1.018614443
1046	1.01860055
1047	1.018524386
1048	1.01852113
1049	1.018495822
1050	1.018587462
1051	1.018603943
1052	1.01861197
1053	1.018580897
1054	1.018643045
1055	1.018613197
1056	1.018627376
1057	1.018667168
1058	1.018696118
1059	1.018711321
1060	1.018697486
1061	1.018688854
1062	1.018663765
1063	1.018585447
1064	1.018648376
1065	1.018617447
1066	1.018663716
1067	1.01859634
1068	1.018655357
1069	1.018652899
1070	1.018606135
1071	1.018688782
1072	1.018639347
1073	1.018632401
1074	1.018607516
1075	1.01862804
1076	1.018607932
1077	1.01870013
1078	1.018720754
1079	1.018736109
1080	1.018676763
1081	1.018736785
1082	1.018669472
1083	1.018721673
1084	1.018697172
1085	1.018703729
1086	1.018676412
1087	1.018661047
1088	1.018698423
1089	1.018706441
1090	1.01877745
1091	1.018747254
1092	1.018735588
1093	1.018716129
1094	1.01872928
1095	1.018700353
1096	1.018675516
1097	1.018683407
1098	1.01871671
1099	1.018747848
1100	1.01881468
1101	1.01873655
1102	1.018748195
1103	1.018754226
1104	1.018693573
1105	1.018679106
1106	1.018670728
1107	1.018676541
1108	1.018723369
1109	1.018731435
1110	1.018795928
1111	1.018766497
1112	1.018794054
1113	1.018812314
1114	1.018841896
1115	1.018833332
1116	1.018808817
1117	1.01883888
1118	1.018826876
1119	1.018785214
1120	1.018806858
1121	1.018753318
1122	1.018763729
1123	1.018790105
1124	1.018751223
1125	1.018792504
1126	1.018824899
1127	1.018775273
1128	1.018779195
1129	1.018784959
1130	1.018785547
1131	1.01886084
1132	1.018817918
1133	1.018854457
1134	1.018847214
1135	1.018834384
1136	1.018915466
1137	1.018912325
1138	1.018921265
1139	1.018901572
1140	1.018903958
1141	1.018884035
1142	1.018862663
1143	1.018838042
1144	1.018872022
1145	1.018850481
1146	1.018854214
1147	1.018831562
1148	1.018818927
1149	1.018798671
1150	1.018789105
1151	1.018776405
1152	1.018805864
1153	1.01875579
1154	1.018758019
1155	1.018733187
1156	1.018729339
1157	1.018706091
1158	1.018689273
1159	1.018677852
1160	1.018659624
1161	1.018683979
1162	1.018653581
1163	1.018642809
1164	1.018635296
1165	1.018606903
1166	1.018581581
1167	1.018564406
1168	1.018522463
1169	1.018507293
1170	1.018520806
1171	1.018448836
1172	1.018443692
1173	1.018415761
1174	1.018388665
1175	1.018384385
1176	1.018368421
1177	1.018374661
1178	1.018318417
1179	1.018301816
1180	1.018281874
1181	1.018251196
1182	1.018236135
1183	1.018203655
1184	1.018156069
1185	1.018179232
1186	1.018153738
1187	1.018161974
1188	1.018190445
1189	1.018179913
1190	1.018144851
1191	1.018155458
1192	1.018130178
1193	1.018103656
1194	1.018058501
1195	1.01808497
1196	1.01806365
1197	1.018010897
1198	1.018024719
1199	1.018042861
1200	1.01801955
1201	1.018023678
1202	1.018011777
1203	1.017972612
1204	1.017967633
1205	1.017984328
1206	1.017973092
1207	1.017989052
1208	1.018007317
1209	1.017993037
1210	1.017961578
1211	1.017975517
1212	1.017994287
1213	1.018018622
1214	1.018027316
1215	1.018053299
1216	1.018026163
1217	1.018052156
1218	1.018049031
1219	1.01807
1220	1.018091131
1221	1.018099679
1222	1.018139902
1223	1.018158367
1224	1.018168455
1225	1.018198527
1226	1.018231653
1227	1.018219552
1228	1.01823884
1229	1.018266341
1230	1.018266825
1231	1.018240498
1232	1.018238946
1233	1.018227215
1234	1.018209632
1235	1.018218272
1236	1.018190319
1237	1.01818939
1238	1.01816263
1239	1.018166777
1240	1.018214727
1241	1.018257769
1242	1.018275683
1243	1.018302833
1244	1.018303059
1245	1.01830429
1246	1.018250687
1247	1.01823461
1248	1.018272644
1249	1.018280448
1250	1.018297199
1251	1.018308886
1252	1.018303874
1253	1.018285094
1254	1.018274678
1255	1.018258455
1256	1.018274815
1257	1.018273513
1258	1.018288507
1259	1.018232629
1260	1.01824399
1261	1.018227738
1262	1.01821568
1263	1.018206803
1264	1.018219794
1265	1.018207757
1266	1.018160458
1267	1.018147878
1268	1.018169858
1269	1.01813382
1270	1.018188463
1271	1.018166475
1272	1.018143537
1273	1.018129917
1274	1.018144683
1275	1.018142816
1276	1.018114012
1277	1.018122955
1278	1.018137026
1279	1.018107063
1280	1.018099934
1281	1.018066835
1282	1.018007512
1283	1.017999194
1284	1.017946925
1285	1.017912394
1286	1.017900514
1287	1.017861861
1288	1.017843318
1289	1.017795786
1290	1.017771461
1291	1.017756746
1292	1.017756103
1293	1.017715583
1294	1.017690586
1295	1.017656236
1296	1.017670227
1297	1.01764935
1298	1.017632804
1299	1.017566487
1300	1.017541761
1301	1.017512477
1302	1.017508351
1303	1.017481267
1304	1.017453895
1305	1.017443357
1306	1.017417043
1307	1.017378861
1308	1.017323879
1309	1.017285268
1310	1.017284228
1311	1.017256013
1312	1.017262782
1313	1.017208338
1314	1.017191973
1315	1.017193387
1316	1.017156867
1317	1.017185487
1318	1.017185701
1319	1.017135113
1320	1.01712592
1321	1.017125903
1322	1.017121117
1323	1.01712152
1324	1.0171029
1325	1.017128255
1326	1.017097561
1327	1.017100274
1328	1.017078297
1329	1.017049792
1330	1.01704536
1331	1.017065033
1332	1.017034326
1333	1.01699261
1334	1.016952095
1335	1.016950027
1336	1.016966075
1337	1.01692689
1338	1.016922716
1339	1.016882963
1340	1.016875867
1341	1.016844946
1342	1.016860734
1343	1.016871028
1344	1.016877446
1345	1.016881297
1346	1.016871529
1347	1.016847899
1348	1.016833281
1349	1.016807596
1350	1.016786489
1351	1.01679163
1352	1.016762283
1353	1.016738697
1354	1.016743297
1355	1.016734777
1356	1.016690532
1357	1.016720396
1358	1.016673577
1359	1.01664646
1360	1.016635341
1361	1.016666639
1362	1.016648685
1363	1.016619641
1364	1.016614997
1365	1.016581698
1366	1.01655321
1367	1.016531121
1368	1.016552541
1369	1.016591973
1370	1.016609221
1371	1.016571568
1372	1.016573129
1373	1.016577971
1374	1.016585543
1375	1.016617512
1376	1.016616221
1377	1.016581509
1378	1.016575719
1379	1.016582241
1380	1.01656384
1381	1.016612751
1382	1.016626609
1383	1.016667614
1384	1.01671393
1385	1.016726406
1386	1.016732659
1387	1.016766647
1388	1.016807009
1389	1.01682162
1390	1.016864844
1391	1.016894899
1392	1.016908756
1393	1.016928829
1394	1.016924383
1395	1.016940071
1396	1.016953689
1397	1.01695397
1398	1.016931233
1399	1.01691052
1400	1.016902124
1401	1.016946951
1402	1.016976439
1403	1.016992757
1404	1.017005562
1405	1.017000798
1406	1.017025012
1407	1.017045301
1408	1.017056887
1409	1.017098994
1410	1.017137105
1411	1.017156588
1412	1.017180442
1413	1.017226325
1414	1.017269435
1415	1.017281518
1416	1.017308384
1417	1.017326521
1418	1.017363659
1419	1.017371439
1420	1.017397695
1421	1.017421617
1422	1.017429104
1423	1.017468738
1424	1.017500528
1425	1.017531215
1426	1.017571332
1427	1.017612864
1428	1.017647823
1429	1.017688393
1430	1.017732062
1431	1.017781753
1432	1.017824877
1433	1.017877336
1434	1.017881296
1435	1.017931091
1436	1.017963128
1437	1.018014125
1438	1.018025933
1439	1.018065566
1440	1.018088474
1441	1.018137964
1442	1.018140087
1443	1.018176534
1444	1.018195335
1445	1.018220855
1446	1.018244816
1447	1.018267798
1448	1.018266117
1449	1.018299539
1450	1.01832147
1451	1.018356216
1452	1.018345214
1453	1.018345574
1454	1.018347821
1455	1.018309533
1456	1.018347716
1457	1.018357014
1458	1.018365006
1459	1.018383439
1460	1.018373873
1461	1.018370129
1462	1.018378979
1463	1.018394306
1464	1.018366958
1465	1.018356639
1466	1.018342459
1467	1.018305257
1468	1.018337572
1469	1.018336405
1470	1.018331779
1471	1.018327844
1472	1.018316061
1473	1.018310838
1474	1.018296793
1475	1.018253504
1476	1.018238609
1477	1.01822994
1478	1.018218536
1479	1.018199514
1480	1.018190213
1481	1.018180265
1482	1.018178555
1483	1.018172489
1484	1.018166111
1485	1.018149917
1486	1.018160652
1487	1.018162351
1488	1.018140401
1489	1.018138595
1490	1.018132868
1491	1.018113668
1492	1.01811471
1493	1.018099781
1494	1.018089955
1495	1.018074308
1496	1.018047332
1497	1.018009582
1498	1.018000223
1499	1.018022977
1500	1.018018682
1501	1.018023537
1502	1.018021881
1503	1.018039032
1504	1.018030777
1505	1.018021864
1506	1.018021849
1507	1.018012208
1508	1.01801624
1509	1.01800582
1510	1.018033577
1511	1.01800906
1512	1.017986762
1513	1.01796672
1514	1.017959543
1515	1.017989806
1516	1.017971006
1517	1.017969507
1518	1.017994683
1519	1.017968191
1520	1.017951929
1521	1.017930002
1522	1.01793422
1523	1.017903424
1524	1.017926006
1525	1.017923528
1526	1.017919825
1527	1.017925884
1528	1.017933887
1529	1.017932548
1530	1.01792786
1531	1.017939738
1532	1.0179494
1533	1.017933741
1534	1.017953984
1535	1.017943281
1536	1.017936439
1537	1.017931325
1538	1.017940321
1539	1.017935831
1540	1.01794764
1541	1.017917144
1542	1.0178859
1543	1.017897589
1544	1.017856885
1545	1.017816658
1546	1.017774014
1547	1.017758145
1548	1.017745904
1549	1.017742414
1550	1.017705239
1551	1.017683074
1552	1.017666853
1553	1.017679396
1554	1.017667615
1555	1.017690918
1556	1.017712766
1557	1.017733152
1558	1.017731614
1559	1.017757631
1560	1.017763072
1561	1.017737601
1562	1.017751038
1563	1.017727678
1564	1.017734503
1565	1.017742246
1566	1.017738227
1567	1.017755768
1568	1.017720994
1569	1.017710691
1570	1.017760898
1571	1.0177961
1572	1.01780165
1573	1.017826816
1574	1.017878124
1575	1.017895134
1576	1.017918476
1577	1.017928463
1578	1.017967052
1579	1.017971765
1580	1.01799484
1581	1.018001019
1582	1.017993191
1583	1.018018381
1584	1.018076448
1585	1.018110222
1586	1.018085114
1587	1.018089561
1588	1.018085742
1589	1.018076322
1590	1.018105241
1591	1.018128146
1592	1.01810136
1593	1.018112829
1594	1.018104262
1595	1.018054235
1596	1.018064144
1597	1.018054441
1598	1.018022281
1599	1.018029412
1600	1.018005788
1601	1.018083841
1602	1.018073649
1603	1.018064811
1604	1.018076342
1605	1.018076737
1606	1.018098748
1607	1.01807144
1608	1.018070093
1609	1.018065128
1610	1.018036629
1611	1.018022419
1612	1.01802974
1613	1.01801501
1614	1.017992163
1615	1.017952396
1616	1.017933744
1617	1.017894927
1618	1.017857882
1619	1.017820598
1620	1.017813646
1621	1.017766364
1622	1.017724441
1623	1.017724834
1624	1.017660449
1625	1.017626184
1626	1.017601997
1627	1.01758798
1628	1.017564707
1629	1.017534257
1630	1.017498772
1631	1.01754086
1632	1.017543508
1633	1.017550462
1634	1.017480171
1635	1.017446375
1636	1.017421312
1637	1.017392176
1638	1.017367508
1639	1.017369541
1640	1.017374054
1641	1.017387739
1642	1.017380185
1643	1.01736269
1644	1.017316875
1645	1.017290788
1646	1.017234734
1647	1.017199659
1648	1.01719097
1649	1.017187805
1650	1.017150293
1651	1.017141791
1652	1.017089941
1653	1.017057762
1654	1.016981014
1655	1.016896716
1656	1.016879431
1657	1.016853962
1658	1.01680862
1659	1.016769249
1660	1.016735328
1661	1.01665568
1662	1.016594807
1663	1.016542383
1664	1.016443811
1665	1.016430459
1666	1.016378584
1667	1.016335346
1668	1.016265039
1669	1.016214601
1670	1.016221504
1671	1.01616668
1672	1.016162733
1673	1.016100903
1674	1.016061524
1675	1.016039333
1676	1.015985188
1677	1.015968433
1678	1.015964294
1679	1.015928852
1680	1.015855512
1681	1.015872033
1682	1.015826938
1683	1.0157889
1684	1.015800406
1685	1.015750593
1686	1.015711565
1687	1.015645703
1688	1.015633435
1689	1.015579706
1690	1.015576282
1691	1.015558188
1692	1.01553703
1693	1.015560995
1694	1.015543063
1695	1.0154962
1696	1.015474309
1697	1.015451871
1698	1.015432419
1699	1.015443242
1700	1.015395344
1701	1.015387942
1702	1.015370665
1703	1.015387062
1704	1.015381783
1705	1.015347565
1706	1.01535529
1707	1.015292179
1708	1.015330337
1709	1.015315679
1710	1.015287336
1711	1.015313337
1712	1.01527547
1713	1.015308103
1714	1.015321581
1715	1.01530326
1716	1.015274694
1717	1.015283513
1718	1.015260406
1719	1.015337024
1720	1.015364886
1721	1.015346287
1722	1.015316821
1723	1.015332604
1724	1.015331885
1725	1.015343154
1726	1.01534142
1727	1.015329846
1728	1.015318555
1729	1.015372204
1730	1.015437451
1731	1.015484139
1732	1.015468164
1733	1.015536945
1734	1.015485978
1735	1.01548414
1736	1.01550241
1737	1.015499206
1738	1.015526147
1739	1.015481573
1740	1.015506193
1741	1.015479401
1742	1.015520394
1743	1.015510563
1744	1.015551341
1745	1.015551105
1746	1.015533812
1747	1.0155365
1748	1.015534508
1749	1.015547266
1750	1.015565299
1751	1.01557736
1752	1.015594459
1753	1.01565263
1754	1.015645458
1755	1.015707763
1756	1.015748449
1757	1.015778196
1758	1.015842485
1759	1.015802534
1760	1.015804764
1761	1.0158514
1762	1.015898198
1763	1.015999853
1764	1.016039154
1765	1.016054212
1766	1.016133195
1767	1.016136602
1768	1.016197399
1769	1.016200999
1770	1.016252276
1771	1.016280011
1772	1.016310153
1773	1.016370134
1774	1.016352357
1775	1.016359433
1776	1.016373966
1777	1.01638423
1778	1.016383609
1779	1.016333691
1780	1.016344659
1781	1.016391367
1782	1.016348543
1783	1.016319884
1784	1.01637757
1785	1.016277698
1786	1.016254679
1787	1.016240961
1788	1.016208022
1789	1.016178449
1790	1.016191319
1791	1.016166256
1792	1.016146292
1793	1.016105108
1794	1.016045335
1795	1.016033666
1796	1.015992752
1797	1.016005138
1798	1.015951071
1799	1.015862066
1800	1.015851639
1801	1.015736165
1802	1.015650976
1803	1.015605837
1804	1.015463883
1805	1.015354951
1806	1.015266997
1807	1.015146984
1808	1.015122298
1809	1.015089615
1810	1.01496172
1811	1.014858113
1812	1.014764348
1813	1.014606115
1814	1.01452308
1815	1.014412147
1816	1.014291335
1817	1.014138348
1818	1.014001858
1819	1.013850044
1820	1.013792467
1821	1.013601786
1822	1.013553134
1823	1.013413231
1824	1.013273854
1825	1.013192506
1826	1.013053902
1827	1.012991604
1828	1.012846497
1829	1.012770817
1830	1.012655233
1831	1.012509764
1832	1.012392713
1833	1.012324436
1834	1.012204518
1835	1.012099789
1836	1.011954
1837	1.011804495
1838	1.011664084
1839	1.011532106
1840	1.011406071
1841	1.011363596
1842	1.011296756
1843	1.011136106
1844	1.01102969
1845	1.010981725
1846	1.010927085
1847	1.010866763
1848	1.010831224
1849	1.010821298
1850	1.010746737
1851	1.01066943
1852	1.010690311
1853	1.010686354
1854	1.010603754
1855	1.01057452
1856	1.010518911
1857	1.010453639
1858	1.010401744
1859	1.010367655
1860	1.010368115
1861	1.01038308
1862	1.010383109
1863	1.010412952
1864	1.010467002
1865	1.010420088
1866	1.010374346
1867	1.010328828
1868	1.010320169
1869	1.010261255
1870	1.010310673
1871	1.010321083
1872	1.0102894
1873	1.010266633
1874	1.010283748
1875	1.010250786
1876	1.010315601
1877	1.010332689
1878	1.010340553
1879	1.010352866
1880	1.01032599
1881	1.010341451
1882	1.010319168
1883	1.010320435
1884	1.010378456
1885	1.010402957
1886	1.010429031
1887	1.010457511
1888	1.010436713
1889	1.01039802
1890	1.010375485
1891	1.010343962
1892	1.010317687
1893	1.010292726
1894	1.010342253
1895	1.010323323
1896	1.010302534
1897	1.010317849
1898	1.010368428
1899	1.010348023
1900	1.010401504
1901	1.010469023
1902	1.010500459
1903	1.010542114
1904	1.010519259
1905	1.010459027
1906	1.01042656
1907	1.010426139
1908	1.010393325
1909	1.010388616
1910	1.010352189
1911	1.010292986
1912	1.010254878
1913	1.010209365
1914	1.010157964
1915	1.010107109
1916	1.010059776
1917	1.010030885
1918	1.009948893
1919	1.009887661
1920	1.009865981
1921	1.009814689
1922	1.009790118
1923	1.009799145
1924	1.009847814
1925	1.009819575
1926	1.00980321
1927	1.009800324
1928	1.009778289
1929	1.009756439
1930	1.009730299
1931	1.009680157
1932	1.009666786
1933	1.00965329
1934	1.009630348
1935	1.009599933
1936	1.009623361
1937	1.009558221
1938	1.009503092
1939	1.009502031
1940	1.009472735
1941	1.009451342
1942	1.009467033
1943	1.009415208
1944	1.009384532
1945	1.009279594
1946	1.009199327
1947	1.009124188
1948	1.009034071
1949	1.008998588
1950	1.008951432
1951	1.008858389
1952	1.008811217
1953	1.008768618
1954	1.008705009
1955	1.008612286
1956	1.008596211
1957	1.008502314
1958	1.008392155
1959	1.008281358
1960	1.008188755
1961	1.008101112
1962	1.008011114
1963	1.00795393
1964	1.007940328
1965	1.007888635
1966	1.007869851
1967	1.007830955
1968	1.007768716
1969	1.007691572
