Site,Platform,BAND,satmean,satstd,fieldmean,fieldstd,other,other2,other3,other4
LGR,S2A,nir_2,0.261,0.00726,0.265,0.0297,2.78,11.2,0.985,2.12
LGR,S2A,swir_2,0.35,0.00514,0.343,0.0357,1.47,10.4,1.02,1.2
LGR,S2A,swir_3,0.287,0.0039,0.283,0.0319,1.36,11.3,1.01,1.09
LLF,S2A,CA,0.268,0.0184,0.345,0.0207,6.86,6,0.776,4.69
LLF,S2A,blue,0.292,0.02,0.367,0.0213,6.84,5.81,0.797,2.64
LLF,S2A,green,0.365,0.0217,0.443,0.0244,5.94,5.52,0.823,2.42
LLF,S2A,red,0.474,0.0219,0.534,0.0263,4.61,4.92,0.887,2.62
LLF,S2A,RE1,0.503,0.0237,0.546,0.026,4.72,4.76,0.92,2.54
LLF,S2A,RE2,0.496,0.0224,0.546,0.0261,4.52,4.79,0.908,2.33
LLF,S2A,RE3,0.475,0.0217,0.528,0.0238,4.57,4.51,0.899,2.43
LLF,S2A,nir_1,0.484,0.0216,0.528,0.0241,4.45,4.56,0.917,2.58
LLF,S2A,nir_2,0.481,0.0222,0.524,0.0244,4.63,4.66,0.918,2.53
LLF,S2A,swir_2,0.0974,0.0204,0.136,0.0271,20.9,19.9,0.716,15.6
LLF,S2A,swir_3,0.0383,0.0106,0.0644,0.0134,27.6,20.8,0.595,19.4
NRB,S2A,CA,0.0573,0.00358,0.0331,0.00566,6.25,17.1,1.73,3.84
NRB,S2A,blue,0.0521,0.00656,0.0429,0.00712,12.6,16.6,1.21,3.72
NRB,S2A,green,0.0797,0.007,0.0776,0.00846,8.78,10.9,1.03,2.78
NRB,S2A,red,0.0656,0.0112,0.057,0.0129,17,22.7,1.15,5.24
NRB,S2A,RE1,0.122,0.00615,0.113,0.0125,5.05,11,1.07,2.7
NRB,S2A,RE2,0.304,0.0151,0.321,0.0194,4.96,6.05,0.945,1.53
NRB,S2A,RE3,0.368,0.0209,0.38,0.0266,5.68,6.99,0.967,1.88
NRB,S2A,nir_1,0.394,0.0251,0.402,0.0276,6.38,6.86,0.98,2.33
NRB,S2A,nir_2,0.413,0.0243,0.415,0.0281,5.89,6.78,0.994,1.91
NRB,S2A,swir_2,0.301,0.0106,0.284,0.0248,3.52,8.73,1.06,1.57
NRB,S2A,swir_3,0.157,0.00919,0.143,0.022,5.87,15.3,1.09,2.87
NRB,S2A,CA,0.048,0.00653,0.0326,0.00781,13.6,24,1.47,8.34
NRB,S2A,blue,0.0483,0.0127,0.043,0.0102,26.2,23.7,1.12,12.1
NRB,S2A,green,0.0828,0.0129,0.079,0.0111,15.5,14,1.05,8.63
NRB,S2A,red,0.0866,0.0218,0.0703,0.0221,25.2,31.4,1.23,11.5
NRB,S2A,RE1,0.164,0.015,0.139,0.0181,9.14,13,1.18,5.25
NRB,S2A,RE2,0.344,0.0366,0.341,0.0555,10.6,16.3,1.01,7.04
NRB,S2A,RE3,0.37,0.0422,0.399,0.0721,11.4,18.1,0.928,7.07
NRB,S2A,nir_1,0.405,0.0546,0.426,0.0725,13.5,17,0.951,8
NRB,S2A,nir_2,0.419,0.047,0.442,0.0724,11.2,16.4,0.948,6.61
NRB,S2A,swir_2,0.306,0.0233,0.288,0.0379,7.6,13.2,1.06,4.82
NRB,S2A,swir_3,0.195,0.0198,0.162,0.0396,10.2,24.4,1.2,5.81
PIN,S2A,CA,0.17,0.00992,0.164,0.00733,5.83,4.48,1.04,4.02
PIN,S2A,blue,0.216,0.0138,0.224,0.00973,6.37,4.34,0.965,3.78
PIN,S2A,green,0.385,0.0158,0.409,0.0168,4.12,4.12,0.941,3.3
PIN,S2A,red,0.512,0.0194,0.525,0.0213,3.79,4.04,0.974,3.2
PIN,S2A,RE1,0.563,0.0206,0.552,0.0224,3.66,4.06,1.02,3.12
PIN,S2A,RE2,0.578,0.0209,0.578,0.0235,3.62,4.07,0.999,3.09
PIN,S2A,RE3,0.588,0.0212,0.6,0.0236,3.6,3.92,0.979,3.13
PIN,S2A,nir_1,0.607,0.0243,0.603,0.0238,3.99,3.94,1.01,3.49
PIN,S2A,nir_2,0.608,0.0237,0.603,0.0237,3.9,3.93,1.01,3.25
PIN,S2A,swir_2,0.721,0.022,0.697,0.0277,3.05,3.98,1.03,2.76
PIN,S2A,swir_3,0.568,0.0154,0.581,0.0241,2.71,4.16,0.977,2.44
PIN,S2A,CA,0.175,0.00843,0.168,0.0139,4.82,8.24,1.04,3.67
PIN,S2A,blue,0.223,0.0124,0.23,0.0166,5.53,7.19,0.969,5.16
PIN,S2A,green,0.394,0.0151,0.413,0.0202,3.84,4.9,0.956,3.41
PIN,S2A,red,0.523,0.0197,0.53,0.0254,3.77,4.8,0.986,3.43
PIN,S2A,RE1,0.565,0.0211,0.558,0.0267,3.74,4.78,1.01,3.3
PIN,S2A,RE2,0.586,0.0217,0.586,0.0277,3.7,4.74,1,3.23
PIN,S2A,RE3,0.597,0.0218,0.603,0.0274,3.66,4.54,0.99,3.19
PIN,S2A,nir_1,0.605,0.0245,0.608,0.028,4.04,4.61,0.996,3.62
PIN,S2A,nir_2,0.62,0.0239,0.609,0.0284,3.86,4.67,1.02,3.32
PIN,S2A,swir_2,0.729,0.0247,0.696,0.0301,3.4,4.32,1.05,2.98
PIN,S2A,swir_3,0.565,0.0186,0.556,0.0274,3.3,4.93,1.02,3.27
PIN,S2A,CA,0.182,0.0113,0.19,0.0149,6.24,7.86,0.954,4.52
PIN,S2A,blue,0.231,0.0171,0.259,0.0188,7.41,7.26,0.894,6.02
PIN,S2A,green,0.403,0.0226,0.46,0.0295,5.61,6.43,0.876,4.56
PIN,S2A,red,0.534,0.03,0.583,0.0376,5.62,6.46,0.916,4.8
PIN,S2A,RE1,0.581,0.0322,0.61,0.0393,5.55,6.44,0.951,4.65
PIN,S2A,RE2,0.601,0.0327,0.638,0.0411,5.45,6.44,0.942,4.57
PIN,S2A,RE3,0.605,0.0336,0.645,0.0406,5.55,6.29,0.939,4.62
PIN,S2A,nir_1,0.618,0.036,0.65,0.0406,5.83,6.25,0.952,4.92
PIN,S2A,nir_2,0.632,0.0364,0.651,0.0405,5.77,6.23,0.971,4.77
PIN,S2A,swir_2,0.754,0.038,0.739,0.0462,5.04,6.25,1.02,4.32
PIN,S2A,swir_3,0.595,0.0279,0.603,0.0439,4.68,7.28,0.987,4.53
PIN,S2A,CA,0.183,0.011,0.192,0.0142,6.03,7.42,0.955,4.23
PIN,S2A,blue,0.236,0.0166,0.261,0.0183,7.03,7.02,0.905,5.4
PIN,S2A,green,0.412,0.024,0.466,0.0311,5.82,6.67,0.884,4.91
PIN,S2A,red,0.547,0.032,0.587,0.0397,5.85,6.76,0.932,5.06
PIN,S2A,RE1,0.601,0.0344,0.615,0.0414,5.72,6.73,0.977,4.73
PIN,S2A,RE2,0.619,0.0362,0.646,0.0432,5.85,6.69,0.959,4.86
PIN,S2A,RE3,0.614,0.0362,0.648,0.0422,5.89,6.52,0.947,4.83
PIN,S2A,nir_1,0.631,0.0389,0.652,0.0424,6.17,6.49,0.967,5.14
PIN,S2A,nir_2,0.638,0.0392,0.653,0.0424,6.15,6.49,0.978,4.96
PIN,S2A,swir_2,0.758,0.0423,0.744,0.0492,5.57,6.62,1.02,4.66
PIN,S2A,swir_3,0.609,0.0316,0.611,0.0465,5.19,7.62,0.997,4.92
PIN,S2A,CA,0.183,0.00994,0.193,0.0134,5.43,6.93,0.948,3.79
PIN,S2A,blue,0.236,0.0152,0.265,0.0173,6.44,6.55,0.892,4.94
PIN,S2A,green,0.412,0.023,0.475,0.0307,5.57,6.46,0.868,4.66
PIN,S2A,red,0.547,0.031,0.603,0.0405,5.66,6.71,0.908,4.9
PIN,S2A,RE1,0.601,0.0326,0.634,0.0429,5.43,6.77,0.948,4.71
PIN,S2A,RE2,0.619,0.0345,0.664,0.0454,5.57,6.84,0.933,4.81
PIN,S2A,RE3,0.614,0.0342,0.667,0.0449,5.58,6.74,0.921,4.82
PIN,S2A,nir_1,0.631,0.037,0.67,0.0449,5.87,6.7,0.942,5
PIN,S2A,nir_2,0.638,0.037,0.67,0.0447,5.79,6.67,0.953,4.92
PIN,S2A,swir_2,0.759,0.0404,0.764,0.0523,5.33,6.85,0.993,4.7
PIN,S2A,swir_3,0.61,0.0314,0.626,0.0473,5.16,7.55,0.973,5.06
WIN,S2A,CA,0.18,0.00604,0.187,0.0128,3.35,6.84,0.962,2.63
WIN,S2A,blue,0.214,0.012,0.231,0.0147,5.63,6.36,0.926,4.36
WIN,S2A,green,0.312,0.0113,0.337,0.0176,3.63,5.21,0.925,2.97
WIN,S2A,red,0.461,0.0135,0.486,0.0207,2.93,4.25,0.95,2.59
WIN,S2A,RE1,0.52,0.0149,0.52,0.0222,2.86,4.28,1,2.29
WIN,S2A,RE2,0.532,0.0155,0.542,0.0232,2.91,4.28,0.982,2.31
WIN,S2A,RE3,0.514,0.0154,0.537,0.0231,3,4.31,0.958,2.42
WIN,S2A,nir_1,0.53,0.0174,0.534,0.0237,3.28,4.44,0.991,2.86
WIN,S2A,nir_2,0.522,0.016,0.533,0.0241,3.06,4.51,0.979,2.6
WIN,S2A,swir_2,0.701,0.0173,0.686,0.0225,2.46,3.28,1.02,1.88
WIN,S2A,swir_3,0.609,0.0139,0.6,0.0181,2.29,3.02,1.02,1.5
