"Device Name","WEATHER - 2199005",,,,,,,,,,,,,,
"Device Model","KESTREL_5500L",,,,,,,,,,,,,,
"Serial Number","2199005",,,,,,,,,,,,,,
"FORMATTED DATE_TIME","Barometric Pressure","Crosswind","Dew Point","Temperature","Direction - True","Wind Speed","Station Pressure","Relative Humidity","Heat Stress Index","Direction - Mag","Headwind","Density Altitude","Altitude","Psychro Wet Bulb Temperature","Wind Chill"
"2021-11-14 10:49:12","994.2","1.0","3.1","22.7","171","4.9","994.3","27.6","20.9","170","-4.8","499","157","12.2","22.6"
"2021-11-14 10:49:14","994.2","1.2","2.8","22.5","164","4.3","994.3","27.5","20.8","163","-4.1","492","157","12.1","22.4"
"2021-11-14 10:49:16","994.2","1.1","2.7","22.4","163","3.8","994.2","27.4","20.8","162","-3.6","490","157","12.0","22.4"
"2021-11-14 10:49:18","994.2","0.9","2.9","22.6","162","2.8","994.2","27.4","20.9","162","-2.7","497","157","12.1","22.6"
"2021-11-14 10:49:20","994.2","1.0","3.2","23.0","168","2.8","994.2","27.4","21.2","167","-2.7","509","158","12.4","22.9"
"2021-11-14 10:49:22","994.2","1.6","3.4","23.2","156","3.5","994.2","27.5","21.4","156","-3.1","517","158","12.5","23.1"
"2021-11-14 10:49:24","994.2","2.1","3.4","23.1","154","5.0","994.2","27.6","21.4","154","-4.6","516","157","12.5","23.1"
"2021-11-14 10:49:26","994.2","1.7","3.3","23.0","158","4.9","994.3","27.6","21.2","157","-4.6","509","157","12.4","22.9"
"2021-11-14 10:49:28","994.2","1.6","3.1","22.8","162","4.6","994.2","27.7","21.0","161","-4.3","503","157","12.3","22.7"
"2021-11-14 10:49:30","994.2","1.5","3.1","22.6","163","4.8","994.3","27.7","20.9","163","-4.5","498","157","12.2","22.6"
"2021-11-14 10:49:32","994.2","1.6","3.0","22.5","158","4.6","994.2","27.7","20.9","157","-4.3","495","157","12.1","22.5"
"2021-11-14 10:49:34","994.2","1.7","3.1","22.6","155","4.0","994.2","27.8","20.9","155","-3.6","498","157","12.2","22.6"
"2021-11-14 10:49:36","994.2","1.8","3.1","22.7","155","4.2","994.2","27.8","20.9","155","-3.9","499","157","12.2","22.6"
"2021-11-14 10:49:38","994.2","2.2","3.1","22.5","153","4.9","994.2","27.9","20.9","152","-4.4","495","157","12.1","22.5"
"2021-11-14 10:49:40","994.2","2.5","3.0","22.4","149","5.0","994.2","27.9","20.7","149","-4.3","488","158","12.1","22.3"
"2021-11-14 10:49:42","994.2","1.7","2.9","22.3","157","5.1","994.2","28.0","20.6","156","-4.8","486","158","12.0","22.2"
"2021-11-14 10:49:44","994.2","2.5","2.9","22.2","153","5.2","994.2","28.0","20.6","152","-4.6","484","158","12.0","22.2"
"2021-11-14 10:49:46","994.2","2.5","2.8","22.1","151","5.3","994.2","28.1","20.5","151","-4.6","477","158","11.9","22.0"
"2021-11-14 10:49:48","994.2","2.4","2.6","21.9","140","3.7","994.2","28.1","20.4","139","-2.9","471","158","11.8","21.9"
"2021-11-14 10:49:50","994.0","1.6","2.6","21.9","144","2.6","994.1","28.2","20.3","144","-2.1","471","159","11.8","21.8"
"2021-11-14 10:49:52","994.0","1.6","2.7","21.9","133","2.4","994.0","28.3","20.3","133","-1.8","471","159","11.8","21.8"
"2021-11-14 10:49:54","994.0","1.6","2.8","21.9","132","2.1","994.0","28.3","20.3","132","-1.4","473","159","11.8","21.8"
"2021-11-14 10:49:56","994.0","1.6","2.9","22.0","142","2.4","994.1","28.4","20.5","141","-1.9","475","159","11.9","21.9"
"2021-11-14 10:49:58","994.0","1.5","3.0","22.1","150","3.0","994.1","28.5","20.6","149","-2.6","480","158","12.0","22.1"
"2021-11-14 10:50:00","994.0","1.6","3.1","22.2","149","3.2","994.1","28.7","20.6","149","-2.7","482","158","12.0","22.1"
"2021-11-14 10:50:02","994.0","1.6","3.2","22.2","150","3.2","994.1","28.8","20.6","150","-2.8","484","158","12.1","22.1"
"2021-11-14 10:50:04","994.2","1.5","3.2","22.1","151","3.2","994.1","28.8","20.6","151","-2.8","481","158","12.1","22.1"
"2021-11-14 10:50:06","994.2","1.3","3.1","22.0","153","3.0","994.1","28.9","20.6","153","-2.7","479","158","12.0","22.0"
"2021-11-14 10:50:08","994.0","1.2","3.2","22.0","154","2.6","994.1","29.0","20.6","153","-2.3","478","158","12.0","22.0"
"2021-11-14 10:50:10","994.0","0.9","3.3","22.2","153","2.0","994.1","29.0","20.6","153","-1.8","483","158","12.1","22.1"
"2021-11-14 10:50:12","994.0","0.8","3.5","22.4","154","1.9","994.1","29.2","20.8","153","-1.7","490","158","12.3","22.3"
"2021-11-14 10:50:14","994.0","0.7","3.8","22.5","162","1.9","994.1","29.3","21.0","162","-1.8","496","159","12.4","22.5"
"2021-11-14 10:50:16","994.0","0.6","4.0","22.7","163","2.2","994.1","29.4","21.1","162","-2.1","504","158","12.5","22.7"
"2021-11-14 10:50:18","994.0","0.7","4.2","22.9","161","2.4","994.1","29.5","21.2","161","-2.3","510","159","12.7","22.8"
"2021-11-14 10:50:20","994.0","0.8","4.3","22.9","160","2.3","994.1","29.6","21.3","160","-2.1","513","159","12.7","22.9"
"2021-11-14 10:50:22","994.0","0.6","4.4","23.1","160","1.7","994.0","29.7","21.4","159","-1.6","519","159","12.9","23.0"
"2021-11-14 10:50:24","994.0","0.6","4.6","23.2","160","1.6","994.1","29.8","21.5","159","-1.5","524","158","13.0","23.2"
"2021-11-14 10:50:26","994.0","0.6","4.8","23.4","160","1.7","994.1","29.9","21.7","159","-1.6","530","159","13.1","23.4"
"2021-11-14 10:50:28","994.0","0.6","5.0","23.6","160","1.7","994.1","30.0","21.9","159","-1.6","538","159","13.2","23.6"
"2021-11-14 10:50:30","994.0","0.4","5.2","23.8","172","2.1","994.1","30.0","22.1","172","-2.1","546","158","13.4","23.8"
"2021-11-14 10:50:32","994.0","0.5","5.3","23.8","171","3.1","994.1","30.1","22.1","170","-3.1","546","158","13.4","23.8"
"2021-11-14 10:50:34","994.2","0.7","5.3","23.8","170","3.4","994.2","30.1","22.1","169","-3.4","544","158","13.4","23.8"
"2021-11-14 10:50:36","994.2","0.5","5.2","23.8","169","3.3","994.2","30.1","22.1","169","-3.2","543","158","13.4","23.8"
"2021-11-14 10:50:38","994.2","0.4","5.0","23.6","209","2.9","994.2","30.1","21.9","209","-2.8","536","158","13.3","23.5"
"2021-11-14 10:50:40","994.0","1.2","4.9","23.5","202","3.1","994.1","30.0","21.8","202","-2.8","532","158","13.2","23.4"
"2021-11-14 10:50:42","994.2","1.3","4.6","23.1","200","3.2","994.2","30.0","21.5","199","-3.0","518","158","12.9","23.1"
"2021-11-14 10:50:44","994.0","0.8","4.3","22.9","195","2.9","994.1","29.9","21.2","194","-2.8","510","159","12.7","22.8"
"2021-11-14 10:50:46","994.0","0.1","4.1","22.7","188","2.9","994.1","29.8","21.0","187","-2.9","503","159","12.6","22.6"
"2021-11-14 10:50:48","994.0","0.7","3.9","22.5","193","3.0","994.1","29.7","21.0","193","-2.9","497","158","12.5","22.5"
"2021-11-14 10:50:50","994.0","0.2","3.9","22.5","186","2.8","994.1","29.6","20.9","186","-2.8","495","158","12.5","22.4"
"2021-11-14 10:50:52","994.0","0.6","3.9","22.5","185","3.1","994.1","29.6","21.0","185","-3.0","498","158","12.5","22.5"
"2021-11-14 10:50:54","994.0","0.2","3.9","22.6","187","3.2","994.1","29.6","21.0","186","-3.2","500","159","12.5","22.6"
"2021-11-14 10:50:56","994.2","0.2","4.0","22.6","183","3.6","994.2","29.5","21.0","183","-3.6","500","158","12.5","22.6"
"2021-11-14 10:50:58","994.2","0.1","4.0","22.7","181","4.3","994.2","29.5","21.0","181","-4.3","502","158","12.5","22.6"
"2021-11-14 11:00:00","993.9","2.6","6.6","27.4","90","2.6","993.9","26.8","25.4","89","0.0","674","160","15.3","27.4"
"2021-11-14 12:00:00","993.2","5.8","3.5","25.1","248","5.9","993.3","24.7","22.9","247","-0.9","593","165","13.3","25.0"
"2021-11-14 13:00:00","992.7","6.2","4.6","26.5","239","7.3","992.7","24.4","24.3","238","-3.8","651","171","14.2","26.5"
"2021-11-14 14:00:00","992.2","0.0","7.0","27.8","136","0.0","992.2","26.8","25.8","136","0.0","706","175","15.6","27.8"
"2021-11-14 15:00:00","991.7","0.0","3.0","26.7","179","0.0","991.8","21.7","24.2","178","0.0","663","179","13.8","26.6"
"2021-11-14 16:00:00","991.2","0.0","5.2","29.2","198","0.0","991.3","21.9","26.9","198","0.0","757","182","15.4","29.1"
"2021-11-14 17:00:00","990.0","0.0","8.4","29.2","194","0.0","990.1","27.3","27.3","194","0.0","778","192","16.6","29.1"
"2021-11-14 18:00:00","989.9","0.0","9.8","29.1","194","0.0","989.9","30.1","27.5","194","0.0","780","194","17.2","29.0"
"2021-11-14 19:00:00","990.4","0.0","10.4","28.6","194","0.0","990.4","32.3","27.1","194","0.0","761","191","17.3","28.5"
"2021-11-14 20:00:00","991.0","0.0","10.0","27.8","195","0.0","991.0","32.9","26.1","194","0.0","726","185","16.8","27.7"
"2021-11-14 21:00:00","991.7","0.0","9.9","26.6","195","0.0","991.7","34.9","25.1","194","0.0","679","180","16.4","26.6"
"2021-11-14 22:00:00","992.2","0.0","9.3","25.2","195","0.0","992.3","36.4","23.7","195","0.0","622","175","15.6","25.2"
"2021-11-14 23:00:00","992.9","0.0","8.4","23.8","195","0.0","992.9","37.4","22.5","195","0.0","564","168","14.7","23.8"
"2021-11-15 00:00:00","992.9","0.0","7.5","22.4","195","0.0","992.9","38.2","21.2","195","0.0","513","168","13.8","22.3"
"2021-11-15 01:00:00","992.9","0.0","6.7","21.1","195","0.0","992.9","39.1","20.1","195","0.0","468","168","12.9","21.1"
"2021-11-15 02:00:00","992.7","0.0","6.0","20.0","196","0.0","992.8","39.8","18.4","195","0.0","428","170","12.3","20.0"
"2021-11-15 03:00:00","993.0","0.0","5.3","19.1","196","0.0","993.0","40.2","17.1","195","0.0","392","168","11.6","19.1"
"2021-11-15 04:00:00","993.0","0.0","4.4","18.1","196","0.0","993.0","40.3","15.7","195","0.0","353","168","10.8","18.0"
"2021-11-15 05:00:00","993.5","0.0","3.5","17.0","196","0.0","993.5","40.5","14.7","195","0.0","308","164","10.0","16.9"
"2021-11-15 06:00:00","993.9","0.0","2.6","15.9","196","0.0","993.9","40.7","13.9","196","0.0","263","160","9.2","15.9"
"2021-11-15 07:00:00","994.7","0.0","1.8","14.9","196","0.0","994.6","41.0","13.1","196","0.0","219","154","8.5","14.9"
"2021-11-15 08:00:00","995.5","0.0","1.8","14.5","196","0.0","995.6","42.0","12.6","196","0.0","192","146","8.3","14.4"
"2021-11-15 09:00:00","996.4","2.4","6.4","20.4","137","3.3","996.4","40.0","19.0","136","-2.3","405","138","12.6","20.4"
"2021-11-15 10:00:00","996.0","0.4","4.7","21.4","190","2.3","996.1","33.7","20.1","189","-2.2","437","141","12.3","21.3"
