University Queensland
Serial Number: SRT#05 99AA01-1013-7242
Comments: From Jason Barnetson for L8/9 Underfly


Wavelength	 K-factor
543	 0.967
544	 0.968
545	 0.968
546	 0.968
547	 0.968
548	 0.968
549	 0.968
550	 0.968
551	 0.969
552	 0.969
553	 0.969
554	 0.969
555	 0.969
556	 0.969
557	 0.969
558	 0.969
559	 0.97
560	 0.97
561	 0.97
562	 0.97
563	 0.97
564	 0.97
565	 0.97
566	 0.97
567	 0.97
568	 0.97
569	 0.971
570	 0.971
571	 0.971
572	 0.971
573	 0.971
574	 0.971
575	 0.971
576	 0.971
577	 0.971
578	 0.971
579	 0.971
580	 0.972
581	 0.972
582	 0.972
583	 0.972
584	 0.972
585	 0.972
586	 0.972
587	 0.972
588	 0.972
589	 0.972
590	 0.972
591	 0.972
592	 0.972
593	 0.972
594	 0.973
595	 0.973
596	 0.973
597	 0.973
598	 0.973
599	 0.973
600	 0.973
601	 0.973
602	 0.973
603	 0.973
604	 0.973
605	 0.973
606	 0.973
607	 0.973
608	 0.973
609	 0.973
610	 0.973
611	 0.974
612	 0.974
613	 0.974
614	 0.974
615	 0.974
616	 0.974
617	 0.974
618	 0.974
619	 0.974
620	 0.974
621	 0.974
622	 0.974
623	 0.974
624	 0.974
625	 0.974
626	 0.974
627	 0.974
628	 0.974
629	 0.974
630	 0.974
631	 0.975
632	 0.975
633	 0.975
634	 0.975
635	 0.975
636	 0.975
637	 0.975
638	 0.975
639	 0.975
640	 0.975
641	 0.975
642	 0.975
643	 0.975
644	 0.975
645	 0.975
646	 0.975
647	 0.975
648	 0.975
649	 0.975
650	 0.975
651	 0.975
652	 0.975
653	 0.975
654	 0.975
655	 0.975
656	 0.975
657	 0.975
658	 0.975
659	 0.975
660	 0.975
661	 0.976
662	 0.976
663	 0.976
664	 0.976
665	 0.976
666	 0.976
667	 0.976
668	 0.976
669	 0.976
670	 0.976
671	 0.976
672	 0.976
673	 0.976
674	 0.976
675	 0.976
676	 0.976
677	 0.976
678	 0.976
679	 0.976
680	 0.976
681	 0.976
682	 0.976
683	 0.976
684	 0.976
685	 0.976
686	 0.976
687	 0.976
688	 0.976
689	 0.976
690	 0.976
691	 0.976
692	 0.976
693	 0.976
694	 0.976
695	 0.976
696	 0.976
697	 0.976
698	 0.976
699	 0.976
700	 0.976
701	 0.976
702	 0.976
703	 0.976
704	 0.976
705	 0.976
706	 0.976
707	 0.976
708	 0.976
709	 0.976
710	 0.976
711	 0.976
712	 0.976
713	 0.976
714	 0.976
715	 0.976
716	 0.976
717	 0.976
718	 0.976
719	 0.976
720	 0.976
721	 0.976
722	 0.976
723	 0.976
724	 0.976
725	 0.976
726	 0.976
727	 0.976
728	 0.976
729	 0.977
730	 0.977
731	 0.977
732	 0.977
733	 0.977
734	 0.977
735	 0.977
736	 0.977
737	 0.977
738	 0.977
739	 0.977
740	 0.977
741	 0.977
742	 0.977
743	 0.977
744	 0.977
745	 0.977
746	 0.977
747	 0.977
748	 0.977
749	 0.977
750	 0.977
751	 0.977
752	 0.977
753	 0.977
754	 0.977
755	 0.977
756	 0.977
757	 0.977
758	 0.977
759	 0.977
760	 0.977
761	 0.977
762	 0.977
763	 0.977
764	 0.977
765	 0.977
766	 0.977
767	 0.977
768	 0.977
769	 0.977
770	 0.977
771	 0.977
772	 0.977
773	 0.977
774	 0.977
775	 0.977
776	 0.977
777	 0.977
778	 0.977
779	 0.977
780	 0.977
781	 0.977
782	 0.977
783	 0.977
784	 0.977
785	 0.977
786	 0.977
787	 0.977
788	 0.977
789	 0.977
790	 0.977
791	 0.977
792	 0.977
793	 0.977
794	 0.977
795	 0.977
796	 0.977
797	 0.977
798	 0.977
799	 0.977
800	 0.977
801	 0.977
802	 0.977
803	 0.977
804	 0.977
805	 0.977
806	 0.977
807	 0.977
808	 0.977
809	 0.977
810	 0.977
811	 0.977
812	 0.977
813	 0.977
814	 0.977
815	 0.977
816	 0.977
817	 0.977
818	 0.977
819	 0.977
820	 0.977
821	 0.977
822	 0.977
823	 0.977
824	 0.977
825	 0.977
826	 0.977
827	 0.977
828	 0.977
829	 0.977
830	 0.977
831	 0.977
832	 0.977
833	 0.977
834	 0.977
835	 0.977
836	 0.977
837	 0.977
838	 0.977
839	 0.977
840	 0.977
841	 0.977
842	 0.977
843	 0.977
844	 0.978
845	 0.978
846	 0.978
847	 0.978
848	 0.978
849	 0.978
850	 0.978
851	 0.978
852	 0.978
853	 0.978
854	 0.978
855	 0.978
856	 0.978
857	 0.978
858	 0.978
859	 0.978
860	 0.978
861	 0.978
862	 0.978
863	 0.978
864	 0.978
865	 0.978
866	 0.978
867	 0.978
868	 0.978
869	 0.978
870	 0.978
871	 0.978
872	 0.978
873	 0.979
874	 0.979
875	 0.979
876	 0.979
877	 0.979
878	 0.979
879	 0.979
880	 0.979
881	 0.979
882	 0.979
883	 0.979
884	 0.979
885	 0.979
886	 0.979
887	 0.979
888	 0.979
889	 0.979
890	 0.979
891	 0.979
892	 0.979
893	 0.979
894	 0.979
895	 0.979
896	 0.979
897	 0.979
898	 0.979
899	 0.979
900	 0.979
901	 0.979
902	 0.979
903	 0.979
904	 0.979
905	 0.979
906	 0.979
907	 0.979
908	 0.979
909	 0.979
910	 0.979
911	 0.979
912	 0.979
913	 0.979
914	 0.979
915	 0.979
916	 0.979
917	 0.979
918	 0.979
919	 0.979
920	 0.979
921	 0.979
922	 0.979
923	 0.979
924	 0.979
925	 0.979
926	 0.979
927	 0.979
928	 0.979
929	 0.979
930	 0.979
931	 0.979
932	 0.979
933	 0.979
934	 0.979
935	 0.979
936	 0.979
937	 0.979
938	 0.979
939	 0.979
940	 0.979
941	 0.979
942	 0.979
943	 0.979
944	 0.979
945	 0.979
946	 0.979
947	 0.979
948	 0.979
949	 0.979
950	 0.979
951	 0.979
952	 0.979
953	 0.979
954	 0.979
955	 0.979
956	 0.979
957	 0.979
958	 0.979
959	 0.979
960	 0.979
961	 0.979
962	 0.979
963	 0.979
964	 0.979
965	 0.979
966	 0.979
967	 0.979
968	 0.979
969	 0.979
970	 0.979
971	 0.979
972	 0.979
973	 0.979
974	 0.979
975	 0.979
976	 0.979
977	 0.979
978	 0.979
979	 0.979
980	 0.979
981	 0.979
982	 0.979
983	 0.979
984	 0.979
985	 0.979
986	 0.979
987	 0.979
988	 0.979
989	 0.979
990	 0.979
991	 0.979
992	 0.979
993	 0.979
994	 0.979
995	 0.979
996	 0.979
997	 0.979
998	 0.979
999	 0.979
1000	 0.979
1001	 0.979
1002	 0.979
1003	 0.979
1004	 0.979
1005	 0.979
1006	 0.979
1007	 0.979
1008	 0.979
1009	 0.979
1010	 0.979
1011	 0.979
1012	 0.979
1013	 0.979
1014	 0.979
1015	 0.979
1016	 0.979
1017	 0.979
1018	 0.979
1019	 0.979
1020	 0.979
1021	 0.98
1022	 0.98
1023	 0.98
1024	 0.98
1025	 0.98
1026	 0.98
1027	 0.98
1028	 0.98
1029	 0.98
1030	 0.98
1031	 0.98
1032	 0.98
1033	 0.98
1034	 0.98
1035	 0.98
1036	 0.98
1037	 0.98
1038	 0.98
1039	 0.98
1040	 0.98
1041	 0.98
1042	 0.98
1043	 0.98
1044	 0.98
1045	 0.98
1046	 0.98
1047	 0.98
1048	 0.98
1049	 0.98
1050	 0.98
1051	 0.98
1052	 0.98
1053	 0.979
1054	 0.979
1055	 0.979
1056	 0.979
1057	 0.979
1058	 0.979
1059	 0.979
1060	 0.979
1061	 0.979
1062	 0.979
1063	 0.979
1064	 0.979
1065	 0.979
1066	 0.979
1067	 0.979
1068	 0.979
1069	 0.979
1070	 0.979
1071	 0.979
1072	 0.979
1073	 0.979
1074	 0.979
1075	 0.979
1076	 0.979
1077	 0.979
1078	 0.979
1079	 0.979
1080	 0.979
1081	 0.979
1082	 0.979
1083	 0.979
1084	 0.979
1085	 0.979
1086	 0.979
1087	 0.979
1088	 0.979
1089	 0.979
1090	 0.979
1091	 0.979
1092	 0.979
1093	 0.979
1094	 0.979
1095	 0.979
1096	 0.979
1097	 0.979
1098	 0.979
1099	 0.979
1100	 0.979
1101	 0.979
1102	 0.979
1103	 0.979
1104	 0.979
1105	 0.979
1106	 0.979
1107	 0.979
1108	 0.979
1109	 0.979
1110	 0.979
1111	 0.979
1112	 0.979
1113	 0.979
1114	 0.979
1115	 0.979
1116	 0.98
1117	 0.98
1118	 0.98
1119	 0.98
1120	 0.98
1121	 0.98
1122	 0.98
1123	 0.98
1124	 0.98
1125	 0.98
1126	 0.98
1127	 0.98
1128	 0.98
1129	 0.98
1130	 0.98
1131	 0.98
1132	 0.98
1133	 0.98
1134	 0.98
1135	 0.98
1136	 0.98
1137	 0.98
1138	 0.98
1139	 0.98
1140	 0.98
1141	 0.98
1142	 0.98
1143	 0.98
1144	 0.98
1145	 0.98
1146	 0.98
1147	 0.98
1148	 0.98
1149	 0.98
1150	 0.98
1151	 0.98
1152	 0.98
1153	 0.98
1154	 0.98
1155	 0.98
1156	 0.979
1157	 0.979
1158	 0.979
1159	 0.979
1160	 0.979
1161	 0.979
1162	 0.979
1163	 0.979
1164	 0.979
1165	 0.979
1166	 0.979
1167	 0.979
1168	 0.979
1169	 0.979
1170	 0.979
1171	 0.979
1172	 0.979
1173	 0.979
1174	 0.979
1175	 0.979
1176	 0.979
1177	 0.979
1178	 0.979
1179	 0.979
1180	 0.979
1181	 0.979
1182	 0.979
1183	 0.978
1184	 0.978
1185	 0.978
1185	 0.978
1187	 0.978
1188	 0.978
1189	 0.978
1190	 0.978
1191	 0.978
1192	 0.978
1193	 0.978
1194	 0.978
1195	 0.978
1196	 0.978
1197	 0.978
1198	 0.978
1199	 0.978
1200	 0.978
1201	 0.978
1202	 0.978
1203	 0.978
1204	 0.978
1205	 0.978
1206	 0.978
1207	 0.978
1208	 0.978
1209	 0.978
1210	 0.978
1211	 0.978
1212	 0.978
1213	 0.978
1214	 0.978
1215	 0.978
1216	 0.978
1217	 0.978
1218	 0.978
1219	 0.978
1220	 0.978
1221	 0.978
1222	 0.978
1223	 0.978
1224	 0.978
1225	 0.978
1226	 0.978
1227	 0.979
1228	 0.979
1229	 0.979
1230	 0.979
1231	 0.979
1232	 0.979
1233	 0.979
1234	 0.979
1235	 0.979
1236	 0.979
1237	 0.979
1238	 0.979
1239	 0.979
1240	 0.979
1241	 0.979
1242	 0.979
1243	 0.979
1244	 0.979
1245	 0.979
1246	 0.979
1247	 0.979
1248	 0.979
1249	 0.979
1250	 0.979
1251	 0.979
1252	 0.979
1253	 0.979
1254	 0.979
1255	 0.979
1256	 0.979
1257	 0.979
1258	 0.979
1259	 0.979
1260	 0.979
1261	 0.979
1262	 0.979
1263	 0.979
1264	 0.979
1265	 0.979
1266	 0.979
1267	 0.979
1268	 0.979
1269	 0.979
1270	 0.979
1271	 0.979
1272	 0.979
1273	 0.979
1274	 0.979
1275	 0.978
1276	 0.978
1277	 0.978
1278	 0.978
1279	 0.978
1280	 0.978
1281	 0.978
1282	 0.978
1283	 0.978
1284	 0.978
1285	 0.978
1286	 0.978
1287	 0.978
1288	 0.978
1289	 0.978
1290	 0.978
1291	 0.978
1292	 0.978
1293	 0.978
1294	 0.978
1295	 0.978
1296	 0.978
1297	 0.978
1298	 0.978
1299	 0.978
1300	 0.978
1301	 0.978
1302	 0.977
1303	 0.977
1304	 0.977
1305	 0.977
1306	 0.977
1307	 0.977
1308	 0.977
1309	 0.977
1310	 0.977
1311	 0.977
1312	 0.977
1313	 0.977
1314	 0.977
1315	 0.977
1316	 0.977
1317	 0.977
1318	 0.977
1319	 0.977
1320	 0.977
1321	 0.977
1322	 0.977
1323	 0.977
1324	 0.977
1325	 0.977
1326	 0.977
1327	 0.977
1328	 0.977
1329	 0.977
1330	 0.977
1331	 0.977
1332	 0.977
1333	 0.977
1334	 0.977
1335	 0.977
1336	 0.977
1337	 0.977
1338	 0.977
1339	 0.977
1340	 0.976
1341	 0.976
1342	 0.976
1343	 0.976
1344	 0.976
1345	 0.976
1346	 0.976
1347	 0.976
1348	 0.976
1349	 0.976
1350	 0.976
1351	 0.976
1352	 0.976
1353	 0.976
1354	 0.976
1355	 0.976
1356	 0.976
1357	 0.976
1358	 0.976
1359	 0.976
1360	 0.976
1361	 0.976
1362	 0.976
1363	 0.976
1364	 0.976
1365	 0.976
1366	 0.976
1367	 0.976
1368	 0.976
1369	 0.976
1370	 0.976
1371	 0.976
1372	 0.976
1373	 0.976
1374	 0.976
1375	 0.976
1376	 0.976
1377	 0.976
1378	 0.976
1379	 0.976
1380	 0.976
1381	 0.976
1382	 0.976
1383	 0.976
1384	 0.976
1385	 0.976
1386	 0.976
1387	 0.976
1388	 0.976
1389	 0.976
1390	 0.976
1391	 0.976
1392	 0.976
1393	 0.976
1394	 0.976
1395	 0.976
1396	 0.976
1397	 0.976
1398	 0.976
1399	 0.976
1400	 0.976
1401	 0.976
1402	 0.976
1403	 0.976
1404	 0.976
1405	 0.976
1406	 0.976
1407	 0.976
1408	 0.976
1409	 0.976
1410	 0.976
1411	 0.976
1412	 0.976
1413	 0.976
1414	 0.976
1415	 0.976
1416	 0.976
1417	 0.976
1418	 0.976
1419	 0.976
1420	 0.976
1421	 0.976
1422	 0.976
1423	 0.976
1424	 0.976
1425	 0.976
1426	 0.976
1427	 0.976
1428	 0.976
1429	 0.976
1430	 0.976
1431	 0.976
1432	 0.976
1433	 0.976
1434	 0.976
1435	 0.976
1436	 0.976
1437	 0.976
1438	 0.976
1439	 0.976
1440	 0.977
1441	 0.977
1442	 0.977
1443	 0.977
1444	 0.977
1445	 0.977
1446	 0.977
1447	 0.977
1448	 0.977
1449	 0.977
1450	 0.977
1451	 0.977
1452	 0.977
1453	 0.977
1454	 0.977
1455	 0.977
1456	 0.977
1457	 0.977
1458	 0.977
1459	 0.977
1460	 0.977
1461	 0.977
1462	 0.977
1463	 0.977
1464	 0.977
1465	 0.977
1466	 0.977
1467	 0.977
1468	 0.977
1469	 0.977
1470	 0.977
1471	 0.977
1472	 0.977
1473	 0.977
1474	 0.977
1475	 0.977
1476	 0.977
1477	 0.977
1478	 0.977
1479	 0.977
1480	 0.977
1481	 0.977
1482	 0.977
1483	 0.977
1484	 0.977
1485	 0.977
1486	 0.977
1487	 0.977
1488	 0.977
1489	 0.977
1490	 0.977
1491	 0.977
1492	 0.977
1493	 0.977
1494	 0.977
1495	 0.977
1496	 0.977
1497	 0.977
1498	 0.977
1499	 0.977
1500	 0.977
1501	 0.977
1502	 0.977
1503	 0.977
1504	 0.977
1505	 0.977
1506	 0.977
1507	 0.977
1508	 0.977
1509	 0.977
1510	 0.977
1511	 0.977
1512	 0.977
1513	 0.977
1514	 0.977
1515	 0.977
1516	 0.977
1517	 0.977
1518	 0.977
1519	 0.977
1520	 0.977
1521	 0.977
1522	 0.977
1523	 0.977
1524	 0.977
1525	 0.977
1526	 0.977
1527	 0.977
1528	 0.977
1529	 0.977
1530	 0.977
1531	 0.977
1532	 0.977
1533	 0.977
1534	 0.977
1535	 0.977
1536	 0.977
1537	 0.977
1538	 0.977
1539	 0.977
1540	 0.977
1541	 0.977
1542	 0.977
1543	 0.977
1544	 0.977
1545	 0.977
1546	 0.977
1547	 0.978
1548	 0.978
1549	 0.978
1550	 0.978
1551	 0.978
1552	 0.978
1553	 0.978
1554	 0.978
1555	 0.978
1556	 0.978
1557	 0.978
1558	 0.978
1559	 0.978
1560	 0.978
1561	 0.978
1562	 0.978
1563	 0.978
1564	 0.978
1565	 0.978
1566	 0.978
1567	 0.978
1568	 0.978
1569	 0.978
1570	 0.978
1571	 0.978
1572	 0.978
1573	 0.978
1574	 0.978
1575	 0.978
1576	 0.978
1577	 0.978
1578	 0.978
1579	 0.978
1580	 0.978
1581	 0.978
1582	 0.978
1583	 0.978
1584	 0.978
1585	 0.978
1586	 0.978
1587	 0.978
1588	 0.978
1589	 0.978
1590	 0.978
1591	 0.978
1592	 0.978
1593	 0.978
1594	 0.978
1595	 0.978
1596	 0.978
1597	 0.978
1598	 0.978
1599	 0.978
1600	 0.978
1601	 0.978
1602	 0.978
1603	 0.978
1604	 0.978
1605	 0.978
1606	 0.978
1607	 0.978
1608	 0.978
1609	 0.978
1610	 0.978
1611	 0.978
1612	 0.978
1613	 0.978
1614	 0.978
1615	 0.978
1616	 0.978
1617	 0.978
1618	 0.978
1619	 0.978
1620	 0.978
1621	 0.978
1622	 0.978
1623	 0.978
1624	 0.978
1625	 0.977
1626	 0.977
1627	 0.977
1628	 0.977
1629	 0.977
1630	 0.977
1631	 0.977
1632	 0.977
1633	 0.977
1634	 0.977
1635	 0.977
1636	 0.977
1637	 0.977
1638	 0.977
1639	 0.977
1640	 0.977
1641	 0.977
1642	 0.977
1643	 0.977
1644	 0.977
1645	 0.976
1646	 0.976
1647	 0.976
1648	 0.976
1649	 0.976
1650	 0.976
1651	 0.976
1652	 0.976
1653	 0.976
1654	 0.976
1655	 0.976
1656	 0.976
1657	 0.976
1658	 0.975
1659	 0.975
1660	 0.975
1661	 0.975
1662	 0.975
1663	 0.975
1664	 0.975
1665	 0.975
1666	 0.975
1667	 0.975
1668	 0.974
1669	 0.974
1670	 0.974
1671	 0.974
1672	 0.974
1673	 0.974
1674	 0.974
1675	 0.974
1676	 0.974
1677	 0.974
1678	 0.974
1679	 0.973
1680	 0.973
1681	 0.973
1682	 0.973
1683	 0.973
1684	 0.973
1685	 0.973
1686	 0.973
1687	 0.973
1688	 0.973
1689	 0.973
1690	 0.972
1691	 0.972
1692	 0.972
1693	 0.972
1694	 0.972
1695	 0.972
1696	 0.972
1697	 0.972
1698	 0.972
1699	 0.972
1700	 0.972
1701	 0.972
1702	 0.972
1703	 0.972
1704	 0.971
1705	 0.971
1706	 0.971
1707	 0.971
1708	 0.971
1709	 0.971
1710	 0.971
1711	 0.971
1712	 0.971
1713	 0.971
1714	 0.971
1715	 0.971
1716	 0.971
1717	 0.971
1718	 0.971
1719	 0.971
1720	 0.971
1721	 0.971
1722	 0.971
1723	 0.971
1724	 0.971
1725	 0.971
1726	 0.971
1727	 0.971
1728	 0.971
1729	 0.971
1730	 0.971
1731	 0.971
1732	 0.971
1733	 0.971
1734	 0.971
1735	 0.971
1736	 0.971
1737	 0.971
1738	 0.971
1739	 0.971
1740	 0.971
1741	 0.971
1742	 0.971
1743	 0.971
1744	 0.971
1745	 0.971
1746	 0.971
1747	 0.971
1748	 0.971
1749	 0.971
1750	 0.971
1751	 0.971
1752	 0.971
1753	 0.971
1754	 0.971
1755	 0.971
1756	 0.971
1757	 0.971
1758	 0.971
1759	 0.971
1760	 0.971
1761	 0.971
1762	 0.971
1763	 0.971
1764	 0.971
1765	 0.971
1766	 0.971
1767	 0.971
1768	 0.971
1769	 0.971
1770	 0.971
1771	 0.971
1772	 0.971
1773	 0.971
1774	 0.971
1775	 0.971
1776	 0.971
1777	 0.971
1778	 0.971
1779	 0.971
1780	 0.971
1781	 0.971
1782	 0.971
1783	 0.971
1784	 0.971
1785	 0.971
1786	 0.971
1787	 0.971
1788	 0.971
1789	 0.971
1790	 0.971
1791	 0.971
1792	 0.971
1793	 0.971
1794	 0.971
1795	 0.971
1796	 0.971
1797	 0.971
1798	 0.971
1799	 0.971
1800	 0.971
1801	 0.971
1802	 0.971
1803	 0.971
1804	 0.971
1805	 0.971
1806	 0.971
1807	 0.971
1808	 0.97
1809	 0.97
1810	 0.97
1811	 0.97
1812	 0.97
1813	 0.97
1814	 0.97
1815	 0.97
1816	 0.97
1817	 0.97
1818	 0.97
1819	 0.97
1820	 0.969
1821	 0.969
1822	 0.969
1823	 0.969
1824	 0.969
1825	 0.969
1826	 0.969
1827	 0.969
1828	 0.969
1829	 0.969
1830	 0.969
1831	 0.968
1832	 0.968
1833	 0.968
1834	 0.968
1835	 0.968
1836	 0.968
1837	 0.968
1838	 0.968
1839	 0.968
1840	 0.968
1841	 0.968
1842	 0.968
1843	 0.967
1844	 0.967
1845	 0.967
1846	 0.967
1847	 0.967
1848	 0.967
1849	 0.967
1850	 0.967
1851	 0.967
1852	 0.967
1853	 0.967
1854	 0.967
1855	 0.967
1856	 0.967
1857	 0.967
1858	 0.967
1859	 0.967
1860	 0.967
1861	 0.967
1862	 0.967
1863	 0.967
1864	 0.967
1865	 0.967
1866	 0.967
1867	 0.967
1868	 0.967
1869	 0.967
1870	 0.967
1871	 0.967
1872	 0.967
1873	 0.967
1874	 0.967
1875	 0.967
1876	 0.967
1877	 0.967
1878	 0.967
1879	 0.967
1880	 0.967
1881	 0.967
1882	 0.967
1883	 0.967
1884	 0.967
1885	 0.967
1886	 0.967
1887	 0.967
1888	 0.967
1889	 0.967
1890	 0.967
1891	 0.967
1892	 0.967
1893	 0.967
1894	 0.967
1895	 0.967
1896	 0.967
1897	 0.967
1898	 0.967
1899	 0.967
1900	 0.967
1901	 0.967
1902	 0.967
1903	 0.967
1904	 0.967
1905	 0.967
1906	 0.967
1907	 0.967
1908	 0.967
1909	 0.967
1910	 0.967
1911	 0.967
1912	 0.967
1913	 0.966
1914	 0.966
1915	 0.966
1916	 0.966
1917	 0.966
1918	 0.966
1919	 0.966
1920	 0.966
1921	 0.966
1922	 0.966
1923	 0.966
1924	 0.966
1925	 0.966
1926	 0.966
1927	 0.966
1928	 0.966
1929	 0.966
1930	 0.966
1931	 0.966
1932	 0.966
1933	 0.966
1934	 0.966
1935	 0.966
1936	 0.966
1937	 0.966
1938	 0.966
1939	 0.966
1940	 0.966
1941	 0.966
1942	 0.966
1943	 0.966
1944	 0.966
1945	 0.966
1946	 0.965
1947	 0.965
1948	 0.965
1949	 0.965
1950	 0.965
1951	 0.965
1952	 0.965
1953	 0.965
1954	 0.965
1955	 0.965
1956	 0.965
1957	 0.965
1958	 0.965
1959	 0.965
1960	 0.965
1961	 0.965
1962	 0.965
1963	 0.965
1964	 0.965
1965	 0.965
1966	 0.965
1967	 0.965
1968	 0.964
1969	 0.964
1970	 0.964
1971	 0.964
1972	 0.964
1973	 0.964
1974	 0.964
1975	 0.964
1976	 0.964
1977	 0.964
1978	 0.964
1979	 0.964
1980	 0.964
1981	 0.963
1982	 0.963
1983	 0.963
1984	 0.963
1985	 0.963
1986	 0.963
1987	 0.963
1988	 0.963
1989	 0.963
1990	 0.962
1991	 0.962
1992	 0.962
1993	 0.962
1994	 0.962
1995	 0.962
1996	 0.962
1997	 0.961
1998	 0.961
1999	 0.961
2000	 0.961
2001	 0.961
2002	 0.96
2003	 0.96
2004	 0.96
2005	 0.96
2006	 0.96
2007	 0.959
2008	 0.959
2009	 0.959
2010	 0.959
2011	 0.959
2012	 0.958
2013	 0.958
2014	 0.958
2015	 0.958
2016	 0.957
2017	 0.957
2018	 0.957
2019	 0.957
2020	 0.956
2021	 0.956
2022	 0.956
2023	 0.956
2024	 0.956
2025	 0.955
2026	 0.955
2027	 0.955
2028	 0.955
2029	 0.954
2030	 0.954
2031	 0.954
2032	 0.954
2033	 0.953
2034	 0.953
2035	 0.953
2036	 0.953
2037	 0.952
2038	 0.952
2039	 0.952
2040	 0.952
2041	 0.952
2042	 0.951
2043	 0.951
2044	 0.951
2045	 0.951
2046	 0.951
2047	 0.95
2048	 0.95
2049	 0.95
2050	 0.95
2051	 0.95
2052	 0.95
2053	 0.95
2054	 0.949
2055	 0.949
2056	 0.949
2057	 0.949
2058	 0.949
2059	 0.949
2060	 0.949
2061	 0.949
2062	 0.948
2063	 0.948
2064	 0.948
2065	 0.948
2066	 0.948
2067	 0.948
2068	 0.948
2069	 0.948
2070	 0.948
2071	 0.948
2072	 0.948
2073	 0.947
2074	 0.947
2075	 0.947
2076	 0.947
2077	 0.947
2078	 0.947
2079	 0.947
2080	 0.947
2081	 0.947
2082	 0.947
2083	 0.947
2084	 0.947
2085	 0.946
2086	 0.946
2087	 0.946
2088	 0.946
2089	 0.946
2090	 0.946
2091	 0.946
2092	 0.946
2093	 0.946
2094	 0.946
2095	 0.946
2096	 0.945
2097	 0.945
2098	 0.945
2099	 0.945
2100	 0.945
2101	 0.945
2102	 0.945
2103	 0.945
2104	 0.944
2105	 0.944
2106	 0.944
2107	 0.944
2108	 0.944
2109	 0.944
2110	 0.943
2111	 0.943
2112	 0.943
2113	 0.943
2114	 0.943
2115	 0.943
2116	 0.942
2117	 0.942
2118	 0.942
2119	 0.942
2120	 0.942
2121	 0.942
2122	 0.942
2123	 0.9411
2124	 0.941
2125	 0.941
2126	 0.941
2127	 0.941
2128	 0.941
2129	 0.941
2130	 0.941
2131	 0.941
2132	 0.94
2133	 0.94
2134	 0.94
2135	 0.94
2136	 0.94
2137	 0.94
2138	 0.94
2139	 0.94
2140	 0.94
2141	 0.94
2142	 0.94
2143	 0.94
2144	 0.94
2145	 0.94
2146	 0.94
2147	 0.94
2148	 0.941
2149	 0.941
2150	 0.941
2151	 0.941
2152	 0.941
2153	 0.941
2154	 0.942
2155	 0.942
2156	 0.942
2157	 0.942
2158	 0.942
2159	 0.943
2160	 0.943
2161	 0.943
2162	 0.944
2163	 0.944
