CSIRO WA	
552	0.990917917
553	0.990926299
554	0.990934306
555	0.990941942
556	0.990949214
557	0.990956129
558	0.990962691
559	0.990968908
560	0.990974784
561	0.990980327
562	0.990985541
563	0.990990434
564	0.990995011
565	0.990999277
566	0.99100324
567	0.991006905
568	0.991010278
569	0.991013365
570	0.991016172
571	0.991018705
572	0.99102097
573	0.991022974
574	0.991024721
575	0.991026219
576	0.991027472
577	0.991028488
578	0.991029272
579	0.99102983
580	0.991030168
581	0.991030292
582	0.991030208
583	0.991029923
584	0.991029441
585	0.99102877
586	0.991027915
587	0.991026882
588	0.991025677
589	0.991024306
590	0.991022776
591	0.991021091
592	0.991019259
593	0.991017285
594	0.991015175
595	0.991012935
596	0.991010572
597	0.991008091
598	0.991005498
599	0.991002799
600	0.991
601	0.990997107
602	0.990994123
603	0.990991051
604	0.990987894
605	0.990984654
606	0.990981335
607	0.99097794
608	0.99097447
609	0.99097093
610	0.990967321
611	0.990963648
612	0.990959912
613	0.990956116
614	0.990952264
615	0.990948358
616	0.990944401
617	0.990940397
618	0.990936347
619	0.990932254
620	0.990928123
621	0.990923954
622	0.990919752
623	0.990915519
624	0.990911258
625	0.990906972
626	0.990902663
627	0.990898335
628	0.990893991
629	0.990889632
630	0.990885263
631	0.990880886
632	0.990876504
633	0.990872119
634	0.990867735
635	0.990863354
636	0.99085898
637	0.990854615
638	0.990850262
639	0.990845923
640	0.990841603
641	0.990837303
642	0.990833026
643	0.990828776
644	0.990824555
645	0.990820365
646	0.990816211
647	0.990812095
648	0.990808019
649	0.990803986
650	0.9908
651	0.990796063
652	0.990792177
653	0.990788343
654	0.990784564
655	0.990780841
656	0.990777176
657	0.990773571
658	0.990770027
659	0.990766547
660	0.990763131
661	0.990759782
662	0.990756502
663	0.990753292
664	0.990750154
665	0.99074709
666	0.990744102
667	0.99074119
668	0.990738358
669	0.990735607
670	0.990732938
671	0.990730353
672	0.990727855
673	0.990725445
674	0.990723124
675	0.990720894
676	0.990718758
677	0.990716717
678	0.990714772
679	0.990712925
680	0.990711179
681	0.990709535
682	0.990707994
683	0.990706559
684	0.990705231
685	0.990704012
686	0.990702904
687	0.990701908
688	0.990701027
689	0.990700261
690	0.990699614
691	0.990699085
692	0.990698679
693	0.990698395
694	0.990698236
695	0.990698203
696	0.990698299
697	0.990698525
698	0.990698882
699	0.990699373
700	0.9907
701	0.990700762
702	0.990701651
703	0.990702657
704	0.990703771
705	0.990704982
706	0.990706281
707	0.990707657
708	0.990709102
709	0.990710604
710	0.990712155
711	0.990713743
712	0.99071536
713	0.990716995
714	0.990718639
715	0.990720282
716	0.990721913
717	0.990723522
718	0.990725101
719	0.990726639
720	0.990728126
721	0.990729552
722	0.990730907
723	0.990732182
724	0.990733367
725	0.990734451
726	0.990735425
727	0.990736278
728	0.990737002
729	0.990737586
730	0.99073802
731	0.990738294
732	0.990738399
733	0.990738324
734	0.990738059
735	0.990737596
736	0.990736923
737	0.990736031
738	0.990734911
739	0.990733551
740	0.990731942
741	0.990730075
742	0.99072794
743	0.990725526
744	0.990722823
745	0.990719823
746	0.990716514
747	0.990712887
748	0.990708933
749	0.99070464
750	0.9907
751	0.990695006
752	0.990689669
753	0.990684001
754	0.990678017
755	0.990671731
756	0.990665157
757	0.990658308
758	0.990651198
759	0.990643841
760	0.99063625
761	0.990628441
762	0.990620425
763	0.990612218
764	0.990603833
765	0.990595284
766	0.990586584
767	0.990577748
768	0.990568789
769	0.990559721
770	0.990550559
771	0.990541315
772	0.990532003
773	0.990522638
774	0.990513233
775	0.990503802
776	0.990494359
777	0.990484918
778	0.990475492
779	0.990466095
780	0.990456742
781	0.990447445
782	0.990438219
783	0.990429078
784	0.990420035
785	0.990411104
786	0.990402299
787	0.990393634
788	0.990385123
789	0.990376779
790	0.990368616
791	0.990360649
792	0.99035289
793	0.990345354
794	0.990338055
795	0.990331006
796	0.990324221
797	0.990317714
798	0.990311499
799	0.99030559
800	0.9903
801	0.990294741
802	0.990289812
803	0.990285213
804	0.99028094
805	0.990276992
806	0.990273366
807	0.990270061
808	0.990267073
809	0.990264402
810	0.990262044
811	0.990259998
812	0.990258261
813	0.990256831
814	0.990255706
815	0.990254884
816	0.990254362
817	0.990254139
818	0.990254213
819	0.99025458
820	0.99025524
821	0.990256189
822	0.990257426
823	0.990258948
824	0.990260754
825	0.99026284
826	0.990265206
827	0.990267848
828	0.990270765
829	0.990273954
830	0.990277414
831	0.990281141
832	0.990285134
833	0.990289391
834	0.99029391
835	0.990298688
836	0.990303723
837	0.990309013
838	0.990314556
839	0.99032035
840	0.990326392
841	0.99033268
842	0.990339212
843	0.990345987
844	0.990353001
845	0.990360253
846	0.99036774
847	0.990375461
848	0.990383412
849	0.990391593
850	0.9904
851	0.990408631
852	0.990417476
853	0.990426526
854	0.99043577
855	0.9904452
856	0.990454804
857	0.990464574
858	0.990474499
859	0.990484569
860	0.990494774
861	0.990505104
862	0.99051555
863	0.990526102
864	0.990536749
865	0.990547481
866	0.99055829
867	0.990569164
868	0.990580094
869	0.99059107
870	0.990602082
871	0.990613121
872	0.990624175
873	0.990635236
874	0.990646293
875	0.990657337
876	0.990668357
877	0.990679343
878	0.990690287
879	0.990701177
880	0.990712004
881	0.990722758
882	0.990733429
883	0.990744007
884	0.990754482
885	0.990764844
886	0.990775084
887	0.990785191
888	0.990795155
889	0.990804968
890	0.990814617
891	0.990824095
892	0.99083339
893	0.990842493
894	0.990851394
895	0.990860082
896	0.99086855
897	0.990876785
898	0.990884778
899	0.99089252
900	0.9909
901	0.990907211
902	0.990914154
903	0.990920832
904	0.990927249
905	0.990933408
906	0.990939313
907	0.990944968
908	0.990950375
909	0.990955538
910	0.990960461
911	0.990965147
912	0.9909696
913	0.990973822
914	0.990977818
915	0.990981591
916	0.990985145
917	0.990988482
918	0.990991606
919	0.990994521
920	0.990997231
921	0.990999738
922	0.991002047
923	0.99100416
924	0.991006081
925	0.991007813
926	0.991009361
927	0.991010727
928	0.991011915
929	0.991012928
930	0.99101377
931	0.991014445
932	0.991014955
933	0.991015304
934	0.991015497
935	0.991015535
936	0.991015423
937	0.991015164
938	0.991014761
939	0.991014219
940	0.99101354
941	0.991012727
942	0.991011786
943	0.991010718
944	0.991009527
945	0.991008217
946	0.991006791
947	0.991005253
948	0.991003607
949	0.991001854
950	0.991
951	0.990998048
952	0.990996002
953	0.99099387
954	0.990991656
955	0.990989367
956	0.990987007
957	0.990984583
958	0.990982101
959	0.990979565
960	0.990976982
961	0.990974357
962	0.990971696
963	0.990969005
964	0.990966289
965	0.990963554
966	0.990960806
967	0.99095805
968	0.990955292
969	0.990952538
970	0.990949794
971	0.990947064
972	0.990944356
973	0.990941673
974	0.990939023
975	0.990936411
976	0.990933842
977	0.990931322
978	0.990928857
979	0.990926453
980	0.990924115
981	0.990921849
982	0.99091966
983	0.990917555
984	0.990915538
985	0.990913616
986	0.990911795
987	0.990910079
988	0.990908475
989	0.990906988
990	0.990905624
991	0.990904389
992	0.990903288
993	0.990902328
994	0.990901513
995	0.990900849
996	0.990900342
997	0.990899998
998	0.990899823
999	0.990899822
1000	0.9909
1001	0.990900361
1002	0.990900896
1003	0.990901592
1004	0.990902439
1005	0.990903424
1006	0.990904535
1007	0.990905762
1008	0.990907091
1009	0.990908512
1010	0.990910012
1011	0.99091158
1012	0.990913204
1013	0.990914872
1014	0.990916572
1015	0.990918293
1016	0.990920023
1017	0.990921749
1018	0.990923461
1019	0.990925147
1020	0.990926794
1021	0.990928391
1022	0.990929926
1023	0.990931388
1024	0.990932764
1025	0.990934044
1026	0.990935214
1027	0.990936263
1028	0.99093718
1029	0.990937953
1030	0.99093857
1031	0.990939019
1032	0.990939288
1033	0.990939366
1034	0.99093924
1035	0.9909389
1036	0.990938333
1037	0.990937528
1038	0.990936473
1039	0.990935155
1040	0.990933564
1041	0.990931687
1042	0.990929512
1043	0.990927029
1044	0.990924225
1045	0.990921087
1046	0.990917606
1047	0.990913768
1048	0.990909563
1049	0.990904977
1050	0.9909
1051	0.990894625
1052	0.990888869
1053	0.990882755
1054	0.990876303
1055	0.990869538
1056	0.99086248
1057	0.990855152
1058	0.990847576
1059	0.990839774
1060	0.99083177
1061	0.990823584
1062	0.990815239
1063	0.990806758
1064	0.990798163
1065	0.990789475
1066	0.990780717
1067	0.990771911
1068	0.99076308
1069	0.990754246
1070	0.99074543
1071	0.990736656
1072	0.990727945
1073	0.99071932
1074	0.990710802
1075	0.990702415
1076	0.99069418
1077	0.990686119
1078	0.990678255
1079	0.99067061
1080	0.990663206
1081	0.990656066
1082	0.990649211
1083	0.990642664
1084	0.990636447
1085	0.990630582
1086	0.990625092
1087	0.990619999
1088	0.990615324
1089	0.990611091
1090	0.990607321
1091	0.990604037
1092	0.990601261
1093	0.990599015
1094	0.990597321
1095	0.990596201
1096	0.990595679
1097	0.990595775
1098	0.990596512
1099	0.990597913
1100	0.9906
1101	0.990602784
1102	0.990606238
1103	0.990610322
1104	0.990614997
1105	0.990620226
1106	0.990625969
1107	0.990632187
1108	0.990638843
1109	0.990645896
1110	0.990653309
1111	0.990661042
1112	0.990669058
1113	0.990677316
1114	0.990685779
1115	0.990694408
1116	0.990703164
1117	0.990712008
1118	0.990720902
1119	0.990729807
1120	0.990738684
1121	0.990747495
1122	0.9907562
1123	0.990764761
1124	0.990773139
1125	0.990781296
1126	0.990789193
1127	0.990796791
1128	0.990804052
1129	0.990810936
1130	0.990817405
1131	0.99082342
1132	0.990828943
1133	0.990833935
1134	0.990838357
1135	0.99084217
1136	0.990845336
1137	0.990847815
1138	0.99084957
1139	0.990850562
1140	0.990850751
1141	0.990850099
1142	0.990848567
1143	0.990846117
1144	0.99084271
1145	0.990838307
1146	0.99083287
1147	0.990826359
1148	0.990818736
1149	0.990809963
1150	0.9908
1151	0.990788822
1152	0.990776458
1153	0.990762948
1154	0.990748334
1155	0.990732659
1156	0.990715962
1157	0.990698286
1158	0.990679672
1159	0.990660161
1160	0.990639795
1161	0.990618616
1162	0.990596665
1163	0.990573983
1164	0.990550612
1165	0.990526593
1166	0.990501967
1167	0.990476777
1168	0.990451064
1169	0.990424869
1170	0.990398233
1171	0.990371198
1172	0.990343806
1173	0.990316098
1174	0.990288115
1175	0.990259899
1176	0.990231491
1177	0.990202934
1178	0.990174267
1179	0.990145533
1180	0.990116773
1181	0.990088029
1182	0.990059342
1183	0.990030754
1184	0.990002305
1185	0.989974038
1186	0.989945994
1187	0.989918214
1188	0.98989074
1189	0.989863613
1190	0.989836876
1191	0.989810568
1192	0.989784732
1193	0.989759409
1194	0.989734641
1195	0.989710469
1196	0.989686934
1197	0.989664079
1198	0.989641943
1199	0.98962057
1200	0.9896
1201	0.989580264
1202	0.989561346
1203	0.98954322
1204	0.98952586
1205	0.98950924
1206	0.989493333
1207	0.989478112
1208	0.989463553
1209	0.989449627
1210	0.98943631
1211	0.989423574
1212	0.989411394
1213	0.989399742
1214	0.989388594
1215	0.989377921
1216	0.989367699
1217	0.9893579
1218	0.989348499
1219	0.989339469
1220	0.989330783
1221	0.989322416
1222	0.989314342
1223	0.989306533
1224	0.989298963
1225	0.989291607
1226	0.989284437
1227	0.989277429
1228	0.989270554
1229	0.989263787
1230	0.989257102
1231	0.989250472
1232	0.989243871
1233	0.989237273
1234	0.98923065
1235	0.989223978
1236	0.98921723
1237	0.989210379
1238	0.989203399
1239	0.989196264
1240	0.989188947
1241	0.989181422
1242	0.989173663
1243	0.989165643
1244	0.989157337
1245	0.989148717
1246	0.989139758
1247	0.989130433
1248	0.989120716
1249	0.98911058
1250	0.9891
1251	0.989088956
1252	0.989077456
1253	0.989065517
1254	0.989053154
1255	0.989040383
1256	0.98902722
1257	0.989013681
1258	0.988999782
1259	0.988985538
1260	0.988970965
1261	0.988956079
1262	0.988940896
1263	0.988925432
1264	0.988909702
1265	0.988893723
1266	0.988877509
1267	0.988861078
1268	0.988844444
1269	0.988827624
1270	0.988810633
1271	0.988793488
1272	0.988776203
1273	0.988758795
1274	0.98874128
1275	0.988723673
1276	0.988705991
1277	0.988688248
1278	0.988670462
1279	0.988652647
1280	0.988634819
1281	0.988616995
1282	0.98859919
1283	0.98858142
1284	0.988563701
1285	0.988546048
1286	0.988528478
1287	0.988511006
1288	0.988493648
1289	0.98847642
1290	0.988459337
1291	0.988442416
1292	0.988425672
1293	0.988409121
1294	0.988392779
1295	0.988376662
1296	0.988360785
1297	0.988345165
1298	0.988329817
1299	0.988314756
1300	0.9883
1301	0.98828556
1302	0.988271436
1303	0.988257625
1304	0.988244124
1305	0.988230929
1306	0.988218037
1307	0.988205444
1308	0.988193148
1309	0.988181144
1310	0.988169431
1311	0.988158003
1312	0.988146858
1313	0.988135993
1314	0.988125404
1315	0.988115088
1316	0.988105041
1317	0.988095261
1318	0.988085743
1319	0.988076485
1320	0.988067483
1321	0.988058734
1322	0.988050235
1323	0.988041981
1324	0.988033971
1325	0.9880262
1326	0.988018665
1327	0.988011363
1328	0.988004291
1329	0.987997444
1330	0.987990821
1331	0.987984416
1332	0.987978229
1333	0.987972253
1334	0.987966488
1335	0.987960928
1336	0.987955571
1337	0.987950414
1338	0.987945453
1339	0.987940684
1340	0.987936105
1341	0.987931712
1342	0.987927502
1343	0.987923472
1344	0.987919617
1345	0.987915935
1346	0.987912423
1347	0.987909076
1348	0.987905892
1349	0.987902868
1350	0.9879
1351	0.987897285
1352	0.98789472
1353	0.987892302
1354	0.98789003
1355	0.987887901
1356	0.987885913
1357	0.987884062
1358	0.987882347
1359	0.987880765
1360	0.987879313
1361	0.987877989
1362	0.987876791
1363	0.987875716
1364	0.987874762
1365	0.987873926
1366	0.987873206
1367	0.987872599
1368	0.987872103
1369	0.987871716
1370	0.987871434
1371	0.987871255
1372	0.987871178
1373	0.987871199
1374	0.987871316
1375	0.987871527
1376	0.987871829
1377	0.987872219
1378	0.987872696
1379	0.987873257
1380	0.987873898
1381	0.987874619
1382	0.987875416
1383	0.987876286
1384	0.987877228
1385	0.987878239
1386	0.987879317
1387	0.987880458
1388	0.987881661
1389	0.987882923
1390	0.987884242
1391	0.987885615
1392	0.987887039
1393	0.987888513
1394	0.987890033
1395	0.987891598
1396	0.987893205
1397	0.987894851
1398	0.987896534
1399	0.987898251
1400	0.9879
1401	0.987901779
1402	0.987903586
1403	0.987905421
1404	0.987907281
1405	0.987909166
1406	0.987911074
1407	0.987913005
1408	0.987914956
1409	0.987916928
1410	0.987918918
1411	0.987920926
1412	0.98792295
1413	0.987924989
1414	0.987927042
1415	0.987929107
1416	0.987931184
1417	0.987933271
1418	0.987935367
1419	0.987937471
1420	0.987939582
1421	0.987941698
1422	0.987943818
1423	0.987945941
1424	0.987948066
1425	0.987950192
1426	0.987952317
1427	0.98795444
1428	0.98795656
1429	0.987958676
1430	0.987960786
1431	0.98796289
1432	0.987964986
1433	0.987967073
1434	0.98796915
1435	0.987971215
1436	0.987973268
1437	0.987975306
1438	0.98797733
1439	0.987979337
1440	0.987981327
1441	0.987983298
1442	0.98798525
1443	0.98798718
1444	0.987989088
1445	0.987990972
1446	0.987992832
1447	0.987994666
1448	0.987996473
1449	0.987998251
1450	0.988
1451	0.988001718
1452	0.988003403
1453	0.988005052
1454	0.988006664
1455	0.988008236
1456	0.988009766
1457	0.988011251
1458	0.988012689
1459	0.988014077
1460	0.988015415
1461	0.988016698
1462	0.988017925
1463	0.988019093
1464	0.988020201
1465	0.988021245
1466	0.988022224
1467	0.988023136
1468	0.988023977
1469	0.988024745
1470	0.988025439
1471	0.988026056
1472	0.988026593
1473	0.988027049
1474	0.988027421
1475	0.988027706
1476	0.988027903
1477	0.988028008
1478	0.988028021
1479	0.988027938
1480	0.988027756
1481	0.988027475
1482	0.988027091
1483	0.988026602
1484	0.988026006
1485	0.988025301
1486	0.988024483
1487	0.988023552
1488	0.988022504
1489	0.988021337
1490	0.988020049
1491	0.988018638
1492	0.988017101
1493	0.988015436
1494	0.98801364
1495	0.988011712
1496	0.988009649
1497	0.988007448
1498	0.988005108
1499	0.988002626
1500	0.988
1501	0.98799723
1502	0.987994329
1503	0.987991311
1504	0.987988193
1505	0.98798499
1506	0.987981716
1507	0.987978387
1508	0.987975018
1509	0.987971626
1510	0.987968224
1511	0.987964828
1512	0.987961453
1513	0.987958116
1514	0.98795483
1515	0.987951611
1516	0.987948475
1517	0.987945437
1518	0.987942512
1519	0.987939715
1520	0.987937062
1521	0.987934567
1522	0.987932247
1523	0.987930117
1524	0.98792819
1525	0.987926484
1526	0.987925014
1527	0.987923793
1528	0.987922839
1529	0.987922165
1530	0.987921788
1531	0.987921723
1532	0.987921984
1533	0.987922588
1534	0.987923549
1535	0.987924882
1536	0.987926604
1537	0.987928729
1538	0.987931273
1539	0.98793425
1540	0.987937676
1541	0.987941567
1542	0.987945937
1543	0.987950803
1544	0.987956178
1545	0.987962079
1546	0.987968521
1547	0.987975518
1548	0.987983087
1549	0.987991243
1550	0.988
1551	0.988009365
1552	0.988019308
1553	0.988029789
1554	0.988040768
1555	0.988052205
1556	0.988064062
1557	0.988076299
1558	0.988088876
1559	0.988101753
1560	0.988114891
1561	0.98812825
1562	0.988141791
1563	0.988155475
1564	0.988169261
1565	0.988183109
1566	0.988196982
1567	0.988210838
1568	0.988224638
1569	0.988238343
1570	0.988251914
1571	0.988265309
1572	0.988278491
1573	0.988291419
1574	0.988304054
1575	0.988316357
1576	0.988328286
1577	0.988339804
1578	0.988350871
1579	0.988361446
1580	0.988371491
1581	0.988380965
1582	0.98838983
1583	0.988398045
1584	0.988405572
1585	0.98841237
1586	0.988418399
1587	0.988423621
1588	0.988427996
1589	0.988431484
1590	0.988434045
1591	0.988435641
1592	0.988436231
1593	0.988435776
1594	0.988434236
1595	0.988431571
1596	0.988427743
1597	0.988422711
1598	0.988416437
1599	0.98840888
1600	0.9884
1601	0.988389772
1602	0.988378219
1603	0.988365379
1604	0.98835129
1605	0.988335989
1606	0.988319513
1607	0.9883019
1608	0.988283187
1609	0.988263412
1610	0.988242613
1611	0.988220825
1612	0.988198088
1613	0.988174439
1614	0.988149914
1615	0.988124551
1616	0.988098388
1617	0.988071463
1618	0.988043812
1619	0.988015473
1620	0.987986484
1621	0.987956881
1622	0.987926703
1623	0.987895987
1624	0.98786477
1625	0.987833089
1626	0.987800983
1627	0.987768488
1628	0.987735643
1629	0.987702483
1630	0.987669048
1631	0.987635374
1632	0.987601499
1633	0.987567459
1634	0.987533294
1635	0.987499039
1636	0.987464733
1637	0.987430413
1638	0.987396116
1639	0.98736188
1640	0.987327742
1641	0.987293739
1642	0.98725991
1643	0.987226292
1644	0.987192921
1645	0.987159836
1646	0.987127073
1647	0.987094671
1648	0.987062666
1649	0.987031097
1650	0.987
1651	0.986969406
1652	0.986939318
1653	0.98690973
1654	0.986880639
1655	0.986852039
1656	0.986823927
1657	0.986796297
1658	0.986769146
1659	0.986742468
1660	0.986716258
1661	0.986690513
1662	0.986665228
1663	0.986640398
1664	0.986616019
1665	0.986592086
1666	0.986568595
1667	0.98654554
1668	0.986522918
1669	0.986500723
1670	0.986478952
1671	0.9864576
1672	0.986436661
1673	0.986416133
1674	0.986396009
1675	0.986376286
1676	0.986356959
1677	0.986338023
1678	0.986319473
1679	0.986301306
1680	0.986283517
1681	0.9862661
1682	0.986249053
1683	0.986232369
1684	0.986216044
1685	0.986200074
1686	0.986184455
1687	0.986169181
1688	0.986154248
1689	0.986139652
1690	0.986125388
1691	0.986111451
1692	0.986097837
1693	0.986084541
1694	0.986071559
1695	0.986058886
1696	0.986046518
1697	0.98603445
1698	0.986022677
1699	0.986011195
1700	0.986
1701	0.985989089
1702	0.985978469
1703	0.98596815
1704	0.985958141
1705	0.985948453
1706	0.985939095
1707	0.985930077
1708	0.985921407
1709	0.985913096
1710	0.985905154
1711	0.98589759
1712	0.985890413
1713	0.985883633
1714	0.985877261
1715	0.985871304
1716	0.985865774
1717	0.98586068
1718	0.985856031
1719	0.985851837
1720	0.985848108
1721	0.985844853
1722	0.985842081
1723	0.985839804
1724	0.985838029
1725	0.985836767
1726	0.985836027
1727	0.98583582
1728	0.985836154
1729	0.985837039
1730	0.985838485
1731	0.985840501
1732	0.985843098
1733	0.985846284
1734	0.98585007
1735	0.985854464
1736	0.985859477
1737	0.985865119
1738	0.985871398
1739	0.985878324
1740	0.985885908
1741	0.985894158
1742	0.985903085
1743	0.985912697
1744	0.985923006
1745	0.985934019
1746	0.985945747
1747	0.9859582
1748	0.985971386
1749	0.985985316
1750	0.986
1751	0.986015431
1752	0.986031543
1753	0.986048255
1754	0.986065483
1755	0.986083147
1756	0.986101164
1757	0.986119452
1758	0.98613793
1759	0.986156515
1760	0.986175126
1761	0.98619368
1762	0.986212096
1763	0.986230292
1764	0.986248186
1765	0.986265696
1766	0.98628274
1767	0.986299236
1768	0.986315102
1769	0.986330256
1770	0.986344616
1771	0.986358101
1772	0.986370629
1773	0.986382116
1774	0.986392483
1775	0.986401646
1776	0.986409524
1777	0.986416034
1778	0.986421096
1779	0.986424626
1780	0.986426544
1781	0.986426766
1782	0.986425212
1783	0.986421799
1784	0.986416446
1785	0.986409069
1786	0.986399588
1787	0.986387921
1788	0.986373985
1789	0.986357699
1790	0.986338981
1791	0.986317748
1792	0.98629392
1793	0.986267413
1794	0.986238147
1795	0.986206038
1796	0.986171006
1797	0.986132968
1798	0.986091842
1799	0.986047547
1800	0.986
1801	0.985949153
1802	0.985895089
1803	0.985837924
1804	0.985777775
1805	0.985714759
1806	0.985648992
1807	0.98558059
1808	0.98550967
1809	0.985436349
1810	0.985360743
1811	0.985282968
1812	0.985203141
1813	0.985121378
1814	0.985037796
1815	0.984952512
1816	0.984865641
1817	0.984777301
1818	0.984687607
1819	0.984596677
1820	0.984504627
1821	0.984411573
1822	0.984317631
1823	0.984222919
1824	0.984127553
1825	0.984031649
1826	0.983935324
1827	0.983838694
1828	0.983741875
1829	0.983644985
1830	0.98354814
1831	0.983451455
1832	0.983355049
1833	0.983259036
1834	0.983163534
1835	0.983068659
1836	0.982974528
1837	0.982881257
1838	0.982788962
1839	0.98269776
1840	0.982607768
1841	0.982519102
1842	0.982431879
1843	0.982346214
1844	0.982262225
1845	0.982180028
1846	0.98209974
1847	0.982021476
1848	0.981945354
1849	0.98187149
1850	0.9818
1851	0.981730972
1852	0.981664377
1853	0.981600158
1854	0.981538257
1855	0.981478617
1856	0.981421179
1857	0.981365887
1858	0.981312682
1859	0.981261507
1860	0.981212304
1861	0.981165016
1862	0.981119585
1863	0.981075953
1864	0.981034063
1865	0.980993858
1866	0.980955279
1867	0.980918269
1868	0.98088277
1869	0.980848725
1870	0.980816077
1871	0.980784766
1872	0.980754737
1873	0.980725931
1874	0.98069829
1875	0.980671757
1876	0.980646275
1877	0.980621786
1878	0.980598231
1879	0.980575555
1880	0.980553698
1881	0.980532603
1882	0.980512213
1883	0.98049247
1884	0.980473316
1885	0.980454695
1886	0.980436547
1887	0.980418816
1888	0.980401444
1889	0.980384373
1890	0.980367546
1891	0.980350905
1892	0.980334392
1893	0.98031795
1894	0.980301521
1895	0.980285048
1896	0.980268473
1897	0.980251739
1898	0.980234786
1899	0.980217559
1900	0.9802
1901	0.980182058
1902	0.980163715
1903	0.980144961
1904	0.980125784
1905	0.980106173
1906	0.980086119
1907	0.980065609
1908	0.980044634
1909	0.980023182
1910	0.980001242
1911	0.979978805
1912	0.979955858
1913	0.979932392
1914	0.979908395
1915	0.979883857
1916	0.979858767
1917	0.979833113
1918	0.979806886
1919	0.979780074
1920	0.979752667
1921	0.979724653
1922	0.979696023
1923	0.979666764
1924	0.979636867
1925	0.979606321
1926	0.979575115
1927	0.979543237
1928	0.979510677
1929	0.979477425
1930	0.97944347
1931	0.9794088
1932	0.979373405
1933	0.979337275
1934	0.979300397
1935	0.979262762
1936	0.979224359
1937	0.979185177
1938	0.979145205
1939	0.979104433
1940	0.979062849
1941	0.979020442
1942	0.978977203
1943	0.978933119
1944	0.978888181
1945	0.978842378
1946	0.978795698
1947	0.978748131
1948	0.978699666
1949	0.978650293
1950	0.9786
1951	0.978548767
1952	0.978496531
1953	0.978443221
1954	0.978388765
1955	0.97833309
1956	0.978276126
1957	0.978217799
1958	0.978158038
1959	0.978096772
1960	0.978033927
1961	0.977969432
1962	0.977903215
1963	0.977835205
1964	0.977765329
1965	0.977693514
1966	0.97761969
1967	0.977543784
1968	0.977465725
1969	0.97738544
1970	0.977302857
1971	0.977217904
1972	0.97713051
1973	0.977040602
1974	0.976948109
