time,x,y,nbar_coastal_aerosol,nbar_blue,nbar_green,nbar_red,nbar_red_edge_1,nbar_red_edge_2,nbar_red_edge_3,nbar_nir_1,nbar_nir_2,nbar_swir_2,nbar_swir_3
2018-05-22 02:13:51.024,-1593815.0,-3433995.0,1929,2495,4291,5748,6233,6375,6392,6664,6653,7943,6304
2018-05-22 02:13:51.024,-1593815.0,-3434005.0,1929,2478,4196,5689,6233,6375,6392,6484,6653,7943,6304
2018-05-22 02:13:51.024,-1593815.0,-3434015.0,1849,2478,4238,5671,6168,6374,6354,6577,6636,7800,6183
2018-05-22 02:13:51.024,-1593815.0,-3434025.0,1849,2483,4279,5664,6168,6374,6354,6564,6636,7800,6183
2018-05-22 02:13:51.024,-1593815.0,-3434035.0,1849,2450,4265,5656,6135,6213,6264,6590,6442,7681,6124
2018-05-22 02:13:51.024,-1593815.0,-3434045.0,1849,2395,4061,5403,6135,6213,6264,6284,6442,7681,6124
2018-05-22 02:13:51.024,-1593815.0,-3434055.0,1849,2334,3991,5295,5904,6156,6046,6156,6308,7510,6057
2018-05-22 02:13:51.024,-1593815.0,-3434065.0,1849,2329,4073,5387,5904,6156,6046,6292,6308,7510,6057
2018-05-22 02:13:51.024,-1593815.0,-3434075.0,1715,2331,4095,5475,5887,6067,6051,6286,6208,7442,6087
2018-05-22 02:13:51.024,-1593815.0,-3434085.0,1715,2246,4001,5337,5887,6067,6051,6113,6208,7442,6087
2018-05-22 02:13:51.024,-1593815.0,-3434095.0,1715,2206,3902,5202,5715,5914,5859,5950,6067,7240,5959
2018-05-22 02:13:51.024,-1593815.0,-3434105.0,1715,2135,3886,5166,5715,5914,5859,5909,6067,7240,5959
2018-05-22 02:13:51.024,-1593815.0,-3434115.0,1715,2159,3908,5134,5661,5840,5807,5928,5968,7199,5938
2018-05-22 02:13:51.024,-1593815.0,-3434125.0,1715,2139,3913,5155,5661,5840,5807,5899,5968,7199,5938
2018-05-22 02:13:51.024,-1593815.0,-3434135.0,1634,2112,3826,5059,5524,5627,5571,5812,5836,6978,5745
2018-05-22 02:13:51.024,-1593805.0,-3433985.0,1985,2563,4417,5889,6447,6672,6582,6821,6903,8148,6514
2018-05-22 02:13:51.024,-1593805.0,-3433995.0,1985,2521,4329,5800,6361,6557,6548,6704,6821,8080,6446
2018-05-22 02:13:51.024,-1593805.0,-3434005.0,1985,2466,4289,5744,6361,6557,6548,6614,6821,8080,6446
2018-05-22 02:13:51.024,-1593805.0,-3434015.0,1895,2515,4316,5749,6345,6553,6525,6730,6815,8015,6429
2018-05-22 02:13:51.024,-1593805.0,-3434025.0,1895,2501,4337,5719,6345,6553,6525,6664,6815,8015,6429
2018-05-22 02:13:51.024,-1593805.0,-3434035.0,1895,2446,4305,5700,6291,6428,6403,6623,6650,7912,6408
2018-05-22 02:13:51.024,-1593805.0,-3434045.0,1849,2373,4160,5543,6135,6213,6264,6375,6442,7681,6124
2018-05-22 02:13:51.024,-1593805.0,-3434055.0,1849,2293,4028,5418,5904,6156,6046,6158,6308,7510,6057
2018-05-22 02:13:51.024,-1593805.0,-3434065.0,1849,2239,4043,5413,5904,6156,6046,6163,6308,7510,6057
2018-05-22 02:13:51.024,-1593805.0,-3434075.0,1715,2250,4075,5430,5887,6067,6051,6221,6208,7442,6087
2018-05-22 02:13:51.024,-1593805.0,-3434085.0,1715,2229,4015,5357,5887,6067,6051,6171,6208,7442,6087
2018-05-22 02:13:51.024,-1593805.0,-3434095.0,1715,2169,3937,5266,5715,5914,5859,6042,6067,7240,5959
2018-05-22 02:13:51.024,-1593805.0,-3434105.0,1715,2141,3921,5222,5715,5914,5859,5979,6067,7240,5959
2018-05-22 02:13:51.024,-1593805.0,-3434115.0,1715,2155,3879,5195,5661,5840,5807,5941,5968,7199,5938
2018-05-22 02:13:51.024,-1593805.0,-3434125.0,1715,2126,3851,5187,5661,5840,5807,5913,5968,7199,5938
2018-05-22 02:13:51.024,-1593805.0,-3434135.0,1634,2154,3896,5172,5663,5837,5774,5887,5904,7134,5940
2018-05-22 02:13:51.024,-1593795.0,-3433985.0,1985,2544,4431,5901,6447,6672,6582,6820,6903,8148,6514
2018-05-22 02:13:51.024,-1593795.0,-3433995.0,1985,2531,4405,5877,6361,6557,6548,6820,6821,8080,6446
2018-05-22 02:13:51.024,-1593795.0,-3434005.0,1985,2541,4374,5831,6361,6557,6548,6811,6821,8080,6446
2018-05-22 02:13:51.024,-1593795.0,-3434015.0,1895,2495,4356,5799,6345,6553,6525,6778,6815,8015,6429
2018-05-22 02:13:51.024,-1593795.0,-3434025.0,1895,2454,4403,5854,6345,6553,6525,6740,6815,8015,6429
2018-05-22 02:13:51.024,-1593795.0,-3434035.0,1895,2414,4361,5851,6291,6428,6403,6715,6650,7912,6408
2018-05-22 02:13:51.024,-1593795.0,-3434045.0,1895,2392,4190,5630,6291,6428,6403,6496,6650,7912,6408
2018-05-22 02:13:51.024,-1593795.0,-3434055.0,1895,2332,4130,5530,6067,6214,6205,6350,6398,7694,6293
2018-05-22 02:13:51.024,-1593795.0,-3434065.0,1895,2243,4098,5456,6067,6214,6205,6236,6398,7694,6293
2018-05-22 02:13:51.024,-1593795.0,-3434075.0,1744,2214,4049,5379,5946,6095,6062,6159,6202,7542,6195
2018-05-22 02:13:51.024,-1593795.0,-3434085.0,1744,2217,3979,5340,5946,6095,6062,6141,6202,7542,6195
2018-05-22 02:13:51.024,-1593795.0,-3434095.0,1744,2183,3957,5334,5798,5969,5909,6104,6101,7362,6043
2018-05-22 02:13:51.024,-1593795.0,-3434105.0,1744,2169,3941,5277,5798,5969,5909,5987,6101,7362,6043
2018-05-22 02:13:51.024,-1593795.0,-3434115.0,1744,2159,3929,5217,5664,5800,5778,5922,5969,7257,5955
2018-05-22 02:13:51.024,-1593795.0,-3434125.0,1744,2124,3882,5195,5664,5800,5778,5941,5969,7257,5955
2018-05-22 02:13:51.024,-1593795.0,-3434135.0,1634,2147,3903,5164,5663,5837,5774,5891,5904,7134,5940
2018-05-22 02:13:51.024,-1593785.0,-3433985.0,1985,2560,4401,5826,6339,6586,6489,6770,6781,8083,6412
2018-05-22 02:13:51.024,-1593785.0,-3433995.0,1985,2633,4454,5904,6455,6685,6603,6867,6879,8157,6475
2018-05-22 02:13:51.024,-1593785.0,-3434005.0,1985,2604,4469,5915,6455,6685,6603,6852,6879,8157,6475
2018-05-22 02:13:51.024,-1593785.0,-3434015.0,1895,2535,4462,5955,6567,6794,6720,6867,6986,8273,6640
2018-05-22 02:13:51.024,-1593785.0,-3434025.0,1895,2451,4457,5963,6567,6794,6720,6888,6986,8273,6640
2018-05-22 02:13:51.024,-1593785.0,-3434035.0,1895,2417,4390,5908,6472,6668,6592,6783,6863,8175,6624
2018-05-22 02:13:51.024,-1593785.0,-3434045.0,1895,2356,4262,5742,6291,6428,6403,6598,6650,7912,6408
2018-05-22 02:13:51.024,-1593785.0,-3434055.0,1895,2274,4206,5618,6067,6214,6205,6456,6398,7694,6293
2018-05-22 02:13:51.024,-1593785.0,-3434065.0,1895,2260,4101,5518,6067,6214,6205,6395,6398,7694,6293
2018-05-22 02:13:51.024,-1593785.0,-3434075.0,1744,2230,4081,5424,5946,6095,6062,6260,6202,7542,6195
2018-05-22 02:13:51.024,-1593785.0,-3434085.0,1744,2226,4027,5369,5946,6095,6062,6204,6202,7542,6195
2018-05-22 02:13:51.024,-1593785.0,-3434095.0,1744,2178,4001,5343,5798,5969,5909,6146,6101,7362,6043
2018-05-22 02:13:51.024,-1593785.0,-3434105.0,1744,2145,3936,5245,5798,5969,5909,5998,6101,7362,6043
2018-05-22 02:13:51.024,-1593785.0,-3434115.0,1744,2150,3879,5141,5664,5800,5778,5989,5969,7257,5955
2018-05-22 02:13:51.024,-1593785.0,-3434125.0,1744,2140,3885,5171,5664,5800,5778,5847,5969,7257,5955
2018-05-22 02:13:51.024,-1593785.0,-3434135.0,1637,2115,3862,5102,5628,5832,5756,5858,5899,7196,5929
2018-05-22 02:13:51.024,-1593775.0,-3433985.0,1985,2545,4341,5770,6339,6586,6489,6635,6781,8083,6412
2018-05-22 02:13:51.024,-1593775.0,-3433995.0,1985,2649,4382,5799,6455,6685,6603,6775,6879,8157,6475
2018-05-22 02:13:51.024,-1593775.0,-3434005.0,1985,2647,4505,5915,6455,6685,6603,6909,6879,8157,6475
2018-05-22 02:13:51.024,-1593775.0,-3434015.0,1895,2574,4560,6052,6567,6794,6720,6977,6986,8273,6640
2018-05-22 02:13:51.024,-1593775.0,-3434025.0,1895,2498,4522,6034,6567,6794,6720,6915,6986,8273,6640
2018-05-22 02:13:51.024,-1593775.0,-3434035.0,1895,2448,4462,6042,6472,6668,6592,6853,6863,8175,6624
2018-05-22 02:13:51.024,-1593775.0,-3434045.0,1895,2401,4336,5849,6472,6668,6592,6675,6863,8175,6624
2018-05-22 02:13:51.024,-1593775.0,-3434055.0,1895,2361,4231,5716,6316,6496,6418,6572,6654,7984,6519
2018-05-22 02:13:51.024,-1593775.0,-3434065.0,1895,2277,4216,5621,6316,6496,6418,6491,6654,7984,6519
2018-05-22 02:13:51.024,-1593775.0,-3434075.0,1744,2253,4152,5504,6132,6308,6220,6336,6420,7771,6370
2018-05-22 02:13:51.024,-1593775.0,-3434085.0,1744,2219,4111,5438,6132,6308,6220,6290,6420,7771,6370
2018-05-22 02:13:51.024,-1593775.0,-3434095.0,1744,2176,4073,5391,5886,6106,6024,6165,6256,7502,6141
2018-05-22 02:13:51.024,-1593775.0,-3434105.0,1744,2158,3932,5277,5886,6106,6024,6080,6256,7502,6141
2018-05-22 02:13:51.024,-1593775.0,-3434115.0,1744,2122,3836,5144,5687,5855,5806,5900,5934,7252,5920
2018-05-22 02:13:51.024,-1593775.0,-3434125.0,1744,2147,3818,5083,5687,5855,5806,5858,5934,7252,5920
2018-05-22 02:13:51.024,-1593775.0,-3434135.0,1637,2145,3856,5091,5628,5832,5756,5831,5899,7196,5929
2018-05-22 02:13:51.024,-1593765.0,-3433985.0,1985,2549,4338,5767,6397,6626,6562,6657,6902,8078,6412
2018-05-22 02:13:51.024,-1593765.0,-3433995.0,1985,2549,4338,5767,6397,6626,6562,6657,6902,8078,6412
2018-05-22 02:13:51.024,-1593765.0,-3434005.0,1985,2625,4450,5865,6397,6626,6562,6828,6902,8078,6412
2018-05-22 02:13:51.024,-1593765.0,-3434015.0,1895,2608,4500,5980,6476,6745,6672,6914,6950,8198,6519
2018-05-22 02:13:51.024,-1593765.0,-3434025.0,1895,2538,4518,6028,6476,6745,6672,7009,6950,8198,6519
2018-05-22 02:13:51.024,-1593765.0,-3434035.0,1895,2489,4510,6029,6532,6819,6654,6926,6992,8274,6636
2018-05-22 02:13:51.024,-1593765.0,-3434045.0,1895,2426,4425,5896,6472,6668,6592,6799,6863,8175,6624
