Wavelength,PIN2018112800489.asd
793.0,0.6286
794.0,0.6289
795.0,0.6292
796.0,0.6294
797.0,0.6297
798.0,0.6299
799.0,0.6302
800.0,0.6304
801.0,0.6306
802.0,0.6308
803.0,0.631
804.0,0.6312
805.0,0.6314
806.0,0.6316
807.0,0.6318
808.0,0.6319
809.0,0.6321
810.0,0.6322
811.0,0.6322
812.0,0.6323
813.0,0.6323
814.0,0.6323
815.0,0.6323
816.0,0.6324
817.0,0.6325
818.0,0.6327
819.0,0.6329
820.0,0.6331
821.0,0.6332
822.0,0.6333
823.0,0.6334
824.0,0.6335
825.0,0.6337
826.0,0.6338
827.0,0.6339
828.0,0.634
829.0,0.6341
830.0,0.6342
831.0,0.6343
832.0,0.6344
833.0,0.6345
834.0,0.6347
835.0,0.6348
836.0,0.6349
837.0,0.635
838.0,0.6351
839.0,0.6352
840.0,0.6353
841.0,0.6353
842.0,0.6354
843.0,0.6355
844.0,0.6356
845.0,0.6356
846.0,0.6357
847.0,0.6358
848.0,0.6358
849.0,0.6359
850.0,0.6359
851.0,0.636
852.0,0.636
853.0,0.6361
854.0,0.6362
855.0,0.6363
856.0,0.6363
857.0,0.6363
858.0,0.6364
859.0,0.6364
860.0,0.6365
861.0,0.6365
862.0,0.6366
863.0,0.6366
864.0,0.6367
865.0,0.6368
866.0,0.6368
867.0,0.6369
868.0,0.637
869.0,0.637
870.0,0.637
871.0,0.6371
872.0,0.6372
873.0,0.6372
874.0,0.6373
875.0,0.6374
876.0,0.6375
877.0,0.6375
878.0,0.6376
879.0,0.6377
880.0,0.6378
881.0,0.6379
882.0,0.6379
883.0,0.638
884.0,0.6381
885.0,0.6381
886.0,0.6382
887.0,0.6383
888.0,0.6384
889.0,0.6384
890.0,0.6385
891.0,0.6385
892.0,0.6385
893.0,0.6385
894.0,0.6385
895.0,0.6384
896.0,0.6384
897.0,0.6383
898.0,0.6383
899.0,0.6384
900.0,0.6385
901.0,0.6386
902.0,0.6388
903.0,0.639
904.0,0.6391
905.0,0.6392
906.0,0.6393
907.0,0.6393
908.0,0.6394
909.0,0.6394
910.0,0.6395
911.0,0.6395
912.0,0.6396
913.0,0.6398
914.0,0.6399
915.0,0.6401
916.0,0.6403
917.0,0.6405
918.0,0.6407
919.0,0.6409
920.0,0.6411
921.0,0.6413
922.0,0.6414
923.0,0.6415
924.0,0.6416
925.0,0.6416
926.0,0.6416
927.0,0.6414
928.0,0.6412
929.0,0.6408
930.0,0.6405
931.0,0.6401
932.0,0.6397
933.0,0.6393
934.0,0.639
935.0,0.6388
936.0,0.6389
937.0,0.6392
938.0,0.6393
939.0,0.6396
940.0,0.6399
941.0,0.6402
942.0,0.6403
943.0,0.6405
944.0,0.6407
945.0,0.6409
946.0,0.6411
947.0,0.6413
948.0,0.6414
949.0,0.6415
950.0,0.6419
951.0,0.6422
952.0,0.6424
953.0,0.6427
954.0,0.643
955.0,0.6432
956.0,0.6435
957.0,0.6438
958.0,0.6442
959.0,0.6446
960.0,0.6449
961.0,0.6451
962.0,0.6455
963.0,0.6461
964.0,0.6466
965.0,0.647
966.0,0.6475
967.0,0.6479
968.0,0.6483
969.0,0.6486
970.0,0.6489
971.0,0.6492
972.0,0.6495
973.0,0.6498
974.0,0.6503
975.0,0.6506
976.0,0.6508
977.0,0.651
978.0,0.6513
979.0,0.6516
980.0,0.652
981.0,0.6524
982.0,0.6526
983.0,0.6531
984.0,0.6535
985.0,0.6538
986.0,0.6541
987.0,0.6545
988.0,0.6549
989.0,0.6553
990.0,0.6557
991.0,0.6559
992.0,0.6561
993.0,0.6563
994.0,0.6564
995.0,0.6566
996.0,0.6569
997.0,0.6573
998.0,0.6573
999.0,0.6576
1000.0,0.6527
1001.0,0.6579
1002.0,0.6582
1003.0,0.6585
1004.0,0.6588
1005.0,0.6592
1006.0,0.6595
1007.0,0.6598
1008.0,0.6602
1009.0,0.6605
1010.0,0.6608
1011.0,0.6611
1012.0,0.6615
1013.0,0.6618
1014.0,0.6621
1015.0,0.6624
1016.0,0.6628
1017.0,0.6631
1018.0,0.6635
1019.0,0.6638
1020.0,0.6641
1021.0,0.6645
1022.0,0.6648
1023.0,0.6651
1024.0,0.6655
1025.0,0.6658
1026.0,0.6662
1027.0,0.6665
1028.0,0.6668
1029.0,0.6672
1030.0,0.6675
1031.0,0.6679
1032.0,0.6682
1033.0,0.6686
1034.0,0.6689
1035.0,0.6693
1036.0,0.6696
1037.0,0.67
1038.0,0.6703
1039.0,0.6707
1040.0,0.671
1041.0,0.6714
1042.0,0.6717
1043.0,0.6721
1044.0,0.6724
1045.0,0.6728
1046.0,0.6731
1047.0,0.6735
1048.0,0.6738
1049.0,0.6742
1050.0,0.6745
1051.0,0.6749
1052.0,0.6753
1053.0,0.6756
1054.0,0.676
1055.0,0.6764
1056.0,0.6767
1057.0,0.6771
1058.0,0.6775
1059.0,0.6779
1060.0,0.6782
1061.0,0.6786
1062.0,0.679
1063.0,0.6794
1064.0,0.6798
1065.0,0.6802
1066.0,0.6806
1067.0,0.681
1068.0,0.6814
1069.0,0.6818
1070.0,0.6822
1071.0,0.6825
1072.0,0.6829
1073.0,0.6833
1074.0,0.6837
1075.0,0.6841
1076.0,0.6845
1077.0,0.6849
1078.0,0.6853
1079.0,0.6857
1080.0,0.6861
1081.0,0.6865
1082.0,0.6869
1083.0,0.6873
1084.0,0.6877
1085.0,0.6881
1086.0,0.6885
1087.0,0.6888
1088.0,0.6892
1089.0,0.6896
1090.0,0.69
1091.0,0.6903
1092.0,0.6907
1093.0,0.691
1094.0,0.6914
1095.0,0.6917
1096.0,0.6921
1097.0,0.6924
1098.0,0.6928
1099.0,0.6931
1100.0,0.6934
1101.0,0.6938
1102.0,0.6941
1103.0,0.6944
1104.0,0.6947
1105.0,0.695
1106.0,0.6953
1107.0,0.6956
1108.0,0.6959
1109.0,0.6962
1110.0,0.6964
1111.0,0.6967
1112.0,0.6969
1113.0,0.6971
1114.0,0.6973
1115.0,0.6974
1116.0,0.6976
1117.0,0.6977
1118.0,0.6978
1119.0,0.698
1120.0,0.6981
1121.0,0.6982
1122.0,0.6984
1123.0,0.6987
1124.0,0.6989
1125.0,0.6992
1126.0,0.6995
1127.0,0.6999
1128.0,0.7004
1129.0,0.7009
1130.0,0.7014
1131.0,0.7019
1132.0,0.7024
1133.0,0.7028
1134.0,0.7033
1135.0,0.7038
1136.0,0.7042
1137.0,0.7046
1138.0,0.7049
1139.0,0.7052
1140.0,0.7055
1141.0,0.7058
1142.0,0.7061
1143.0,0.7064
1144.0,0.7066
1145.0,0.7069
1146.0,0.7072
1147.0,0.7076
1148.0,0.7079
1149.0,0.7083
1150.0,0.7087
1151.0,0.7091
1152.0,0.7095
1153.0,0.71
1154.0,0.7105
1155.0,0.7109
1156.0,0.7114
1157.0,0.7119
1158.0,0.7124
1159.0,0.7129
1160.0,0.7133
1161.0,0.7138
1162.0,0.7142
1163.0,0.7147
1164.0,0.7151
1165.0,0.7155
1166.0,0.7159
1167.0,0.7163
1168.0,0.7167
1169.0,0.7171
1170.0,0.7175
1171.0,0.7179
1172.0,0.7182
1173.0,0.7186
1174.0,0.7189
1175.0,0.7193
1176.0,0.7196
1177.0,0.72
1178.0,0.7203
1179.0,0.7206
1180.0,0.7209
1181.0,0.7212
1182.0,0.7216
1183.0,0.7219
1184.0,0.7222
1185.0,0.7226
1186.0,0.7229
1187.0,0.7232
1188.0,0.7236
1189.0,0.7239
1190.0,0.7242
1191.0,0.7246
1192.0,0.7249
1193.0,0.7252
1194.0,0.7255
1195.0,0.7259
1196.0,0.7262
1197.0,0.7265
1198.0,0.7268
1199.0,0.7271
1200.0,0.7274
1201.0,0.7277
1202.0,0.728
1203.0,0.7283
1204.0,0.7286
1205.0,0.7289
1206.0,0.7292
1207.0,0.7295
1208.0,0.7298
1209.0,0.7302
1210.0,0.7305
1211.0,0.7308
1212.0,0.7311
1213.0,0.7314
1214.0,0.7317
1215.0,0.732
1216.0,0.7323
1217.0,0.7326
1218.0,0.7329
1219.0,0.7332
1220.0,0.7335
1221.0,0.7338
1222.0,0.7341
1223.0,0.7343
1224.0,0.7346
1225.0,0.7349
1226.0,0.7352
1227.0,0.7354
1228.0,0.7357
1229.0,0.736
1230.0,0.7362
1231.0,0.7365
1232.0,0.7367
1233.0,0.737
1234.0,0.7372
1235.0,0.7375
1236.0,0.7377
1237.0,0.738
1238.0,0.7382
1239.0,0.7385
1240.0,0.7387
1241.0,0.7389
1242.0,0.7392
1243.0,0.7394
1244.0,0.7397
1245.0,0.7399
1246.0,0.7401
1247.0,0.7403
1248.0,0.7405
1249.0,0.7407
1250.0,0.7409
1251.0,0.7411
1252.0,0.7413
1253.0,0.7415
1254.0,0.7417
1255.0,0.7419
1256.0,0.7421
1257.0,0.7423
1258.0,0.7425
1259.0,0.7426
1260.0,0.7428
1261.0,0.743
1262.0,0.7431
1263.0,0.7433
1264.0,0.7435
1265.0,0.7436
1266.0,0.7438
1267.0,0.7439
1268.0,0.7441
1269.0,0.7442
1270.0,0.7444
1271.0,0.7445
1272.0,0.7446
1273.0,0.7448
1274.0,0.7449
1275.0,0.745
1276.0,0.7451
1277.0,0.7453
1278.0,0.7454
1279.0,0.7455
1280.0,0.7456
1281.0,0.7456
1282.0,0.7457
1283.0,0.7458
1284.0,0.7459
1285.0,0.7459
1286.0,0.7459
1287.0,0.746
1288.0,0.746
1289.0,0.746
1290.0,0.746
1291.0,0.7461
1292.0,0.7461
1293.0,0.7461
1294.0,0.7461
1295.0,0.746
1296.0,0.746
1297.0,0.746
1298.0,0.7459
1299.0,0.7459
1300.0,0.7458
1301.0,0.7458
1302.0,0.7457
1303.0,0.7456
1304.0,0.7455
1305.0,0.7454
1306.0,0.7453
1307.0,0.7452
1308.0,0.7451
1309.0,0.745
1310.0,0.7449
1311.0,0.7448
1312.0,0.7447
1313.0,0.7446
1314.0,0.7445
1315.0,0.7444
1316.0,0.7443
1317.0,0.7441
1318.0,0.744
1319.0,0.7438
1320.0,0.7437
1321.0,0.7435
1322.0,0.7434
1323.0,0.7432
1324.0,0.743
1325.0,0.7428
1326.0,0.7426
1327.0,0.7424
1328.0,0.7421
1329.0,0.7419
1330.0,0.7416
1331.0,0.7413
1332.0,0.741
1333.0,0.7407
1334.0,0.7404
1335.0,0.7402
1336.0,0.7399
1337.0,0.7397
1338.0,0.7395
1339.0,0.7393
1340.0,0.7392
1341.0,0.739
1342.0,0.7388
1343.0,0.7385
1344.0,0.7383
1345.0,0.738
1346.0,0.7376
1347.0,0.7372
1348.0,0.7368
1349.0,0.7363
1350.0,nan
1351.0,nan
1352.0,nan
1353.0,nan
1354.0,nan
1355.0,nan
1356.0,nan
1357.0,nan
1358.0,nan
1359.0,nan
1360.0,nan
1361.0,nan
1362.0,nan
1363.0,nan
1364.0,nan
1365.0,nan
1366.0,nan
1367.0,nan
1368.0,nan
1369.0,nan
1370.0,nan
1371.0,nan
1372.0,nan
1373.0,nan
1374.0,nan
1375.0,nan
1376.0,nan
1377.0,nan
1378.0,nan
1379.0,nan
1380.0,nan
1381.0,nan
1382.0,nan
1383.0,nan
1384.0,nan
1385.0,nan
1386.0,nan
1387.0,nan
1388.0,nan
1389.0,nan
1390.0,nan
1391.0,nan
1392.0,nan
1393.0,nan
1394.0,nan
1395.0,nan
1396.0,nan
1397.0,nan
1398.0,nan
1399.0,nan
1400.0,nan
1401.0,nan
1402.0,nan
1403.0,nan
1404.0,nan
1405.0,nan
1406.0,nan
1407.0,nan
1408.0,nan
1409.0,nan
1410.0,nan
1411.0,nan
1412.0,nan
1413.0,nan
1414.0,nan
1415.0,nan
1416.0,nan
1417.0,nan
1418.0,nan
1419.0,nan
1420.0,0.6388
1421.0,0.6395
1422.0,0.6403
1423.0,0.6408
1424.0,0.6413
1425.0,0.6416
1426.0,0.6419
1427.0,0.6422
1428.0,0.6424
1429.0,0.6425
1430.0,0.6425
1431.0,0.6425
1432.0,0.6424
1433.0,0.6424
1434.0,0.6423
1435.0,0.6422
1436.0,0.6421
1437.0,0.642
1438.0,0.6419
1439.0,0.6419
1440.0,0.6419
1441.0,0.642
1442.0,0.6421
1443.0,0.6422
1444.0,0.6423
1445.0,0.6425
1446.0,0.6427
1447.0,0.6429
1448.0,0.6431
1449.0,0.6433
1450.0,0.6435
1451.0,0.6438
1452.0,0.644
1453.0,0.6441
1454.0,0.6443
1455.0,0.6444
1456.0,0.6445
1457.0,0.6447
1458.0,0.6448
1459.0,0.6449
1460.0,0.645
1461.0,0.6451
1462.0,0.6453
1463.0,0.6454
1464.0,0.6456
1465.0,0.6458
1466.0,0.646
1467.0,0.6463
1468.0,0.6466
1469.0,0.647
1470.0,0.6474
1471.0,0.6478
1472.0,0.6484
1473.0,0.6489
1474.0,0.6495
1475.0,0.65
1476.0,0.6506
1477.0,0.6512
1478.0,0.6519
1479.0,0.6525
1480.0,0.6532
1481.0,0.6539
1482.0,0.6546
1483.0,0.6554
1484.0,0.6561
1485.0,0.6569
1486.0,0.6576
1487.0,0.6584
1488.0,0.6591
1489.0,0.6599
1490.0,0.6606
1491.0,0.6613
1492.0,0.662
1493.0,0.6627
1494.0,0.6634
1495.0,0.664
1496.0,0.6647
1497.0,0.6653
1498.0,0.666
1499.0,0.6666
1500.0,0.6673
1501.0,0.6679
1502.0,0.6685
1503.0,0.6692
1504.0,0.6698
1505.0,0.6705
1506.0,0.6711
1507.0,0.6717
1508.0,0.6723
1509.0,0.6729
1510.0,0.6734
1511.0,0.674
1512.0,0.6746
1513.0,0.6752
1514.0,0.6757
1515.0,0.6763
1516.0,0.6768
1517.0,0.6773
1518.0,0.6779
1519.0,0.6784
1520.0,0.6789
1521.0,0.6794
1522.0,0.6799
1523.0,0.6804
1524.0,0.6809
1525.0,0.6814
1526.0,0.6819
1527.0,0.6823
1528.0,0.6828
1529.0,0.6832
1530.0,0.6837
1531.0,0.6841
1532.0,0.6845
1533.0,0.6849
1534.0,0.6853
1535.0,0.6858
1536.0,0.6861
1537.0,0.6865
1538.0,0.6869
1539.0,0.6873
1540.0,0.6877
1541.0,0.6881
1542.0,0.6884
1543.0,0.6888
1544.0,0.6892
1545.0,0.6895
1546.0,0.6899
1547.0,0.6902
1548.0,0.6906
1549.0,0.6909
1550.0,0.6912
1551.0,0.6915
1552.0,0.6918
1553.0,0.6921
1554.0,0.6924
1555.0,0.6927
1556.0,0.693
1557.0,0.6933
1558.0,0.6936
1559.0,0.6938
1560.0,0.6941
1561.0,0.6943
1562.0,0.6946
1563.0,0.6949
1564.0,0.6951
1565.0,0.6953
1566.0,0.6956
1567.0,0.6958
1568.0,0.6961
1569.0,0.6963
1570.0,0.6965
1571.0,0.6967
1572.0,0.697
1573.0,0.6972
1574.0,0.6974
1575.0,0.6977
1576.0,0.6979
1577.0,0.6981
1578.0,0.6983
1579.0,0.6985
1580.0,0.6987
1581.0,0.6989
1582.0,0.6991
1583.0,0.6993
1584.0,0.6995
1585.0,0.6996
1586.0,0.6998
1587.0,0.6999
1588.0,0.7001
1589.0,0.7002
1590.0,0.7004
1591.0,0.7005
1592.0,0.7006
1593.0,0.7008
1594.0,0.7009
1595.0,0.701
1596.0,0.7011
1597.0,0.7012
1598.0,0.7013
1599.0,0.7014
1600.0,0.7015
1601.0,0.7016
1602.0,0.7017
1603.0,0.7018
1604.0,0.7019
1605.0,0.7019
1606.0,0.702
1607.0,0.7021
1608.0,0.7021
1609.0,0.7022
1610.0,0.7023
1611.0,0.7023
1612.0,0.7023
1613.0,0.7024
1614.0,0.7024
1615.0,0.7025
1616.0,0.7025
1617.0,0.7025
1618.0,0.7025
1619.0,0.7026
1620.0,0.7026
1621.0,0.7026
1622.0,0.7026
1623.0,0.7026
1624.0,0.7026
1625.0,0.7026
1626.0,0.7026
1627.0,0.7026
1628.0,0.7026
1629.0,0.7026
1630.0,0.7026
1631.0,0.7025
1632.0,0.7025
1633.0,0.7025
1634.0,0.7024
1635.0,0.7024
1636.0,0.7024
1637.0,0.7023
1638.0,0.7023
1639.0,0.7022
1640.0,0.7021
1641.0,0.7021
1642.0,0.702
1643.0,0.702
1644.0,0.7019
1645.0,0.7018
1646.0,0.7018
1647.0,0.7017
1648.0,0.7016
1649.0,0.7015
1650.0,0.7014
1651.0,0.7013
1652.0,0.7012
1653.0,0.7011
1654.0,0.701
1655.0,0.7009
1656.0,0.7008
1657.0,0.7006
1658.0,0.7005
1659.0,0.7004
1660.0,0.7003
1661.0,0.7001
1662.0,0.7
1663.0,0.6999
1664.0,0.6998
1665.0,0.6996
1666.0,0.6995
1667.0,0.6993
1668.0,0.6992
1669.0,0.699
1670.0,0.6989
1671.0,0.6987
1672.0,0.6985
1673.0,0.6983
1674.0,0.6982
1675.0,0.698
1676.0,0.6978
1677.0,0.6976
1678.0,0.6974
1679.0,0.6972
1680.0,0.697
1681.0,0.6968
1682.0,0.6966
1683.0,0.6963
1684.0,0.6961
1685.0,0.6959
1686.0,0.6957
1687.0,0.6954
1688.0,0.6952
1689.0,0.6949
1690.0,0.6947
1691.0,0.6944
1692.0,0.6942
1693.0,0.6939
1694.0,0.6937
1695.0,0.6934
1696.0,0.6932
1697.0,0.6929
1698.0,0.6927
1699.0,0.6924
1700.0,0.6921
1701.0,0.6919
1702.0,0.6916
1703.0,0.6913
1704.0,0.691
1705.0,0.6907
1706.0,0.6904
1707.0,0.6901
1708.0,0.6898
1709.0,0.6895
1710.0,0.6892
1711.0,0.6889
1712.0,0.6886
1713.0,0.6883
1714.0,0.688
1715.0,0.6877
1716.0,0.6874
1717.0,0.687
1718.0,0.6867
1719.0,0.6864
1720.0,0.686
1721.0,0.6857
1722.0,0.6854
1723.0,0.685
1724.0,0.6846
1725.0,0.6843
1726.0,0.6839
1727.0,0.6836
1728.0,0.6832
1729.0,0.6829
1730.0,0.6825
1731.0,0.6821
1732.0,0.6818
1733.0,0.6814
1734.0,0.681
1735.0,0.6807
1736.0,0.6803
1737.0,0.68
1738.0,0.6796
1739.0,0.6792
1740.0,0.6788
1741.0,0.6785
1742.0,0.6781
1743.0,0.6777
1744.0,0.6774
1745.0,0.677
1746.0,0.6766
1747.0,0.6763
1748.0,0.6759
1749.0,0.6755
1750.0,0.6752
1751.0,0.6749
1752.0,0.6745
1753.0,0.6742
1754.0,0.6738
1755.0,0.6735
1756.0,0.6732
1757.0,0.6728
1758.0,0.6725
1759.0,0.6722
1760.0,0.6719
1761.0,0.6716
1762.0,0.6713
1763.0,0.671
1764.0,0.6707
1765.0,0.6704
1766.0,0.6701
1767.0,0.6698
1768.0,0.6695
1769.0,0.6692
1770.0,0.6689
1771.0,0.6686
1772.0,0.6683
1773.0,0.668
1774.0,0.6677
1775.0,0.6674
1776.0,0.6671
1777.0,0.6668
1778.0,0.6665
1779.0,0.6662
1780.0,0.6658
1781.0,0.6655
1782.0,0.6652
1783.0,0.6649
1784.0,0.6646
1785.0,0.6642
1786.0,0.6639
1787.0,0.6636
1788.0,0.6633
1789.0,0.663
1790.0,0.6626
1791.0,0.6623
1792.0,0.6619
1793.0,0.6615
1794.0,0.6611
1795.0,0.6607
1796.0,0.6603
1797.0,0.6599
1798.0,0.6596
1799.0,0.6591
1800.0,0.6586
1801.0,0.6626
1802.0,0.6622
1803.0,0.6617
1804.0,0.6612
1805.0,0.6607
1806.0,0.6601
1807.0,0.6596
1808.0,0.6591
1809.0,0.6587
1810.0,nan
1811.0,nan
1812.0,nan
1813.0,nan
1814.0,nan
1815.0,nan
1816.0,nan
1817.0,nan
1818.0,nan
1819.0,nan
1820.0,nan
1821.0,nan
1822.0,nan
1823.0,nan
1824.0,nan
1825.0,nan
1826.0,nan
1827.0,nan
1828.0,nan
1829.0,nan
1830.0,nan
1831.0,nan
1832.0,nan
1833.0,nan
1834.0,nan
1835.0,nan
1836.0,nan
1837.0,nan
1838.0,nan
1839.0,nan
1840.0,nan
1841.0,nan
1842.0,nan
1843.0,nan
1844.0,nan
