University of Adelaide	
692	0.980235138
693	0.980233591
694	0.980246731
695	0.980252624
696	0.98027685
697	0.980309369
698	0.980298099
699	0.980296769
700	0.980343498
701	0.980362099
702	0.980367025
703	0.980385436
704	0.980359623
705	0.98035215
706	0.980369545
707	0.980379656
708	0.980413368
709	0.980452363
710	0.980491052
711	0.980478375
712	0.980467235
713	0.980480878
714	0.980502496
715	0.980512551
716	0.980558972
717	0.980572406
718	0.980586791
719	0.980600672
720	0.980617117
721	0.980590472
722	0.980577547
723	0.980598818
724	0.980622334
725	0.980629011
726	0.980639636
727	0.980622839
728	0.980616055
729	0.980638822
730	0.980646822
731	0.980630687
732	0.980632313
733	0.980690343
734	0.980682247
735	0.980661197
736	0.980677636
737	0.980676097
738	0.980682969
739	0.9807096
740	0.980726234
741	0.980736426
742	0.980769408
743	0.980783117
744	0.980765376
745	0.980768026
746	0.98078868
747	0.980788762
748	0.980779488
749	0.980793873
750	0.98083162
751	0.980839667
752	0.980838887
753	0.980855399
754	0.980898841
755	0.98089993
756	0.980882041
757	0.980869104
758	0.980882492
759	0.980902729
760	0.980906333
761	0.980889426
762	0.980915856
763	0.980939087
764	0.980962894
765	0.980989665
766	0.981005385
767	0.980986034
768	0.980970375
769	0.981001313
770	0.981002674
771	0.981013355
772	0.98099487
773	0.980960948
774	0.980991382
775	0.980981077
776	0.98100431
777	0.980991898
778	0.980995783
779	0.981023811
780	0.981025027
781	0.981056931
782	0.981050924
783	0.981038774
784	0.981046475
785	0.981054508
786	0.981059993
787	0.981045351
788	0.981031796
789	0.981012361
790	0.9810106
791	0.981017421
792	0.98101558
793	0.981032374
794	0.981067092
795	0.981081298
796	0.981094688
797	0.981112242
798	0.981130683
799	0.981134045
800	0.981161973
801	0.981167349
802	0.981188052
803	0.981222995
804	0.981230626
805	0.981224858
806	0.981235583
807	0.981232913
808	0.981258748
809	0.981233262
810	0.981239395
811	0.981261968
812	0.981295151
813	0.981314617
814	0.981324942
815	0.981329619
816	0.98133576
817	0.981355383
818	0.981368256
819	0.981342526
820	0.981364387
821	0.981396235
822	0.981392383
823	0.981369891
824	0.981391523
825	0.981386553
826	0.981399946
827	0.981392464
828	0.981415167
829	0.98144481
830	0.981476184
831	0.981514365
832	0.981515029
833	0.981537157
834	0.981514621
835	0.981514178
836	0.981508587
837	0.981540273
838	0.981555545
839	0.981520368
840	0.981545637
841	0.981516035
842	0.981507642
843	0.981524494
844	0.981521199
845	0.981557993
846	0.981555923
847	0.981564045
848	0.981588874
849	0.981604258
850	0.981639448
851	0.981689581
852	0.981692059
853	0.981699723
854	0.981729719
855	0.98172833
856	0.981727888
857	0.981766891
858	0.98182693
859	0.981795669
860	0.981764575
861	0.981751741
862	0.981754054
863	0.981767134
864	0.981753356
865	0.981772392
866	0.981771126
867	0.98179975
868	0.981791964
869	0.981819267
870	0.981815044
871	0.981798607
872	0.981799439
873	0.981791226
874	0.981816472
875	0.981828218
876	0.9817976
877	0.981799762
878	0.981819152
879	0.981776537
880	0.981780701
881	0.981804667
882	0.981807911
883	0.981825468
884	0.981860215
885	0.981821261
886	0.981901119
887	0.982011459
888	0.981968419
889	0.98196006
890	0.981934367
891	0.981923981
892	0.981934596
893	0.981923321
894	0.981967792
895	0.981964674
896	0.981954494
897	0.98195283
898	0.981970618
899	0.981967333
900	0.981993846
901	0.981957309
902	0.981931905
903	0.981953473
904	0.982042811
905	0.981984153
906	0.981963127
907	0.981981894
908	0.98205312
909	0.982091769
910	0.982107585
911	0.982125486
912	0.982161291
913	0.982117204
914	0.982083127
915	0.982091916
916	0.982061449
917	0.982124123
918	0.982109445
919	0.982179546
920	0.982178417
921	0.982172065
922	0.98212851
923	0.982044491
924	0.982091001
925	0.982146825
926	0.982129901
927	0.982153784
928	0.982204154
929	0.982216425
930	0.9822191
931	0.98216951
932	0.982143615
933	0.982238105
934	0.982245408
935	0.982216219
936	0.982228671
937	0.982279213
938	0.982229529
939	0.982235823
940	0.982411264
941	0.98230701
942	0.982269786
943	0.982331239
944	0.982252652
945	0.982354385
946	0.982466084
947	0.982480707
948	0.982544327
949	0.982459832
950	0.982365778
951	0.982404132
952	0.982464577
953	0.982437403
954	0.982378871
955	0.982342916
956	0.982454425
957	0.982520234
958	0.982514406
959	0.98251802
960	0.982450945
961	0.982372338
962	0.982371285
963	0.982537476
964	0.982604754
965	0.982657917
966	0.982551171
967	0.982482872
968	0.982504747
969	0.982661008
970	0.982723715
971	0.982652171
972	0.982507325
973	0.98250573
974	0.982588633
975	0.982654256
976	0.982587963
977	0.98237909
978	0.982437259
979	0.982651848
980	0.982751275
981	0.982701729
982	0.982711934
983	0.982637697
984	0.982720279
985	0.982726292
986	0.982723334
987	0.982715992
988	0.982795833
989	0.982613633
990	0.982626006
991	0.982775171
992	0.982822598
993	0.983015745
994	0.983133476
995	0.983077893
996	0.982957485
997	0.982846998
998	0.98297371
999	0.982920249
1000	0.983169186
1001	0.983139958
1002	0.983040587
1003	0.983100802
1004	0.983132627
1005	0.983093179
1006	0.98307473
1007	0.983058171
1008	0.983068917
1009	0.983010937
1010	0.98306481
1011	0.983070728
1012	0.983113251
1013	0.98307837
1014	0.983086565
1015	0.983098946
1016	0.983120604
1017	0.983240861
1018	0.983207298
1019	0.983211615
1020	0.983105399
1021	0.983056293
1022	0.983052892
1023	0.983039465
1024	0.983109878
1025	0.983080561
1026	0.983119928
1027	0.983079805
1028	0.983117326
1029	0.983066743
1030	0.982971633
1031	0.983013808
1032	0.983100811
1033	0.983109832
1034	0.983086031
1035	0.983093386
1036	0.983160162
1037	0.983163309
1038	0.98319043
1039	0.983213416
1040	0.983247118
1041	0.983238764
1042	0.983186862
1043	0.983186041
1044	0.983113586
1045	0.983157428
1046	0.983172575
1047	0.983135015
1048	0.983146047
1049	0.983108808
1050	0.98317817
1051	0.983148175
1052	0.983110785
1053	0.983099536
1054	0.983150874
1055	0.983136205
1056	0.983144082
1057	0.983199121
1058	0.983227273
1059	0.98322596
1060	0.983211613
1061	0.983205441
1062	0.983142451
1063	0.983086592
1064	0.983101337
1065	0.9830701
1066	0.98311293
1067	0.983052182
1068	0.983123433
1069	0.983145332
1070	0.983123956
1071	0.983176154
1072	0.98321632
1073	0.983218916
1074	0.983173062
1075	0.983209932
1076	0.983182683
1077	0.98320211
1078	0.983208962
1079	0.983221395
1080	0.983139701
1081	0.983181813
1082	0.983067543
1083	0.983092443
1084	0.983100968
1085	0.983072017
1086	0.983056313
1087	0.983055909
1088	0.983049502
1089	0.983053258
1090	0.98314946
1091	0.983095668
1092	0.983082503
1093	0.983097742
1094	0.983097135
1095	0.983074891
1096	0.983076257
1097	0.98310266
1098	0.983126534
1099	0.983182369
1100	0.983264602
1101	0.983223653
1102	0.983282605
1103	0.983286167
1104	0.983250897
1105	0.983215346
1106	0.983224498
1107	0.983200098
1108	0.983209728
1109	0.98323578
1110	0.983295042
1111	0.983253308
1112	0.983283106
1113	0.983310219
1114	0.983337896
1115	0.983338073
1116	0.983349109
1117	0.983372626
1118	0.983363311
1119	0.983327238
1120	0.983361241
1121	0.983346399
1122	0.983335596
1123	0.98339804
1124	0.983372359
1125	0.983380511
1126	0.983420365
1127	0.983387605
1128	0.983376547
1129	0.983377437
1130	0.983374545
1131	0.983398988
1132	0.983375912
1133	0.983435863
1134	0.983429576
1135	0.983396526
1136	0.983440723
1137	0.983439591
1138	0.983438654
1139	0.983424969
1140	0.983458528
1141	0.98344687
1142	0.983444439
1143	0.983467008
1144	0.98345918
1145	0.983419769
1146	0.983410315
1147	0.983382665
1148	0.983379054
1149	0.983367302
1150	0.983355595
1151	0.983342157
1152	0.983346321
1153	0.983282518
1154	0.98327886
1155	0.983259893
1156	0.983263194
1157	0.983256652
1158	0.983217559
1159	0.983194527
1160	0.983171151
1161	0.98318337
1162	0.983161668
1163	0.98316395
1164	0.983170662
1165	0.983145329
1166	0.983106223
1167	0.983064241
1168	0.98299825
1169	0.982949947
1170	0.982928104
1171	0.982892548
1172	0.982881886
1173	0.982864013
1174	0.982832294
1175	0.982823771
1176	0.982775922
1177	0.982747417
1178	0.982691726
1179	0.982660775
1180	0.982612231
1181	0.982589174
1182	0.982599003
1183	0.982550162
1184	0.982496184
1185	0.982508244
1186	0.982462636
1187	0.982459786
1188	0.982453247
1189	0.98241879
1190	0.982376917
1191	0.982354154
1192	0.98233591
1193	0.982320934
1194	0.982287115
1195	0.982286396
1196	0.982261929
1197	0.982208169
1198	0.982186529
1199	0.982191611
1200	0.982167994
1201	0.982135195
1202	0.98213783
1203	0.98211839
1204	0.982087833
1205	0.982116153
1206	0.982107994
1207	0.982124681
1208	0.982099992
1209	0.982093292
1210	0.982091302
1211	0.982104665
1212	0.98212429
1213	0.982153578
1214	0.98214886
1215	0.982139529
1216	0.982153301
1217	0.982143588
1218	0.982151883
1219	0.982173871
1220	0.982167338
1221	0.982195819
1222	0.982181461
1223	0.982161801
1224	0.982155246
1225	0.98218903
1226	0.982189036
1227	0.98218008
1228	0.982187941
1229	0.982176745
1230	0.982156524
1231	0.982129802
1232	0.98209182
1233	0.982091728
1234	0.982080722
1235	0.982084198
1236	0.982066169
1237	0.982069388
1238	0.982038146
1239	0.982014998
1240	0.982039926
1241	0.982025567
1242	0.982022417
1243	0.982037424
1244	0.982038409
1245	0.982050814
1246	0.98202495
1247	0.981994861
1248	0.9820382
1249	0.98203638
1250	0.982023136
1251	0.982045057
1252	0.982039008
1253	0.982040562
1254	0.982025996
1255	0.98200985
1256	0.98199675
1257	0.982004142
1258	0.982014436
1259	0.981971263
1260	0.981962136
1261	0.981937605
1262	0.981931826
1263	0.981902354
1264	0.981885779
1265	0.981880688
1266	0.981845782
1267	0.981836172
1268	0.981832391
1269	0.981771578
1270	0.981797753
1271	0.981765328
1272	0.981754318
1273	0.981719494
1274	0.981753915
1275	0.981706943
1276	0.981693646
1277	0.981692101
1278	0.981692316
1279	0.981658627
1280	0.981679083
1281	0.981645086
1282	0.981605566
1283	0.981592061
1284	0.981551989
1285	0.981500766
1286	0.981488083
1287	0.981484217
1288	0.981500829
1289	0.981466815
1290	0.981449631
1291	0.981426066
1292	0.981406865
1293	0.981386811
1294	0.981355901
1295	0.98134651
1296	0.981333949
1297	0.981301536
1298	0.981299678
1299	0.981223138
1300	0.981198728
1301	0.981164815
1302	0.981157139
1303	0.981150493
1304	0.981124969
1305	0.981141383
1306	0.981114818
1307	0.981066352
1308	0.981022315
1309	0.981027501
1310	0.98103801
1311	0.981026445
1312	0.981019206
1313	0.98095298
1314	0.980929534
1315	0.980948904
1316	0.980919129
1317	0.980954285
1318	0.980951386
1319	0.980878663
1320	0.980855335
1321	0.980812991
1322	0.980792226
1323	0.98074828
1324	0.980744957
1325	0.980756544
1326	0.980730316
1327	0.980736392
1328	0.980723249
1329	0.980696603
1330	0.980708833
1331	0.980712693
1332	0.98067641
1333	0.980653372
1334	0.98062703
1335	0.980627916
1336	0.98064401
1337	0.980608011
1338	0.980586994
1339	0.980546829
1340	0.980542976
1341	0.980497448
1342	0.980499556
1343	0.980488849
1344	0.980488056
1345	0.980461623
1346	0.980451981
1347	0.980401786
1348	0.980370027
1349	0.980350441
1350	0.980301628
1351	0.980292534
1352	0.980240976
1353	0.98019619
1354	0.980144968
1355	0.980105137
1356	0.980037285
1357	0.980022313
1358	0.979983714
1359	0.979954189
1360	0.97990499
1361	0.979884501
1362	0.979854362
1363	0.979807769
1364	0.97978528
1365	0.97977683
1366	0.979750326
1367	0.979713097
1368	0.979722362
1369	0.979746533
1370	0.979770119
1371	0.979736187
1372	0.97973033
1373	0.979703015
1374	0.979678819
1375	0.979663562
1376	0.979640084
1377	0.979584043
1378	0.979545298
1379	0.979527669
1380	0.979471245
1381	0.979500067
1382	0.97948657
1383	0.97950559
1384	0.979542075
1385	0.979537029
1386	0.979499948
1387	0.979512583
1388	0.979529403
1389	0.979508029
1390	0.979523167
1391	0.979539209
1392	0.979526018
1393	0.979521143
1394	0.979523313
1395	0.979518341
1396	0.979511546
1397	0.979494062
1398	0.979470301
1399	0.979443714
1400	0.979411673
1401	0.979403171
1402	0.979400684
1403	0.979398838
1404	0.979422904
1405	0.979430827
1406	0.97944365
1407	0.979452147
1408	0.97946411
1409	0.979499415
1410	0.979520168
1411	0.979543299
1412	0.979562987
1413	0.979596558
1414	0.979646902
1415	0.979679116
1416	0.979731224
1417	0.979751807
1418	0.979793723
1419	0.979833606
1420	0.97985254
1421	0.979898474
1422	0.97992638
1423	0.97995812
1424	0.979978783
1425	0.979995075
1426	0.980022348
1427	0.980045974
1428	0.980063631
1429	0.980079571
1430	0.980094812
1431	0.980104167
1432	0.98013531
1433	0.980166987
1434	0.980150532
1435	0.980210832
1436	0.980257952
1437	0.98029284
1438	0.980334426
1439	0.980381687
1440	0.980398714
1441	0.980450238
1442	0.980461427
1443	0.980509123
1444	0.980522565
1445	0.980550554
1446	0.980576483
1447	0.980584515
1448	0.980577124
1449	0.980586238
1450	0.980570613
1451	0.980590867
1452	0.980600884
1453	0.980608706
1454	0.980644248
1455	0.980629088
1456	0.980644683
1457	0.98063468
1458	0.980657642
1459	0.980676229
1460	0.980682751
1461	0.980691011
1462	0.980701742
1463	0.980715012
1464	0.980696677
1465	0.980705838
1466	0.980697678
1467	0.980706342
1468	0.980734042
1469	0.98075067
1470	0.980758259
1471	0.980760222
1472	0.980753846
1473	0.980774239
1474	0.980757357
1475	0.980731165
1476	0.98074756
1477	0.980743395
1478	0.980719231
1479	0.980705111
1480	0.980695219
1481	0.980671171
1482	0.980650954
1483	0.980642602
1484	0.980618781
1485	0.980597153
1486	0.980594725
1487	0.980568767
1488	0.980551276
1489	0.980549431
1490	0.980555323
1491	0.980542658
1492	0.980564703
1493	0.980561484
1494	0.980559556
1495	0.980581822
1496	0.980590705
1497	0.980580126
1498	0.980614448
1499	0.980630002
1500	0.98063776
1501	0.98065539
1502	0.980632779
1503	0.980634523
1504	0.980646889
1505	0.980643457
1506	0.980670999
1507	0.980663786
1508	0.980648754
1509	0.980635037
1510	0.98063755
1511	0.980614696
1512	0.980623468
1513	0.980626563
1514	0.980624314
1515	0.980622384
1516	0.980579373
1517	0.980570371
1518	0.980579861
1519	0.980545673
1520	0.980551333
1521	0.980545688
1522	0.980562193
1523	0.980555471
1524	0.980555283
1525	0.980563064
1526	0.980555295
1527	0.980564567
1528	0.980560582
1529	0.980564328
1530	0.980578397
1531	0.980574753
1532	0.980581812
1533	0.98056667
1534	0.980579468
1535	0.980561436
1536	0.980537008
1537	0.980527902
1538	0.980542229
1539	0.980554322
1540	0.980574465
1541	0.980557576
1542	0.980555207
1543	0.980564094
1544	0.980550705
1545	0.980569414
1546	0.980562253
1547	0.980564736
1548	0.980616526
1549	0.98062235
1550	0.980601738
1551	0.980615561
1552	0.980607131
1553	0.980604566
1554	0.980585095
1555	0.980582431
1556	0.980627647
1557	0.980646635
1558	0.980637545
1559	0.980647031
1560	0.980609619
1561	0.98058953
1562	0.980602551
1563	0.980594258
1564	0.98060667
1565	0.980624178
1566	0.980625834
1567	0.98064522
1568	0.980626344
1569	0.980627333
1570	0.980644946
1571	0.980685515
1572	0.9806967
1573	0.980718499
1574	0.980756761
1575	0.980755967
1576	0.980751626
1577	0.980712917
1578	0.980726697
1579	0.980700766
1580	0.980695438
1581	0.980700029
1582	0.980656931
1583	0.980649878
1584	0.980656756
1585	0.980632172
1586	0.980601781
1587	0.980614599
1588	0.980604074
1589	0.980554946
1590	0.980546489
1591	0.980548745
1592	0.980504827
1593	0.980505129
1594	0.980484069
1595	0.980458396
1596	0.9804488
1597	0.980424749
1598	0.980410949
1599	0.980376154
1600	0.980334029
1601	0.980383875
1602	0.980362212
1603	0.980330221
1604	0.98031737
1605	0.980310117
1606	0.98029904
1607	0.980271383
1608	0.980283981
1609	0.980247696
1610	0.980214167
1611	0.980178729
1612	0.980152734
1613	0.980119238
1614	0.980098631
1615	0.980061818
1616	0.980028591
1617	0.979994728
1618	0.979959399
1619	0.979923028
1620	0.979908276
1621	0.979851055
1622	0.979810895
1623	0.979775322
1624	0.979743153
1625	0.979688948
1626	0.979681807
1627	0.979687238
1628	0.979670548
1629	0.979617354
1630	0.979585276
1631	0.979593822
1632	0.979532084
1633	0.979513016
1634	0.979476127
1635	0.979456239
1636	0.979439194
1637	0.979423511
1638	0.979357863
1639	0.979304507
1640	0.979271793
1641	0.979242164
1642	0.97919327
1643	0.97917788
1644	0.979122484
1645	0.979095563
1646	0.979060926
1647	0.979004163
1648	0.978985456
1649	0.97895776
1650	0.978916876
1651	0.978916329
1652	0.978873742
1653	0.97883356
1654	0.978794084
1655	0.978725559
1656	0.978715953
1657	0.978680953
1658	0.978637264
1659	0.97861282
1660	0.97856279
1661	0.978524229
1662	0.978515236
1663	0.978472469
1664	0.978384588
1665	0.978342848
1666	0.978305704
1667	0.978233343
1668	0.978194288
1669	0.978150751
1670	0.97815676
1671	0.978108554
1672	0.978047582
1673	0.977984999
1674	0.977944477
1675	0.977905842
1676	0.977850787
1677	0.977850014
1678	0.977810591
1679	0.97778152
1680	0.977711763
1681	0.977701786
1682	0.977688463
1683	0.9776552
1684	0.97762014
1685	0.97757627
1686	0.9775254
1687	0.977482639
1688	0.97747392
1689	0.977401858
1690	0.977405366
1691	0.97739657
1692	0.977345365
1693	0.977345481
1694	0.977318387
1695	0.97728895
1696	0.977260643
1697	0.977260067
1698	0.9772143
1699	0.977188778
1700	0.97718353
1701	0.977186426
1702	0.977194391
1703	0.977234729
1704	0.977229827
1705	0.977206488
1706	0.977222474
1707	0.977204419
1708	0.977224158
1709	0.977254449
1710	0.977236746
1711	0.977229657
1712	0.977197751
1713	0.977203613
1714	0.977210326
1715	0.977211533
1716	0.977200303
1717	0.977185297
1718	0.977147001
1719	0.977158624
1720	0.977132923
1721	0.977123292
1722	0.977133196
1723	0.977149922
1724	0.977148403
1725	0.977141344
1726	0.977104211
1727	0.977094919
1728	0.977060091
1729	0.977104288
1730	0.977154723
1731	0.977164181
1732	0.977132929
1733	0.977172261
1734	0.977155987
1735	0.97714309
1736	0.977162931
1737	0.9771812
1738	0.977196353
1739	0.977117817
1740	0.977135462
1741	0.977082622
1742	0.977115465
1743	0.977087027
1744	0.977129828
1745	0.97715971
1746	0.977173826
1747	0.977178199
1748	0.977197899
1749	0.977235726
1750	0.977226643
1751	0.977275069
1752	0.97731633
1753	0.977343314
1754	0.977343577
1755	0.977370107
1756	0.977346185
1757	0.977311286
1758	0.977385825
1759	0.97731483
1760	0.977376039
1761	0.977382399
1762	0.97738809
1763	0.97743823
1764	0.97747526
1765	0.977471514
1766	0.977531673
1767	0.97753501
1768	0.977561581
1769	0.977567135
1770	0.977597991
1771	0.977637517
1772	0.97766849
1773	0.977686927
1774	0.977681222
1775	0.977673663
1776	0.97772987
1777	0.977730044
1778	0.977762408
1779	0.977714511
1780	0.977685698
1781	0.977665047
1782	0.977629756
1783	0.977586009
1784	0.977612879
1785	0.977557831
1786	0.977490855
1787	0.977465749
1788	0.977452498
1789	0.977425796
1790	0.977411631
1791	0.977374886
1792	0.977355118
1793	0.977278184
1794	0.977245161
1795	0.977225755
1796	0.977203508
1797	0.977201465
1798	0.977130157
1799	0.977065212
1800	0.97704667
1801	0.976941094
1802	0.976907808
1803	0.976879629
1804	0.976752413
1805	0.976738996
1806	0.976688897
1807	0.976613372
1808	0.976597228
1809	0.976563866
1810	0.976431746
1811	0.976343114
1812	0.976258075
1813	0.976107612
1814	0.976019119
1815	0.975878923
1816	0.975797317
1817	0.975691435
1818	0.975573266
1819	0.975405047
1820	0.975355895
1821	0.975145156
1822	0.97507553
1823	0.975031518
1824	0.974886831
1825	0.974775995
1826	0.974616933
1827	0.97454747
1828	0.974392644
1829	0.97430888
1830	0.974187471
1831	0.974069571
1832	0.973991748
1833	0.973939202
1834	0.973828354
1835	0.97375107
1836	0.973661435
1837	0.973545085
1838	0.973407145
1839	0.973313561
1840	0.973240812
1841	0.973183663
1842	0.973120671
1843	0.972999503
1844	0.972832176
1845	0.97274912
1846	0.972680562
1847	0.972623038
1848	0.972587621
1849	0.972585403
1850	0.972540837
1851	0.97252287
1852	0.972516837
1853	0.972447985
1854	0.972376224
1855	0.972316715
1856	0.972247562
1857	0.972190233
1858	0.972219613
1859	0.972205763
1860	0.972148017
1861	0.972131197
1862	0.972044673
1863	0.971962509
1864	0.97191685
1865	0.971801452
1866	0.971730177
1867	0.971607659
1868	0.971522247
1869	0.971409686
1870	0.971363096
1871	0.971307194
1872	0.971237566
1873	0.971215823
1874	0.971230228
1875	0.971235603
1876	0.971307651
1877	0.971321616
1878	0.971294776
1879	0.971337146
1880	0.971357927
1881	0.971322507
1882	0.971298668
1883	0.971246185
1884	0.971207214
1885	0.971183982
1886	0.971192813
1887	0.971243872
1888	0.971229045
1889	0.971199319
1890	0.971168944
1891	0.971125337
1892	0.97104008
1893	0.970957139
1894	0.970950227
1895	0.970878371
1896	0.970826248
1897	0.970784539
1898	0.970775805
1899	0.970698494
1900	0.970665665
1901	0.970643298
1902	0.970576001
1903	0.970533335
1904	0.970484156
1905	0.970393705
1906	0.970334685
1907	0.970303372
1908	0.970256165
1909	0.970192536
1910	0.970131517
1911	0.970089508
1912	0.970058429
1913	0.969999201
1914	0.969946447
1915	0.969872311
1916	0.969781863
1917	0.969750171
1918	0.969686387
1919	0.969627694
1920	0.969586016
1921	0.969558182
1922	0.969544117
1923	0.969547589
1924	0.969565574
1925	0.969547652
1926	0.969556832
1927	0.969555519
1928	0.969549018
1929	0.969574792
1930	0.969574883
1931	0.969549853
1932	0.969533918
1933	0.969518071
1934	0.969505948
1935	0.969446066
1936	0.969385903
1937	0.969308273
1938	0.969248945
1939	0.969250352
1940	0.96921188
1941	0.969215582
1942	0.969199481
1943	0.969198374
1944	0.969197773
1945	0.969168273
1946	0.969162808
1947	0.9690909
1948	0.968993227
1949	0.968973576
1950	0.968936464
1951	0.968890602
1952	0.968881073
1953	0.968871441
1954	0.968837045
1955	0.968784469
1956	0.968781406
1957	0.968718128
1958	0.968680856
1959	0.968608633
1960	0.968538211
1961	0.968480833
1962	0.968377016
1963	0.968333414
1964	0.968282334
1965	0.968215746
1966	0.968164322
1967	0.968107691
1968	0.968117854
1969	0.968055279
