University Queensland 	
817	1.009446882
818	1.009466157
819	1.009428102
820	1.009448816
821	1.009465976
822	1.009442248
823	1.009413726
824	1.009440511
825	1.009424129
826	1.009477115
827	1.009473905
828	1.009485347
829	1.009528201
830	1.0095271
831	1.009535975
832	1.009526908
833	1.009540985
834	1.009545977
835	1.009554808
836	1.009565668
837	1.009652617
838	1.009666547
839	1.00963774
840	1.009681561
841	1.009673688
842	1.009629883
843	1.009624539
844	1.009612434
845	1.009623314
846	1.009630642
847	1.009630959
848	1.009628918
849	1.009634385
850	1.009633544
851	1.009660726
852	1.009684302
853	1.009686399
854	1.009684383
855	1.009659785
856	1.009666496
857	1.009711481
858	1.009735941
859	1.009698765
860	1.009650649
861	1.009662278
862	1.009696858
863	1.009716126
864	1.009710925
865	1.009716667
866	1.009699702
867	1.009688684
868	1.009692265
869	1.009730519
870	1.009724256
871	1.009705566
872	1.00968515
873	1.009665438
874	1.009687817
875	1.00969062
876	1.009692346
877	1.009678581
878	1.009668006
879	1.009630255
880	1.009632056
881	1.009667747
882	1.009664546
883	1.009673434
884	1.009672216
885	1.009651542
886	1.009690103
887	1.009758667
888	1.009741971
889	1.009713847
890	1.009679953
891	1.009688921
892	1.009685307
893	1.009653135
894	1.009710086
895	1.009729365
896	1.00971327
897	1.00972991
898	1.009738807
899	1.009698007
900	1.00970227
901	1.009676146
902	1.00966867
903	1.009619843
904	1.009655512
905	1.009620188
906	1.009601088
907	1.009626776
908	1.009646605
909	1.009674986
910	1.009662588
911	1.009688979
912	1.009757988
913	1.009711808
914	1.009658831
915	1.009689152
916	1.009664955
917	1.009670753
918	1.009624649
919	1.00968951
920	1.009787799
921	1.009753387
922	1.009676643
923	1.00960527
924	1.009625793
925	1.009748527
926	1.009733856
927	1.009716204
928	1.009776111
929	1.009794604
930	1.009782692
931	1.009678908
932	1.009670967
933	1.009788217
934	1.009754438
935	1.009628014
936	1.009658062
937	1.009769936
938	1.00970109
939	1.009655996
940	1.009803737
941	1.00976302
942	1.009748401
943	1.009691251
944	1.009617782
945	1.009696835
946	1.009840941
947	1.009937095
948	1.009926857
949	1.009819106
950	1.009751037
951	1.009884123
952	1.009866808
953	1.009806636
954	1.009697712
955	1.009617431
956	1.009774134
957	1.009911124
958	1.009900003
959	1.009853827
960	1.009789741
961	1.009704945
962	1.009754249
963	1.009961994
964	1.009981973
965	1.010011776
966	1.009892094
967	1.009825032
968	1.009828745
969	1.009926797
970	1.009980955
971	1.009899288
972	1.009861913
973	1.009881404
974	1.010007092
975	1.01018434
976	1.009932529
977	1.009852665
978	1.009923986
979	1.009970576
980	1.010058177
981	1.010035311
982	1.010100298
983	1.009930001
984	1.010063143
985	1.010079638
986	1.009927287
987	1.009988502
988	1.010086374
989	1.009946488
990	1.009901249
991	1.010089384
992	1.01006683
993	1.010252113
994	1.010516311
995	1.010467764
996	1.010088965
997	1.009973118
998	1.010176419
999	1.010121364
1000	1.010210171
1001	1.010182024
1002	1.010095079
1003	1.0101829
1004	1.010218126
1005	1.010141377
1006	1.010132039
1007	1.010120186
1008	1.010145397
1009	1.010104547
1010	1.010141728
1011	1.010121573
1012	1.010158441
1013	1.010086061
1014	1.010093332
1015	1.010086909
1016	1.010102275
1017	1.010212318
1018	1.010211364
1019	1.010205071
1020	1.010096154
1021	1.010074764
1022	1.010040693
1023	1.010036541
1024	1.010073105
1025	1.010038592
1026	1.010020603
1027	1.010037645
1028	1.010096571
1029	1.01006858
1030	1.00998526
1031	1.010037237
1032	1.010075776
1033	1.010046591
1034	1.010087558
1035	1.010106805
1036	1.010184653
1037	1.010198511
1038	1.010196461
1039	1.010171174
1040	1.010162697
1041	1.010157599
1042	1.010128675
1043	1.010164255
1044	1.010093824
1045	1.010120602
1046	1.010102208
1047	1.010035478
1048	1.010018898
1049	1.010047364
1050	1.01011818
1051	1.010129295
1052	1.010149359
1053	1.010110583
1054	1.010152058
1055	1.01013994
1056	1.010108164
1057	1.010139958
1058	1.010186025
1059	1.010207635
1060	1.010157554
1061	1.01012367
1062	1.010111878
1063	1.010029045
1064	1.010060508
1065	1.010044537
1066	1.010071261
1067	1.00996658
1068	1.010006113
1069	1.009976198
1070	1.009923725
1071	1.009998023
1072	1.009984424
1073	1.010040152
1074	1.010014287
1075	1.010039157
1076	1.010024053
1077	1.010030682
1078	1.010029053
1079	1.010023962
1080	1.009959058
1081	1.010036778
1082	1.009953919
1083	1.009981181
1084	1.009959032
1085	1.009949045
1086	1.00993101
1087	1.009937534
1088	1.009961667
1089	1.00996035
1090	1.009995205
1091	1.009936362
1092	1.009912866
1093	1.009881343
1094	1.00987311
1095	1.009858841
1096	1.009864008
1097	1.009873797
1098	1.009885285
1099	1.00992625
1100	1.010020989
1101	1.009982049
1102	1.010021452
1103	1.01007032
1104	1.010032753
1105	1.010035289
1106	1.010017235
1107	1.010023064
1108	1.010044916
1109	1.010066863
1110	1.010092251
1111	1.010069933
1112	1.010106979
1113	1.01015032
1114	1.010215135
1115	1.010212749
1116	1.01015627
1117	1.010177395
1118	1.010169193
1119	1.010162499
1120	1.010195248
1121	1.01017511
1122	1.010151475
1123	1.010152758
1124	1.010124776
1125	1.010132577
1126	1.010183366
1127	1.010150735
1128	1.010131221
1129	1.010175844
1130	1.010151492
1131	1.010195017
1132	1.010166913
1133	1.010175357
1134	1.010154239
1135	1.010143641
1136	1.010194002
1137	1.010196231
1138	1.010214962
1139	1.010213088
1140	1.010211691
1141	1.010193099
1142	1.010171959
1143	1.010154679
1144	1.010174293
1145	1.010118325
1146	1.010124249
1147	1.010104121
1148	1.010092679
1149	1.010088036
1150	1.010082858
1151	1.010077653
1152	1.010075096
1153	1.010011152
1154	1.010001313
1155	1.009983038
1156	1.009970876
1157	1.009978345
1158	1.009957312
1159	1.009965004
1160	1.009954595
1161	1.009953764
1162	1.009934346
1163	1.009934515
1164	1.009936178
1165	1.009911298
1166	1.009890634
1167	1.009865374
1168	1.009832902
1169	1.009809001
1170	1.009793603
1171	1.009729812
1172	1.009699624
1173	1.009645616
1174	1.009595652
1175	1.009580942
1176	1.00956657
1177	1.009553398
1178	1.009489799
1179	1.009461441
1180	1.009436715
1181	1.009413054
1182	1.009416984
1183	1.009387914
1184	1.009305192
1185	1.009278923
1186	1.009237699
1187	1.009252953
1188	1.009277459
1189	1.009268126
1190	1.009223191
1191	1.009180034
1192	1.009134369
1193	1.009104746
1194	1.0090615
1195	1.009091292
1196	1.009066074
1197	1.009037341
1198	1.0090456
1199	1.009042611
1200	1.009007666
1201	1.008977523
1202	1.008948188
1203	1.008917932
1204	1.008897597
1205	1.008912131
1206	1.008904048
1207	1.008908114
1208	1.00886349
1209	1.008828018
1210	1.00879578
1211	1.00879859
1212	1.008799076
1213	1.008840153
1214	1.008838331
1215	1.008848765
1216	1.008867842
1217	1.008868139
1218	1.00886128
1219	1.008864105
1220	1.008852926
1221	1.008854751
1222	1.008842697
1223	1.008836491
1224	1.008833995
1225	1.008873185
1226	1.008862029
1227	1.008846329
1228	1.008855564
1229	1.008838365
1230	1.008809583
1231	1.008774317
1232	1.008752045
1233	1.00875378
1234	1.008749572
1235	1.008744906
1236	1.008738102
1237	1.008753062
1238	1.008724204
1239	1.008724536
1240	1.008743593
1241	1.008757629
1242	1.008765113
1243	1.008772915
1244	1.008780021
1245	1.008780193
1246	1.008739763
1247	1.008723996
1248	1.008767664
1249	1.008761873
1250	1.008773503
1251	1.008769788
1252	1.008762235
1253	1.008757394
1254	1.00872551
1255	1.008721848
1256	1.008716626
1257	1.008712758
1258	1.008693237
1259	1.008649501
1260	1.008641303
1261	1.008622656
1262	1.008630592
1263	1.008629306
1264	1.008607713
1265	1.008613551
1266	1.008559466
1267	1.008534725
1268	1.008537903
1269	1.008488852
1270	1.008513035
1271	1.008462032
1272	1.008449409
1273	1.008406284
1274	1.008406278
1275	1.00837351
1276	1.008330981
1277	1.008320339
1278	1.008321547
1279	1.008268335
1280	1.00826149
1281	1.008258332
1282	1.008213536
1283	1.008211147
1284	1.008202516
1285	1.008171886
1286	1.008172287
1287	1.008140408
1288	1.008118806
1289	1.008085196
1290	1.00806277
1291	1.008078732
1292	1.008064576
1293	1.008045136
1294	1.008006091
1295	1.008013734
1296	1.007986926
1297	1.007978107
1298	1.007969054
1299	1.007896883
1300	1.007886913
1301	1.00785626
1302	1.007838913
1303	1.007841225
1304	1.007787426
1305	1.007777581
1306	1.007729161
1307	1.007677992
1308	1.007607778
1309	1.007576999
1310	1.00759009
1311	1.007556611
1312	1.007545071
1313	1.00749031
1314	1.00747802
1315	1.007451688
1316	1.007426567
1317	1.007432144
1318	1.007436467
1319	1.00738346
1320	1.007360203
1321	1.007351522
1322	1.007328931
1323	1.007306708
1324	1.007303969
1325	1.007279482
1326	1.007257216
1327	1.007280187
1328	1.007267535
1329	1.007259872
1330	1.007257752
1331	1.007250257
1332	1.007222376
1333	1.007181973
1334	1.007150619
1335	1.00713533
1336	1.007144253
1337	1.007090991
1338	1.007050407
1339	1.006999355
1340	1.006984065
1341	1.006944435
1342	1.006942078
1343	1.006942374
1344	1.006958678
1345	1.006930038
1346	1.006912035
1347	1.006872221
1348	1.006868517
1349	1.006841992
1350	1.006803995
1351	1.006826647
1352	1.006801731
1353	1.006799164
1354	1.006807207
1355	1.006784068
1356	1.006727886
1357	1.006750981
1358	1.0067122
1359	1.006701441
1360	1.006691244
1361	1.006687807
1362	1.00664938
1363	1.006607663
1364	1.006600926
1365	1.006596732
1366	1.006574059
1367	1.006522952
1368	1.006516227
1369	1.0065211
1370	1.006484739
1371	1.006428301
1372	1.006430601
1373	1.006432481
1374	1.006415183
1375	1.006410734
1376	1.006403922
1377	1.006359513
1378	1.00632197
1379	1.006326364
1380	1.006277416
1381	1.006290837
1382	1.006284713
1383	1.006298522
1384	1.006339431
1385	1.00632932
1386	1.006290725
1387	1.006311277
1388	1.006330227
1389	1.006304713
1390	1.006321758
1391	1.006338549
1392	1.006310439
1393	1.006300138
1394	1.006297057
1395	1.006298665
1396	1.006300583
1397	1.00628493
1398	1.006251101
1399	1.006245744
1400	1.00623042
1401	1.006252761
1402	1.006270129
1403	1.006285035
1404	1.006326354
1405	1.006338628
1406	1.006375195
1407	1.006408824
1408	1.00643868
1409	1.006474061
1410	1.00650558
1411	1.006555844
1412	1.006587914
1413	1.006635977
1414	1.006672543
1415	1.006688077
1416	1.006723451
1417	1.006737084
1418	1.006774272
1419	1.006801328
1420	1.006805141
1421	1.006811266
1422	1.006823625
1423	1.006835631
1424	1.006823436
1425	1.006831372
1426	1.006858929
1427	1.006872473
1428	1.006889183
1429	1.006905767
1430	1.006909599
1431	1.006935943
1432	1.006964831
1433	1.007002708
1434	1.007007011
1435	1.007053067
1436	1.00708799
1437	1.007123653
1438	1.007155368
1439	1.007195455
1440	1.007212585
1441	1.007265159
1442	1.00730574
1443	1.007343919
1444	1.007383079
1445	1.007415626
1446	1.00744175
1447	1.007454212
1448	1.007440457
1449	1.007461559
1450	1.007462004
1451	1.007477688
1452	1.007471706
1453	1.007471188
1454	1.007476652
1455	1.007449893
1456	1.007489588
1457	1.007479834
1458	1.007479979
1459	1.007497705
1460	1.00747656
1461	1.007478567
1462	1.007476678
1463	1.007496159
1464	1.007478162
1465	1.007491695
1466	1.007484372
1467	1.007474806
1468	1.007498159
1469	1.007495391
1470	1.007506876
1471	1.007522233
1472	1.007519405
1473	1.007530888
1474	1.007522799
1475	1.007498284
1476	1.007498477
1477	1.00749538
1478	1.007482197
1479	1.007474996
1480	1.00744903
1481	1.007442232
1482	1.007410266
1483	1.007405135
1484	1.007391757
1485	1.00738719
1486	1.00741406
1487	1.00742357
1488	1.007412194
1489	1.007433844
1490	1.007441803
1491	1.007447893
1492	1.007464934
1493	1.007471393
1494	1.007451753
1495	1.007469108
1496	1.007492813
1497	1.00749147
1498	1.00753848
1499	1.007549251
1500	1.007529607
1501	1.007532633
1502	1.007509862
1503	1.007503035
1504	1.007517198
1505	1.007538123
1506	1.00755296
1507	1.007572613
1508	1.007567772
1509	1.007550919
1510	1.007562117
1511	1.007526909
1512	1.007544205
1513	1.007545785
1514	1.007543159
1515	1.007541854
1516	1.00749922
1517	1.007474107
1518	1.007489175
1519	1.007450446
1520	1.007441494
1521	1.007426063
1522	1.007419416
1523	1.007381082
1524	1.007346964
1525	1.007329297
1526	1.007327171
1527	1.007330613
1528	1.007357908
1529	1.007373093
1530	1.007390216
1531	1.007417363
1532	1.007426636
1533	1.007431398
1534	1.007460639
1535	1.007464918
1536	1.007478832
1537	1.007471816
1538	1.007477232
1539	1.007478952
1540	1.0074971
1541	1.007482691
1542	1.007503564
1543	1.007540929
1544	1.007523858
1545	1.007519745
1546	1.00749375
1547	1.00749524
1548	1.007525174
1549	1.007542099
1550	1.00753787
1551	1.00757093
1552	1.00757651
1553	1.00756938
1554	1.007567824
1555	1.007565859
1556	1.007584007
1557	1.007602075
1558	1.007606765
1559	1.007615139
1560	1.007614252
1561	1.007617551
1562	1.007618376
1563	1.007589038
1564	1.007584763
1565	1.007590411
1566	1.007561938
1567	1.007580932
1568	1.007567799
1569	1.007552523
1570	1.00755895
1571	1.007575732
1572	1.007561541
1573	1.007574862
1574	1.007593081
1575	1.007584056
1576	1.00758151
1577	1.007540841
1578	1.00754855
1579	1.007533038
1580	1.007538858
1581	1.007515747
1582	1.007501784
1583	1.00750611
1584	1.007523434
1585	1.007528613
1586	1.007486914
1587	1.007466945
1588	1.007428524
1589	1.00738088
1590	1.007379909
1591	1.007379055
1592	1.007356065
1593	1.007366394
1594	1.007340036
1595	1.0073179
1596	1.007316205
1597	1.007303255
1598	1.00729438
1599	1.007295094
1600	1.00727581
1601	1.007314424
1602	1.007308855
1603	1.007299292
1604	1.007276017
1605	1.007297811
1606	1.007293193
1607	1.007252723
1608	1.007258191
1609	1.007229315
1610	1.007162771
1611	1.007129123
1612	1.007098353
1613	1.007059442
1614	1.007026318
1615	1.006976056
1616	1.006947799
1617	1.006911487
1618	1.006882893
1619	1.006813231
1620	1.006767741
1621	1.006696287
1622	1.006637232
1623	1.006611988
1624	1.006586221
1625	1.006566637
1626	1.006558671
1627	1.006542861
1628	1.006518821
1629	1.006472945
1630	1.006445824
1631	1.006455587
1632	1.006414477
1633	1.006405066
1634	1.006348733
1635	1.006333974
1636	1.006313687
1637	1.006291861
1638	1.006265831
1639	1.006221416
1640	1.006196305
1641	1.006183155
1642	1.00615881
1643	1.006150167
1644	1.006097718
1645	1.006054106
1646	1.005996156
1647	1.005949584
1648	1.0059143
1649	1.005879649
1650	1.005852873
1651	1.005825203
1652	1.005733813
1653	1.005695918
1654	1.005646339
1655	1.005578241
1656	1.005582774
1657	1.005575612
1658	1.005531438
1659	1.005495654
1660	1.005442131
1661	1.005382688
1662	1.005386238
1663	1.005355485
1664	1.0052722
1665	1.005269966
1666	1.005251568
1667	1.005211787
1668	1.005201358
1669	1.005154739
1670	1.005178474
1671	1.005153528
1672	1.005131512
1673	1.005066059
1674	1.005037203
1675	1.004989845
1676	1.004922013
1677	1.004899251
1678	1.004912439
1679	1.004879938
1680	1.004802404
1681	1.004801285
1682	1.004800038
1683	1.004737155
1684	1.004724895
1685	1.004686476
1686	1.004645452
1687	1.004602257
1688	1.004586301
1689	1.004537207
1690	1.00453239
1691	1.004522719
1692	1.004497853
1693	1.004527941
1694	1.004481339
1695	1.004493336
1696	1.004470288
1697	1.004490602
1698	1.004469145
1699	1.004476076
1700	1.00444578
1701	1.004465712
1702	1.00448377
1703	1.004516432
1704	1.004550747
1705	1.004546153
1706	1.004554281
1707	1.004545969
1708	1.004604656
1709	1.004624015
1710	1.004631474
1711	1.004629897
1712	1.004616678
1713	1.004629525
1714	1.004629428
1715	1.004628257
1716	1.004629479
1717	1.004618688
1718	1.004574685
1719	1.004596569
1720	1.004603774
1721	1.004605508
1722	1.004604337
1723	1.004606219
1724	1.00457565
1725	1.004539689
1726	1.00449547
1727	1.004487732
1728	1.004458389
1729	1.004495208
1730	1.004538659
1731	1.004532353
1732	1.004514232
1733	1.004532427
1734	1.004461355
1735	1.004441595
1736	1.004438224
1737	1.004427171
1738	1.004434508
1739	1.004412881
1740	1.004420403
1741	1.004354777
1742	1.004377625
1743	1.004344069
1744	1.004360546
1745	1.004370207
1746	1.00438447
1747	1.004408636
1748	1.00443609
1749	1.004471733
1750	1.00449794
1751	1.004480635
1752	1.004519166
1753	1.004543507
1754	1.004526804
1755	1.004575057
1756	1.004586928
1757	1.004571052
1758	1.004644952
1759	1.004607347
1760	1.004650337
1761	1.004658909
1762	1.004637743
1763	1.004696383
1764	1.004707895
1765	1.00471207
1766	1.004787824
1767	1.004795288
1768	1.004834618
1769	1.004807133
1770	1.004836488
1771	1.004863106
1772	1.004828229
1773	1.004885202
1774	1.004866852
1775	1.004844205
1776	1.004936552
1777	1.004928245
1778	1.004938781
1779	1.004911032
1780	1.004878095
1781	1.004909961
1782	1.004902081
1783	1.00487051
1784	1.004936524
1785	1.004844601
1786	1.004829254
1787	1.004831163
1788	1.004803421
1789	1.00480542
1790	1.004814812
1791	1.004813655
1792	1.004798136
1793	1.00472117
1794	1.004664149
1795	1.004659812
1796	1.004648757
1797	1.004629176
1798	1.004546565
1799	1.004523039
1800	1.004499512
1801	1.004410267
1802	1.004356165
1803	1.004335281
1804	1.00420237
1805	1.004194318
1806	1.0041184
1807	1.004028306
1808	1.00401352
1809	1.003946955
1810	1.003846588
1811	1.00374642
1812	1.003699276
1813	1.003609847
1814	1.003528736
1815	1.00343322
1816	1.00335895
1817	1.003303085
1818	1.003222875
1819	1.003077416
1820	1.003074449
1821	1.002884319
1822	1.002872952
1823	1.002835874
1824	1.002715386
1825	1.002704708
1826	1.002576685
1827	1.002548834
1828	1.002455584
1829	1.002362783
1830	1.002283667
1831	1.002175526
1832	1.002113952
1833	1.002047077
1834	1.00197627
1835	1.00195286
1836	1.001840827
1837	1.001715685
1838	1.001596818
1839	1.001452129
1840	1.001318346
1841	1.001306433
1842	1.00126266
1843	1.001162422
1844	1.001092445
1845	1.001038374
1846	1.000965694
1847	1.000890679
1848	1.000850087
1849	1.000819799
1850	1.000747332
1851	1.000701928
1852	1.000719866
1853	1.000703073
1854	1.000638975
1855	1.000610954
1856	1.000561468
1857	1.000500451
1858	1.000471354
1859	1.000462184
1860	1.000437148
1861	1.000422916
1862	1.000352596
1863	1.00031718
1864	1.00034514
1865	1.000257241
1866	1.00014685
1867	1.000081872
1868	1.000047533
1869	1.000002933
1870	0.999991458
1871	1.000020245
1872	0.999978494
1873	0.999907945
1874	0.999931862
1875	0.999940215
1876	0.999973437
1877	0.999967914
1878	0.999948075
1879	0.999928457
1880	0.999873305
1881	0.99983392
1882	0.999802358
1883	0.99974332
1884	0.999684903
1885	0.999639989
1886	0.999643248
1887	0.999640981
1888	0.999632028
1889	0.999644467
1890	0.99965398
1891	0.999644986
1892	0.999624945
1893	0.999628109
1894	0.999664749
1895	0.999664183
1896	0.999669277
1897	0.999690582
1898	0.999712705
1899	0.999695419
1900	0.999692749
1901	0.999684687
1902	0.999684527
1903	0.999683648
1904	0.999640944
1905	0.999591121
1906	0.999588968
1907	0.999567759
1908	0.999545714
1909	0.999565897
1910	0.999549645
1911	0.999495176
1912	0.999475874
1913	0.999432257
1914	0.999379936
1915	0.999340056
1916	0.999277639
1917	0.999262349
1918	0.999263015
1919	0.999208436
1920	0.999169271
1921	0.999121112
1922	0.999108269
1923	0.999061588
1924	0.999050901
1925	0.999099584
1926	0.999092049
1927	0.999087065
1928	0.999095073
1929	0.99905365
1930	0.99901456
1931	0.998935217
1932	0.998892128
1933	0.998877538
1934	0.99884424
1935	0.998823536
1936	0.998820868
1937	0.998717982
1938	0.998669406
1939	0.998679465
1940	0.998640846
1941	0.998634556
1942	0.998651211
1943	0.998617832
1944	0.998561192
1945	0.998473727
1946	0.998469265
1947	0.998449396
1948	0.998398039
1949	0.998396301
1950	0.998329773
1951	0.998250575
1952	0.998218729
1953	0.998197043
1954	0.998156771
1955	0.998102968
1956	0.998106849
1957	0.998018427
1958	0.997997882
1959	0.9979468
1960	0.997897626
1961	0.997847182
1962	0.997770921
1963	0.997730973
1964	0.997735015
1965	0.997699333
1966	0.997670741
1967	0.997647284
1968	0.997652129
