University of Wollongong	
Serial Number : 10" panel new 2017	
Comments : Lab Cal CSIRO March 2018 	

	
Wavelength K-factor
823	1.012984803
824	1.012989673
825	1.012994541
826	1.012999397
827	1.013004231
828	1.013009033
829	1.013013793
830	1.0130185
831	1.013023145
832	1.013027717
833	1.013032207
834	1.013036603
835	1.013040896
836	1.013045075
837	1.013049131
838	1.013053053
839	1.013056831
840	1.013060456
841	1.013063915
842	1.013067201
843	1.013070302
844	1.013073208
845	1.013075909
846	1.013078396
847	1.013080657
848	1.013082682
849	1.013084462
850	1.013085986
851	1.013087247
852	1.013088248
853	1.013088995
854	1.013089493
855	1.013089748
856	1.013089767
857	1.013089554
858	1.013089117
859	1.013088459
860	1.013087589
861	1.01308651
862	1.013085229
863	1.013083752
864	1.013082085
865	1.013080233
866	1.013078202
867	1.013075998
868	1.013073627
869	1.013071095
870	1.013068407
871	1.013065569
872	1.013062587
873	1.013059468
874	1.013056215
875	1.013052837
876	1.013049337
877	1.013045723
878	1.013041999
879	1.013038172
880	1.013034248
881	1.013030232
882	1.01302613
883	1.013021948
884	1.013017692
885	1.013013367
886	1.013008979
887	1.013004535
888	1.01300004
889	1.012995499
890	1.012990919
891	1.012986305
892	1.012981664
893	1.012977
894	1.01297232
895	1.01296763
896	1.012962935
897	1.012958242
898	1.012953555
899	1.012948881
900	1.012944226
901	1.012939594
902	1.012934987
903	1.012930404
904	1.012925845
905	1.012921311
906	1.012916801
907	1.012912315
908	1.012907853
909	1.012903415
910	1.012899001
911	1.012894611
912	1.012890245
913	1.012885903
914	1.012881584
915	1.01287729
916	1.012873019
917	1.012868772
918	1.012864548
919	1.012860348
920	1.012856172
921	1.012852019
922	1.01284789
923	1.012843784
924	1.012839701
925	1.012835642
926	1.012831605
927	1.012827593
928	1.012823603
929	1.012819636
930	1.012815693
931	1.012811772
932	1.012807875
933	1.012804
934	1.012800148
935	1.01279632
936	1.012792513
937	1.01278873
938	1.012784969
939	1.012781232
940	1.012777516
941	1.012773823
942	1.012770153
943	1.012766505
944	1.01276288
945	1.012759277
946	1.012755696
947	1.012752138
948	1.012748601
949	1.012745087
950	1.012741595
951	1.012738126
952	1.012734679
953	1.012731255
954	1.012727855
955	1.01272448
956	1.01272113
957	1.012717805
958	1.012714507
959	1.012711236
960	1.012707992
961	1.012704776
962	1.012701589
963	1.012698431
964	1.012695303
965	1.012692206
966	1.01268914
967	1.012686105
968	1.012683103
969	1.012680133
970	1.012677197
971	1.012674295
972	1.012671428
973	1.012668596
974	1.012665801
975	1.012663041
976	1.012660319
977	1.012657634
978	1.012654988
979	1.01265238
980	1.012649812
981	1.012647284
982	1.012644797
983	1.012642351
984	1.012639948
985	1.012637586
986	1.012635268
987	1.012632993
988	1.012630763
989	1.012628577
990	1.012626437
991	1.012624343
992	1.012622296
993	1.012620296
994	1.012618344
995	1.012616441
996	1.012614587
997	1.012612782
998	1.012611028
999	1.012609324
1000	1.012607672
1001	1.012606072
1002	1.012604521
1003	1.012603016
1004	1.012601554
1005	1.012600134
1006	1.012598751
1007	1.012597403
1008	1.012596087
1009	1.012594801
1010	1.012593541
1011	1.012592304
1012	1.012591088
1013	1.01258989
1014	1.012588707
1015	1.012587536
1016	1.012586374
1017	1.012585218
1018	1.012584066
1019	1.012582915
1020	1.012581761
1021	1.012580603
1022	1.012579436
1023	1.012578259
1024	1.012577068
1025	1.012575861
1026	1.012574634
1027	1.012573385
1028	1.012572111
1029	1.012570809
1030	1.012569476
1031	1.012568109
1032	1.012566706
1033	1.012565264
1034	1.012563779
1035	1.01256225
1036	1.012560672
1037	1.012559044
1038	1.012557362
1039	1.012555623
1040	1.012553825
1041	1.012551965
1042	1.01255004
1043	1.012548047
1044	1.012545983
1045	1.012543845
1046	1.012541631
1047	1.012539337
1048	1.012536962
1049	1.012534501
1050	1.012531952
1051	1.012529314
1052	1.012526596
1053	1.012523807
1054	1.012520956
1055	1.012518055
1056	1.012515113
1057	1.012512139
1058	1.012509145
1059	1.012506139
1060	1.012503131
1061	1.012500133
1062	1.012497153
1063	1.012494202
1064	1.012491289
1065	1.012488424
1066	1.012485618
1067	1.01248288
1068	1.012480221
1069	1.01247765
1070	1.012475177
1071	1.012472812
1072	1.012470565
1073	1.012468446
1074	1.012466465
1075	1.012464632
1076	1.012462957
1077	1.01246145
1078	1.012460121
1079	1.012458979
1080	1.012458035
1081	1.012457298
1082	1.012456779
1083	1.012456488
1084	1.012456434
1085	1.012456627
1086	1.012457078
1087	1.012457796
1088	1.012458791
1089	1.012460073
1090	1.012461653
1091	1.012463539
1092	1.012465743
1093	1.012468273
1094	1.012471141
1095	1.012474355
1096	1.012477926
1097	1.012481864
1098	1.012486179
1099	1.01249088
1100	1.012495978
1101	1.012501475
1102	1.012507348
1103	1.012513566
1104	1.012520097
1105	1.012526911
1106	1.012533976
1107	1.012541262
1108	1.012548738
1109	1.012556372
1110	1.012564133
1111	1.012571991
1112	1.012579915
1113	1.012587874
1114	1.012595836
1115	1.01260377
1116	1.012611647
1117	1.012619434
1118	1.0126271
1119	1.012634615
1120	1.012641948
1121	1.012649068
1122	1.012655943
1123	1.012662543
1124	1.012668836
1125	1.012674792
1126	1.01268038
1127	1.012685569
1128	1.012690327
1129	1.012694624
1130	1.012698428
1131	1.01270171
1132	1.012704437
1133	1.012706579
1134	1.012708104
1135	1.012708982
1136	1.012709182
1137	1.012708673
1138	1.012707423
1139	1.012705403
1140	1.012702579
1141	1.012698923
1142	1.012694403
1143	1.012688987
1144	1.012682645
1145	1.012675346
1146	1.012667058
1147	1.012657752
1148	1.012647395
1149	1.012635957
1150	1.012623407
1151	1.012609726
1152	1.012594946
1153	1.012579109
1154	1.01256226
1155	1.012544441
1156	1.012525698
1157	1.012506072
1158	1.012485608
1159	1.012464349
1160	1.012442339
1161	1.012419621
1162	1.012396238
1163	1.012372235
